#                      id              ra               de
#
                        1      53.0906084     -27.9727332
                        2      53.1572977     -27.6363279
                        3      53.1633016     -27.6365114
                        4      53.1734371     -27.6371747
                        5      53.1757549     -27.6374452
                        6      53.1775835     -27.6378556
                        7      53.1783340     -27.6382793
                        8      53.1789583     -27.6380442
                        9      53.1692211     -27.6381762
                       10      53.1736200     -27.6385394
                       11      53.1894070     -27.6384074
                       12      53.1621167     -27.6387124
                       13      53.1663286     -27.6387112
                       14      53.1618546     -27.6390640
                       15      53.1627880     -27.6394681
                       16      53.1779136     -27.6392512
                       17      53.1717256     -27.6394382
                       18      53.1697357     -27.6397664
                       19      53.1807814     -27.6396718
                       20      53.1856033     -27.6399558
                       21      53.1481168     -27.6402400
                       22      53.1682308     -27.6401240
                       23      53.1719673     -27.6402766
                       24      53.1870715     -27.6401402
                       25      53.1774541     -27.6405301
                       26      53.1629610     -27.6408422
                       27      53.1638847     -27.6410105
                       28      53.1694141     -27.6409247
                       29      53.1732196     -27.6407337
                       30      53.1481850     -27.6407733
                       31      53.1651300     -27.6407636
                       32      53.1812921     -27.6409540
                       33      53.1492845     -27.6408970
                       34      53.1801770     -27.6411788
                       35      53.1457495     -27.6412646
                       36      53.1510631     -27.6413575
                       37      53.1716093     -27.6413227
                       38      53.1839046     -27.6415539
                       39      53.1575075     -27.6414344
                       40      53.1772500     -27.6417028
                       41      53.1364910     -27.6416581
                       42      53.1753202     -27.6418392
                       43      53.1853317     -27.6418988
                       44      53.1662037     -27.6421764
                       45      53.1488613     -27.6421971
                       46      53.1524842     -27.6423104
                       47      53.1677453     -27.6424353
                       48      53.1686958     -27.6429922
                       49      53.1400107     -27.6422547
                       50      53.1594797     -27.6421790
                       51      53.1702811     -27.6423293
                       52      53.1576808     -27.6423462
                       53      53.1795202     -27.6424387
                       54      53.1363864     -27.6428506
                       55      53.1334259     -27.6427241
                       56      53.1421947     -27.6427440
                       57      53.1589098     -27.6426792
                       58      53.1716975     -27.6428264
                       59      53.1813379     -27.6427968
                       60      53.1488840     -27.6428481
                       61      53.1875258     -27.6429157
                       62      53.1609113     -27.6430580
                       63      53.1699756     -27.6433861
                       64      53.1823820     -27.6431363
                       65      53.1614438     -27.6433039
                       66      53.1633355     -27.6433292
                       67      53.1667225     -27.6434006
                       68      53.1579830     -27.6434264
                       69      53.1587789     -27.6434724
                       70      53.1742561     -27.6434987
                       71      53.1799123     -27.6437699
                       72      53.1815064     -27.6433382
                       73      53.1209993     -27.6435774
                       74      53.1409328     -27.6437698
                       75      53.1499228     -27.6435704
                       76      53.1552183     -27.6438165
                       77      53.1774168     -27.6438108
                       78      53.1479840     -27.6437236
                       79      53.1644905     -27.6439182
                       80      53.1826898     -27.6438377
                       81      53.1382631     -27.6440647
                       82      53.1760385     -27.6440784
                       83      53.1896518     -27.6445512
                       84      53.1368126     -27.6444111
                       85      53.1510099     -27.6446031
                       86      53.1615304     -27.6446066
                       87      53.1612636     -27.6453409
                       88      53.1843957     -27.6444469
                       89      53.1185409     -27.6447839
                       90      53.1446184     -27.6449279
                       91      53.1745381     -27.6445858
                       92      53.1177196     -27.6447468
                       93      53.1880989     -27.6450589
                       94      53.1277680     -27.6450902
                       95      53.1640898     -27.6449342
                       96      53.1678398     -27.6450865
                       97      53.1705344     -27.6450479
                       98      53.1733140     -27.6452402
                       99      53.1792650     -27.6448940
                      100      53.1500715     -27.6453500
                      101      53.1597117     -27.6454071
                      102      53.1843377     -27.6450036
                      103      53.1177917     -27.6452341
                      104      53.1373073     -27.6453703
                      105      53.1425726     -27.6455834
                      106      53.1458651     -27.6455292
                      107      53.1670734     -27.6452612
                      108      53.1927807     -27.6451663
                      109      53.1521491     -27.6456006
                      110      53.1829066     -27.6456843
                      111      53.1434217     -27.6459254
                      112      53.1751096     -27.6456740
                      113      53.1354136     -27.6459228
                      114      53.1636211     -27.6458445
                      115      53.1890278     -27.6460078
                      116      53.1705310     -27.6463728
                      117      53.1330187     -27.6462689
                      118      53.1556780     -27.6462820
                      119      53.1746514     -27.6464121
                      120      53.1805189     -27.6463242
                      121      53.1341951     -27.6465795
                      122      53.1590369     -27.6465855
                      123      53.1364895     -27.6465614
                      124      53.1473491     -27.6465991
