#            id              z           maxz            snr         maxzsnr
#
              6          1.035          1.175          7.593        5.07641
             18         0.9281            -99          2.058            -99
             35          0.401            -99           1.65            -99
             36         0.3567         0.4767           10.5        5.05347
             38           3.78            -99          3.947            -99
             44          3.783            -99          1.409            -99
             48           2.26            -99              0            -99
             50            1.4            -99          1.812            -99
             56           2.41            -99              0            -99
             64           1.37            -99          1.819            -99
             65           2.07            -99              0            -99
             91          0.455            -99          0.857            -99
             95           2.16            -99          0.498            -99
            106          2.051          2.071          5.206        5.02276
            107         0.6233            -99          4.133            -99
            112          1.045            -99          2.837            -99
            123          2.418            -99          0.563            -99
            126          1.616            -99              0            -99
            127          0.582          0.862          14.28        5.11494
            130          4.127          6.487          11.02        5.01854
            132           1.47            -99           0.03            -99
            135           1.39            -99          1.122            -99
            142          2.352            -99          2.775            -99
            145           0.28            0.3          6.008         5.2172
            152         0.4677         0.5677          8.406        5.28009
            158          1.827          2.567          13.43        5.02204
            162          1.256          2.476          77.52        5.06779
            169           2.04            -99              0            -99
            175          1.762            -99           4.74            -99
            179          1.767            -99          2.924            -99
            180           1.21            -99          0.539            -99
            185          1.501            -99          3.544            -99
            186          1.259            -99          2.436            -99
            207          1.929            -99          0.944            -99
            208          1.829            -99          1.404            -99
            213         0.5044         0.8244          36.04        5.00486
            214          2.684            -99          1.888            -99
            216          0.159          0.159          6.163        6.38486
            217          2.611            -99          3.167            -99
            227          0.921            -99          2.144            -99
            239          3.242            -99          3.221            -99
            242           1.31            -99              0            -99
            245         0.7653            -99          2.492            -99
            247          0.041            -99              0            -99
            248          1.363            -99          2.767            -99
            254            1.5            -99              0            -99
            255          1.304          1.804          10.19        5.11681
            256          2.352          3.312          12.12        5.05742
            257          2.431          3.891          15.97         5.0012
            262         0.3712            -99          1.376            -99
            264          2.515            -99          4.153            -99
            270            1.4            -99          1.144            -99
            277           2.23            -99          2.199            -99
            288         0.4013            -99          4.466            -99
            289          3.075          3.355          5.571        5.00772
            309          4.851            -99          1.331            -99
            314          0.401            -99          1.489            -99
            316          1.999            -99          1.308            -99
            317         0.3786            -99          4.775            -99
            330           2.38            -99          1.145            -99
            337          2.964            -99          0.591            -99
            339         0.9719            -99           0.39            -99
            340          1.435            -99          1.769            -99
            343         0.8728            -99          2.242            -99
            356          1.259          1.439          6.769        5.08281
            365          1.174            -99          0.961            -99
            368         0.7607            -99              0            -99
            371          0.201            -99          1.927            -99
            374         0.8178         1.0378          9.587         5.0424
            375          1.199          1.219          5.291        5.02998
            376           2.83           3.61           8.44        5.01513
            379          4.259            -99          1.125            -99
            381          3.999            -99          3.084            -99
            385          2.458          3.358          9.685        5.00562
