#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
        3.23         2.5         6.5       14.54       12.92   2.306e+06
       2.757         2.5         6.5       12.41       11.03   2.288e+06
       4.051         2.5         6.5       18.23        16.2   2.298e+06
       4.051         2.5         6.5       18.23        16.2   2.298e+06
        3.53         2.5         6.5       15.88       14.12   2.307e+06
       2.635         2.5         6.5       11.86       10.54    2.28e+06
       2.608         2.5         6.5       11.74       10.43   2.277e+06
        3.53         2.5         6.5       15.88       14.12   2.307e+06
       3.218         2.5         6.5       14.48       12.87   2.306e+06
       3.693         2.5         6.5       16.62       14.77   2.306e+06
       2.716         2.5         6.5       12.22       10.86   2.286e+06
        2.99         2.5         6.5       13.45       11.96     2.3e+06
        4.08         2.5         6.5       18.36       16.32   2.297e+06
       3.742         2.5         6.5       16.84       14.97   2.305e+06
       3.768         2.5         6.5       16.96       15.07   2.305e+06
       4.744         2.5         6.5       21.35       18.98   2.272e+06
       2.514         2.5         6.5       11.31       10.06   2.268e+06
       3.636         2.5         6.5       16.36       14.54   2.306e+06
       2.546         2.5         6.5       11.46       10.18   2.272e+06
       3.988         2.5         6.5       17.95       15.95     2.3e+06
        3.19         2.5         6.5       14.36       12.76   2.305e+06
       4.161         2.5         6.5       18.72       16.64   2.295e+06
       3.568         2.5         6.5       16.06       14.27   2.307e+06
       2.907         2.5         6.5       13.08       11.63   2.297e+06
       2.964         2.5         6.5       13.34       11.86   2.299e+06
       5.237         2.5         6.5       23.57       20.95   2.248e+06
       3.102         2.5         6.5       13.96       12.41   2.303e+06
        2.65         2.5         6.5       11.92        10.6   2.281e+06
       3.151         2.5         6.5       14.18        12.6   2.305e+06
       2.587         2.5         6.5       11.64       10.35   2.275e+06
        2.69         2.5         6.5       12.11       10.76   2.284e+06
       3.266         2.5         6.5        14.7       13.06   2.307e+06
       3.242         2.5         6.5       14.59       12.97   2.306e+06
       3.663         2.5         6.5       16.48       14.65   2.306e+06
        3.15         2.5         6.5       14.17        12.6   2.305e+06
       2.849         2.5         6.5       12.82        11.4   2.294e+06
        3.18         2.5         6.5       14.31       12.72   2.305e+06
       3.485         2.5         6.5       15.68       13.94   2.308e+06
       3.214         2.5         6.5       14.46       12.86   2.306e+06
       5.851         2.5         6.5       26.33        23.4   2.216e+06
       3.238         2.5         6.5       14.57       12.95   2.306e+06
       3.124         2.5         6.5       14.06        12.5   2.304e+06
        3.11         2.5         6.5       13.99       12.44   2.304e+06
       2.929         2.5         6.5       13.18       11.72   2.298e+06
       4.496         2.5         6.5       20.23       17.98   2.283e+06
       2.921         2.5         6.5       13.14       11.68   2.297e+06
       4.716         2.5         6.5       21.22       18.86   2.273e+06
       2.724         2.5         6.5       12.26        10.9   2.286e+06
        3.02         2.5         6.5       13.59       12.08   2.301e+06
       3.168         2.5         6.5       14.26       12.67   2.305e+06
       3.026         2.5         6.5       13.62        12.1   2.301e+06
       2.914         2.5         6.5       13.11       11.66   2.297e+06
        2.72         2.5         6.5       12.24       10.88   2.286e+06
       3.501         2.5         6.5       15.75          14   2.307e+06
       4.677         2.5         6.5       21.05       18.71   2.275e+06
       3.489         2.5         6.5        15.7       13.96   2.308e+06
        5.01         2.5         6.5       22.54       20.04   2.259e+06
       4.109         2.5         6.5       18.49       16.44   2.296e+06
       2.892         2.5         6.5       13.01       11.57   2.296e+06
        3.67         2.5         6.5       16.52       14.68   2.306e+06
       2.983         2.5         6.5       13.42       11.93     2.3e+06
       3.838         2.5         6.5       17.27       15.35   2.303e+06
        3.24         2.5         6.5       14.58       12.96   2.306e+06
       3.386         2.5         6.5       15.24       13.54   2.307e+06
       4.697         2.5         6.5       21.14       18.79   2.274e+06
       3.742         2.5         6.5       16.84       14.97   2.305e+06
       3.551         2.5         6.5       15.98        14.2   2.307e+06
         3.1         2.5         6.5       13.95        12.4   2.303e+06
        2.76         2.5         6.5       12.42       11.04   2.289e+06
       2.575         2.5         6.5       11.59        10.3   2.274e+06
