#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
        3.23         2.5        3.69       3.095        1.19   5.613e+05
       2.757         2.5       3.497       2.998       0.997   4.733e+05
       4.051         2.5         6.5         4.5           4   1.665e+06
       4.051         2.5       4.451       3.476       1.951   8.931e+05
        3.53         2.5        3.87       3.185        1.37    6.42e+05
       2.635         2.5       3.415       2.957       0.915   4.354e+05
       2.608         2.5       3.688       3.094       1.188   5.604e+05
        3.53         2.5        4.13       3.315        1.63   7.562e+05
       3.218         2.5       3.298       2.899       0.798    3.81e+05
       3.693         2.5       4.553       3.526       2.053   9.357e+05
       2.716         2.5       3.676       3.088       1.176    5.55e+05
        2.99         2.5        3.95       3.225        1.45   6.775e+05
        4.08         2.5        5.34        3.92        2.84   1.249e+06
       3.742         2.5       4.482       3.491       1.982   9.061e+05
       3.768         2.5       5.328       3.914       2.828   1.244e+06
       4.744         2.5         6.5         4.5           4   1.665e+06
       2.514         2.5       2.634       2.567       0.134   6.471e+04
       3.636         2.5       3.636       3.068       1.136   5.368e+05
       2.546         2.5       3.326       2.913       0.826   3.941e+05
       3.988         2.5         6.5         4.5           4   1.665e+06
        3.19         2.5        5.45       3.975        2.95   1.291e+06
       4.161         2.5         6.5         4.5           4   1.665e+06
       3.568         2.5       4.128       3.314       1.628   7.554e+05
       2.907         2.5       4.227       3.363       1.727   7.981e+05
       2.964         2.5       3.984       3.242       1.484   6.925e+05
       5.237         2.5         6.5         4.5           4   1.665e+06
       3.102         2.5       3.542       3.021       1.042   4.939e+05
        2.65         2.5        3.05       2.775        0.55   2.642e+05
       3.151         2.5       3.951       3.225       1.451   6.779e+05
       2.587         2.5       3.927       3.213       1.427   6.673e+05
        2.69         2.5        2.99       2.745        0.49   2.356e+05
       3.266         2.5       4.186       3.343       1.686   7.804e+05
       3.242         2.5       3.702       3.101       1.202   5.667e+05
       3.663         2.5       5.023       3.761       2.523   1.126e+06
        3.15         2.5        3.79       3.145        1.29   6.063e+05
       2.849         2.5       3.289       2.894       0.789   3.768e+05
        3.18         2.5        4.82        3.66        2.32   1.045e+06
       3.485         2.5         6.5         4.5           4   1.665e+06
       3.214         2.5         6.5         4.5           4   1.665e+06
       5.851         2.5         6.5         4.5           4   1.665e+06
       3.238         2.5       3.238       2.869       0.738   3.529e+05
       3.124         2.5       3.664       3.082       1.164   5.495e+05
        3.11         2.5        3.69       3.095        1.19   5.613e+05
       2.929         2.5       3.509       3.005       1.009   4.788e+05
       4.496         2.5         6.5         4.5           4   1.665e+06
       2.921         2.5         6.5         4.5           4   1.665e+06
       4.716         2.5         6.5         4.5           4   1.665e+06
       2.724         2.5       3.104       2.802       0.604   2.898e+05
        3.02         2.5        3.32        2.91        0.82   3.913e+05
       3.168         2.5       3.948       3.224       1.448   6.766e+05
       3.026         2.5       4.046       3.273       1.546   7.197e+05
       2.914         2.5         6.5         4.5           4   1.665e+06
        2.72         2.5        2.92        2.71        0.42   2.022e+05
       3.501         2.5       5.141       3.821       2.641   1.172e+06
       4.677         2.5       5.997       4.248       3.497   1.491e+06
       3.489         2.5       5.129       3.814       2.629   1.168e+06
        5.01         2.5         6.5         4.5           4   1.665e+06
       4.109         2.5       6.029       4.264       3.529   1.502e+06
       2.892         2.5       3.252       2.876       0.752   3.595e+05
        3.67         2.5        4.19       3.345        1.69   7.822e+05
       2.983         2.5       3.263       2.881       0.763   3.646e+05
       3.838         2.5         6.5         4.5           4   1.665e+06
        3.24         2.5           5        3.75         2.5   1.117e+06
       3.386         2.5       3.386       2.943       0.886    4.22e+05
       4.697         2.5       4.697       3.598       2.197    9.95e+05
       3.742         2.5         6.5         4.5           4   1.665e+06
       3.551         2.5       5.991       4.245       3.491   1.489e+06
         3.1         2.5         4.1         3.3         1.6   7.432e+05
        2.76         2.5        3.16        2.83        0.66   3.162e+05
       2.575         2.5       2.895       2.697       0.395   1.902e+05
