#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                    0.063326                   0.0578647
         2                   0.0626389                   0.0577608
         3                   0.0596549                   0.0548051
         4                   0.0594142                   0.0522748
         5                   0.0592347                   0.0542136
         6                   0.0673428                   0.0619902
         7                   0.0636836                    0.058778
         8                   0.0650816                    0.060279
         9                   0.0589873                   0.0537231
        10                   0.0560956                   0.0507775
        11                   0.0612848                   0.0563575
        12                   0.0647237                   0.0584472
        13                   0.0715525                    0.064985
        14                   0.0678014                   0.0603762
        15                   0.0703521                    0.066221
        16                    0.055088                   0.0498228
        17                    0.067977                   0.0620193
        18                   0.0597975                    0.055274
        19                   0.0669585                   0.0626235
        20                    0.065793                   0.0605023
        21                   0.0660066                   0.0611288
        22                   0.0677719                   0.0632478
        23                    0.058652                   0.0546137
        24                   0.0650882                   0.0602731
        25                   0.0659517                   0.0601097
        26                   0.0643462                    0.060709
        27                   0.0731668                   0.0681977
        28                   0.0639821                   0.0589432
        29                   0.0639867                   0.0598728
        30                    0.065995                   0.0620962
        31                   0.0598849                   0.0553754
        32                   0.0642218                   0.0590738
        33                   0.0687477                   0.0631004
        34                   0.0568444                   0.0523951
        35                   0.0734758                   0.0680644
        36                   0.0654876                   0.0584964
        37                   0.0539478                   0.0496977
        38                   0.0539404                   0.0498193
        39                   0.0713075                   0.0646641
        40                   0.0594426                   0.0540547
        41                   0.0703709                    0.065313
        42                   0.0633601                   0.0574322
        43                   0.0639885                   0.0572439
        44                   0.0627886                   0.0568573
        45                   0.0548828                   0.0488061
        46                    0.064267                   0.0580139
        47                   0.0611623                   0.0559794
        48                    0.060232                    0.055611
        49                   0.0665111                    0.060099
        50                   0.0599687                    0.057332
        51                   0.0673827                      0.0604
        52                   0.0575209                   0.0542322
        53                   0.0688819                   0.0647667
        54                   0.0665853                    0.060186
        55                   0.0584334                   0.0546469
        56                   0.0609366                   0.0546131
        57                   0.0677359                   0.0615934
        58                   0.0602804                   0.0553455
        59                   0.0633416                   0.0590296
        60                   0.0655952                   0.0575758
        61                   0.0631179                    0.058088
        62                   0.0689731                   0.0642313
        63                   0.0570364                   0.0520543
        64                   0.0688821                   0.0639785
        65                   0.0706167                   0.0664879
        66                    0.062209                   0.0561772
        67                   0.0648133                   0.0607598
        68                   0.0636251                   0.0576009
        69                   0.0646662                   0.0612331
        70                   0.0692055                   0.0632375
        71                   0.0571846                   0.0519196
        72                   0.0558539                   0.0507095
        73                   0.0611364                   0.0553499
        74                   0.0634098                   0.0596563
        75                   0.0698032                   0.0664144
        76                   0.0585791                   0.0547668
        77                   0.0584927                   0.0528487
        78                   0.0640432                   0.0579652
        79                   0.0703429                   0.0654153
        80                    0.058437                    0.051444
        81                   0.0656219                   0.0603862
        82                   0.0657538                   0.0585409
        83                   0.0639876                   0.0575321
        84                   0.0681192                   0.0646912
        85                   0.0663868                   0.0624785
        86                   0.0604374                   0.0560277
        87                   0.0622958                   0.0575529
