#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0526224                   0.0437708
         2                   0.0520021                   0.0404003
         3                   0.0583888                    0.051193
         4                   0.0548289                   0.0404999
         5                   0.0547022                   0.0414869
         6                   0.0578427                   0.0464422
         7                   0.0564243                   0.0459683
         8                     0.05256                   0.0391301
         9                   0.0482702                   0.0400402
        10                   0.0581909                    0.045031
        11                   0.0485911                   0.0378413
        12                   0.0521854                   0.0437739
        13                   0.0607633                   0.0461844
        14                   0.0481837                   0.0387871
        15                   0.0575807                   0.0452528
        16                   0.0531839                   0.0433613
        17                   0.0558189                   0.0452073
        18                   0.0560938                   0.0448713
        19                   0.0518317                   0.0403871
        20                   0.0569408                   0.0470016
        21                   0.0534783                   0.0435483
        22                   0.0656722                   0.0491647
        23                   0.0488684                   0.0423268
        24                    0.054407                   0.0426587
        25                   0.0594752                   0.0467476
        26                   0.0532577                   0.0425283
        27                   0.0540331                   0.0435965
        28                    0.054072                   0.0434801
        29                   0.0528377                   0.0425692
        30                   0.0528967                   0.0423325
        31                    0.053009                   0.0429927
        32                   0.0557642                   0.0434788
        33                    0.059192                   0.0461086
        34                   0.0511638                   0.0405033
        35                   0.0572691                   0.0458618
        36                   0.0588914                   0.0445999
        37                   0.0505474                   0.0396276
        38                   0.0541884                   0.0432265
        39                   0.0558599                   0.0464669
        40                   0.0546757                   0.0418473
        41                   0.0588634                   0.0450544
        42                   0.0546678                   0.0436821
        43                   0.0523015                    0.042528
        44                   0.0587001                   0.0459571
        45                   0.0532514                   0.0438633
        46                   0.0465721                   0.0358855
        47                    0.056834                   0.0457378
        48                    0.058909                   0.0476797
        49                   0.0587956                   0.0485296
        50                   0.0504237                   0.0421114
        51                   0.0558828                   0.0451366
        52                   0.0534486                   0.0392942
        53                   0.0548722                   0.0471197
        54                   0.0543853                   0.0427298
        55                   0.0559855                   0.0447686
        56                   0.0549751                    0.042265
        57                   0.0529894                   0.0417048
        58                   0.0525743                   0.0447562
        59                   0.0560611                   0.0434818
        60                   0.0525696                   0.0412548
        61                   0.0578755                   0.0434077
        62                    0.054268                   0.0436623
        63                   0.0544767                   0.0407685
        64                   0.0602087                   0.0461607
        65                   0.0632926                   0.0517437
        66                   0.0570777                   0.0429326
        67                   0.0571573                    0.044288
        68                   0.0524636                   0.0424834
        69                   0.0518249                   0.0401957
        70                   0.0541985                   0.0416955
        71                   0.0560974                   0.0454343
        72                   0.0489338                   0.0361416
        73                   0.0613097                   0.0465316
        74                   0.0526637                   0.0391868
        75                   0.0540028                   0.0429733
        76                   0.0507943                   0.0411599
        77                   0.0580259                   0.0462011
        78                    0.056255                   0.0430915
