#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                  0.00781922                  0.00781922
         2                  0.00781922                  0.00781922
         3                  0.00944828                  0.00944828
         4                  0.00840047                  0.00840047
         5                  0.00840047                  0.00840047
         6                  0.00781922                  0.00781922
         7                  0.00944828                  0.00944828
         8                  0.00781922                  0.00781922
         9                   0.0104961                   0.0104961
        10                  0.00840047                  0.00840047
        11                  0.00944828                  0.00944828
        12                  0.00944828                  0.00944828
        13                  0.00781922                  0.00781922
        14                  0.00781922                  0.00781922
        15                  0.00677141                  0.00677141
        16                   0.0104961                   0.0104961
        17                  0.00840047                  0.00840047
        18                  0.00723798                  0.00723798
        19                  0.00781922                  0.00781922
        20                   0.0104961                   0.0104961
        21                  0.00944828                  0.00944828
        22                  0.00886704                  0.00886704
        23                  0.00619017                  0.00619017
        24                  0.00677141                  0.00677141
        25                  0.00886704                  0.00886704
        26                  0.00886704                  0.00886704
        27                  0.00944828                  0.00944828
        28                  0.00723798                  0.00723798
        29                  0.00781922                  0.00781922
        30                  0.00781922                  0.00781922
        31                  0.00560893                  0.00560893
        32                   0.0104961                   0.0104961
        33                  0.00840047                  0.00840047
        34                  0.00944828                  0.00944828
        35                  0.00781922                  0.00781922
        36                  0.00781922                  0.00781922
        37                  0.00723798                  0.00723798
        38                  0.00723798                  0.00723798
        39                   0.0104961                   0.0104961
        40                   0.0104961                   0.0104961
        41                  0.00781922                  0.00781922
        42                  0.00840047                  0.00840047
        43                  0.00944828                  0.00944828
        44                  0.00619017                  0.00619017
        45                  0.00735265                  0.00735265
        46                  0.00781922                  0.00781922
        47                  0.00944828                  0.00944828
        48                  0.00840047                  0.00840047
        49                  0.00781922                  0.00781922
        50                  0.00886704                  0.00886704
        51                  0.00944828                  0.00944828
        52                  0.00886704                  0.00886704
        53                  0.00781922                  0.00781922
        54                  0.00781922                  0.00781922
        55                  0.00840047                  0.00840047
        56                  0.00619017                  0.00619017
        57                  0.00781922                  0.00781922
        58                  0.00886704                  0.00886704
        59                  0.00886704                  0.00886704
        60                  0.00840047                  0.00840047
        61                  0.00886704                  0.00886704
        62                  0.00781922                  0.00781922
        63                   0.0104961                   0.0104961
        64                  0.00886704                  0.00886704
        65                  0.00886704                  0.00886704
        66                  0.00781922                  0.00781922
        67                  0.00677141                  0.00677141
        68                  0.00886704                  0.00886704
        69                  0.00723798                  0.00723798
        70                  0.00886704                  0.00886704
        71                  0.00944828                  0.00944828
        72                  0.00723798                  0.00723798
        73                  0.00944828                  0.00944828
        74                  0.00781922                  0.00781922
        75                  0.00723798                  0.00723798
        76                  0.00886704                  0.00886704
        77                   0.0104961                   0.0104961
        78                   0.0104961                   0.0104961
        79                  0.00840047                  0.00840047
        80                  0.00619017                  0.00619017
        81                  0.00781922                  0.00781922
        82                  0.00886704                  0.00886704
        83                  0.00840047                  0.00840047
        84                  0.00735265                  0.00735265
        85                  0.00886704                  0.00886704
        86                  0.00944828                  0.00944828
        87                  0.00781922                  0.00781922
        88                  0.00781922                  0.00781922
        89                  0.00619017                  0.00619017
        90                  0.00781922                  0.00781922
        91                  0.00723798                  0.00723798
        92                   0.0104961                   0.0104961
        93                  0.00944828                  0.00944828
        94                  0.00723798                  0.00723798
        95                   0.0104961                   0.0104961
        96                  0.00886704                  0.00886704
        97                  0.00781922                  0.00781922
        98                   0.0104961                   0.0104961
        99                  0.00677141                  0.00677141
       100                  0.00944828                  0.00944828
       101                  0.00723798                  0.00723798
       102                   0.0104961                   0.0104961
       103                  0.00944828                  0.00944828
       104                  0.00944828                  0.00944828
       105                   0.0104961                   0.0104961
       106                  0.00886704                  0.00886704
       107                  0.00944828                  0.00944828
       108                   0.0104961                   0.0104961
       109                  0.00944828                  0.00944828
       110                  0.00944828                  0.00944828
       111                  0.00781922                  0.00781922
       112                   0.0104961                   0.0104961
       113                  0.00886704                  0.00886704
       114                   0.0104961                   0.0104961
       115                  0.00886704                  0.00886704
       116                  0.00886704                  0.00886704
       117                  0.00944828                  0.00944828
       118                  0.00619017                  0.00619017
       119                  0.00944828                  0.00944828
       120                  0.00781922                  0.00781922
       121                  0.00886704                  0.00886704
       122                  0.00781922                  0.00781922
       123                  0.00560893                  0.00560893
       124                  0.00886704                  0.00886704
       125                  0.00781922                  0.00781922
       126                  0.00781922                  0.00781922
       127                  0.00781922                  0.00781922
       128                  0.00723798                  0.00723798
       129                  0.00723798                  0.00723798
       130                  0.00723798                  0.00723798
       131                  0.00944828                  0.00944828
       132                  0.00944828                  0.00944828
       133                  0.00781922                  0.00781922
       134                  0.00723798                  0.00723798
       135                  0.00723798                  0.00723798
       136                  0.00781922                  0.00781922
       137                  0.00886704                  0.00886704
       138                  0.00781922                  0.00781922
       139                  0.00944828                  0.00944828
       140                  0.00886704                  0.00886704
       141                  0.00886704                  0.00886704
       142                  0.00886704                  0.00886704
       143                  0.00781922                  0.00781922
       144                  0.00781922                  0.00781922
       145                  0.00723798                  0.00723798
       146                  0.00886704                  0.00886704
       147                  0.00781922                  0.00781922
       148                   0.0104961                   0.0104961
       149                  0.00677141                  0.00677141
       150                  0.00735265                  0.00735265
       151                  0.00735265                  0.00735265
       152                  0.00781922                  0.00781922
       153                  0.00781922                  0.00781922
       154                  0.00781922                  0.00781922
       155                  0.00944828                  0.00944828
       156                  0.00944828                  0.00944828
       157                  0.00886704                  0.00886704
       158                  0.00886704                  0.00886704
       159                   0.0104961                   0.0104961
       160                   0.0104961                   0.0104961
       161                  0.00840047                  0.00840047
       162                   0.0104961                   0.0104961
       163                  0.00677141                  0.00677141
       164                  0.00781922                  0.00781922
       165                  0.00944828                  0.00944828
       166                  0.00886704                  0.00886704
       167                  0.00735265                  0.00735265
       168                  0.00560893                  0.00560893
       169                  0.00840047                  0.00840047
       170                  0.00944828                  0.00944828
       171                  0.00944828                  0.00944828
       172                  0.00944828                  0.00944828
       173                  0.00944828                  0.00944828
       174                  0.00944828                  0.00944828
       175                  0.00944828                  0.00944828
       176                   0.0104961                   0.0104961
       177                  0.00560893                  0.00560893
       178                  0.00944828                  0.00944828
       179                  0.00944828                  0.00944828
       180                  0.00781922                  0.00781922
       181                  0.00886704                  0.00886704
       182                  0.00886704                  0.00886704
       183                  0.00886704                  0.00886704
       184                  0.00944828                  0.00944828
       185                  0.00723798                  0.00723798
       186                  0.00886704                  0.00886704
       187                  0.00886704                  0.00886704
       188                  0.00944828                  0.00944828
       189                  0.00619017                  0.00619017
       190                  0.00840047                  0.00840047
       191                  0.00886704                  0.00886704
       192                  0.00944828                  0.00944828
       193                  0.00840047                  0.00840047
       194                  0.00781922                  0.00781922
       195                  0.00619017                  0.00619017
       196                  0.00886704                  0.00886704
       197                  0.00619017                  0.00619017
       198                  0.00944828                  0.00944828
       199                  0.00781922                  0.00781922
       200                   0.0104961                   0.0104961
       201                  0.00944828                  0.00944828
       202                  0.00781922                  0.00781922
       203                  0.00944828                  0.00944828
       204                  0.00619017                  0.00619017
       205                  0.00944828                  0.00944828
       206                  0.00781922                  0.00781922
       207                  0.00735265                  0.00735265
       208                  0.00840047                  0.00840047
       209                  0.00781922                  0.00781922
       210                  0.00781922                  0.00781922
       211                  0.00781922                  0.00781922
       212                  0.00840047                  0.00840047
       213                  0.00944828                  0.00944828
