#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
      0.2008         0.2         0.4         0.3         0.2   1.206e+04
      0.3767         0.2         0.4         0.3         0.2   1.206e+04
      0.2754         0.2         0.4         0.3         0.2   1.206e+04
      0.2024         0.2         0.4         0.3         0.2   1.206e+04
      0.2024         0.2         0.4         0.3         0.2   1.206e+04
      0.2986         0.2         0.4         0.3         0.2   1.206e+04
      0.2533         0.2         0.4         0.3         0.2   1.206e+04
      0.3985         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
      0.2804         0.2         0.4         0.3         0.2   1.206e+04
      0.2533         0.2         0.4         0.3         0.2   1.206e+04
       0.278         0.2         0.4         0.3         0.2   1.206e+04
       0.286         0.2         0.4         0.3         0.2   1.206e+04
      0.2754         0.2         0.4         0.3         0.2   1.206e+04
       0.202         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
       0.284         0.2         0.4         0.3         0.2   1.206e+04
      0.2754         0.2         0.4         0.3         0.2   1.206e+04
      0.3371         0.2         0.4         0.3         0.2   1.206e+04
      0.3766         0.2         0.4         0.3         0.2   1.206e+04
      0.3371         0.2         0.4         0.3         0.2   1.206e+04
      0.2113         0.2         0.4         0.3         0.2   1.206e+04
      0.3766         0.2         0.4         0.3         0.2   1.206e+04
        0.32         0.2         0.4         0.3         0.2   1.206e+04
      0.2024         0.2         0.4         0.3         0.2   1.206e+04
      0.3767         0.2         0.4         0.3         0.2   1.206e+04
      0.3766         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
       0.286         0.2         0.4         0.3         0.2   1.206e+04
         0.3         0.2         0.4         0.3         0.2   1.206e+04
      0.2767         0.2         0.4         0.3         0.2   1.206e+04
      0.3767         0.2         0.4         0.3         0.2   1.206e+04
       0.284         0.2         0.4         0.3         0.2   1.206e+04
       0.281         0.2         0.4         0.3         0.2   1.206e+04
      0.2778         0.2         0.4         0.3         0.2   1.206e+04
      0.3551         0.2         0.4         0.3         0.2   1.206e+04
      0.2113         0.2         0.4         0.3         0.2   1.206e+04
      0.2988         0.2         0.4         0.3         0.2   1.206e+04
      0.2804         0.2         0.4         0.3         0.2   1.206e+04
         0.3         0.2         0.4         0.3         0.2   1.206e+04
      0.2804         0.2         0.4         0.3         0.2   1.206e+04
