#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
      0.8391         0.8           1         0.9         0.2   5.641e+04
      0.9481         0.8           1         0.9         0.2   5.641e+04
      0.8494         0.8           1         0.9         0.2   5.641e+04
        0.94         0.8           1         0.9         0.2   5.641e+04
        0.89         0.8           1         0.9         0.2   5.641e+04
       0.969         0.8           1         0.9         0.2   5.641e+04
      0.9628         0.8           1         0.9         0.2   5.641e+04
         0.8         0.8           1         0.9         0.2   5.641e+04
      0.8498         0.8           1         0.9         0.2   5.641e+04
      0.8988         0.8           1         0.9         0.2   5.641e+04
      0.8448         0.8           1         0.9         0.2   5.641e+04
       0.851         0.8           1         0.9         0.2   5.641e+04
      0.8579         0.8           1         0.9         0.2   5.641e+04
        0.84         0.8           1         0.9         0.2   5.641e+04
       0.846         0.8           1         0.9         0.2   5.641e+04
      0.8408         0.8           1         0.9         0.2   5.641e+04
      0.8494         0.8           1         0.9         0.2   5.641e+04
       0.909         0.8           1         0.9         0.2   5.641e+04
      0.8498         0.8           1         0.9         0.2   5.641e+04
       0.947         0.8           1         0.9         0.2   5.641e+04
      0.8408         0.8           1         0.9         0.2   5.641e+04
       0.851         0.8           1         0.9         0.2   5.641e+04
       0.841         0.8           1         0.9         0.2   5.641e+04
      0.8408         0.8           1         0.9         0.2   5.641e+04
      0.9585         0.8           1         0.9         0.2   5.641e+04
      0.8494         0.8           1         0.9         0.2   5.641e+04
        0.94         0.8           1         0.9         0.2   5.641e+04
      0.8484         0.8           1         0.9         0.2   5.641e+04
       0.846         0.8           1         0.9         0.2   5.641e+04
       0.874         0.8           1         0.9         0.2   5.641e+04
      0.9093         0.8           1         0.9         0.2   5.641e+04
      0.9365         0.8           1         0.9         0.2   5.641e+04
      0.9369         0.8           1         0.9         0.2   5.641e+04
      0.9377         0.8           1         0.9         0.2   5.641e+04
      0.8495         0.8           1         0.9         0.2   5.641e+04
       0.917         0.8           1         0.9         0.2   5.641e+04
      0.9438         0.8           1         0.9         0.2   5.641e+04
      0.8392         0.8           1         0.9         0.2   5.641e+04
       0.948         0.8           1         0.9         0.2   5.641e+04
      0.9048         0.8           1         0.9         0.2   5.641e+04
       0.937         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
      0.9448         0.8           1         0.9         0.2   5.641e+04
      0.9438         0.8           1         0.9         0.2   5.641e+04
      0.8408         0.8           1         0.9         0.2   5.641e+04
       0.877         0.8           1         0.9         0.2   5.641e+04
        0.85         0.8           1         0.9         0.2   5.641e+04
      0.9585         0.8           1         0.9         0.2   5.641e+04
      0.8541         0.8           1         0.9         0.2   5.641e+04
       0.948         0.8           1         0.9         0.2   5.641e+04
       0.938         0.8           1         0.9         0.2   5.641e+04
      0.9438         0.8           1         0.9         0.2   5.641e+04
       0.851         0.8           1         0.9         0.2   5.641e+04
       0.917         0.8           1         0.9         0.2   5.641e+04
       0.841         0.8           1         0.9         0.2   5.641e+04
       0.948         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
      0.8433         0.8           1         0.9         0.2   5.641e+04
       0.913         0.8           1         0.9         0.2   5.641e+04
        0.97         0.8           1         0.9         0.2   5.641e+04
      0.8352         0.8           1         0.9         0.2   5.641e+04
       0.848         0.8           1         0.9         0.2   5.641e+04
      0.9712         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
       0.842         0.8           1         0.9         0.2   5.641e+04
      0.9712         0.8           1         0.9         0.2   5.641e+04
      0.9542         0.8           1         0.9         0.2   5.641e+04
      0.8487         0.8           1         0.9         0.2   5.641e+04
      0.9378         0.8           1         0.9         0.2   5.641e+04
       0.969         0.8           1         0.9         0.2   5.641e+04
         0.8         0.8           1         0.9         0.2   5.641e+04
      0.9438         0.8           1         0.9         0.2   5.641e+04
      0.8453         0.8           1         0.9         0.2   5.641e+04
        0.96         0.8           1         0.9         0.2   5.641e+04
      0.9628         0.8           1         0.9         0.2   5.641e+04
      0.9032         0.8           1         0.9         0.2   5.641e+04
      0.9369         0.8           1         0.9         0.2   5.641e+04
       0.948         0.8           1         0.9         0.2   5.641e+04
      0.9456         0.8           1         0.9         0.2   5.641e+04
       0.846         0.8           1         0.9         0.2   5.641e+04
      0.8785         0.8           1         0.9         0.2   5.641e+04
      0.8453         0.8           1         0.9         0.2   5.641e+04
      0.9436         0.8           1         0.9         0.2   5.641e+04
       0.972         0.8           1         0.9         0.2   5.641e+04
      0.9346         0.8           1         0.9         0.2   5.641e+04
      0.8352         0.8           1         0.9         0.2   5.641e+04
      0.9585         0.8           1         0.9         0.2   5.641e+04
      0.9362         0.8           1         0.9         0.2   5.641e+04
      0.9378         0.8           1         0.9         0.2   5.641e+04
       0.947         0.8           1         0.9         0.2   5.641e+04
      0.9346         0.8           1         0.9         0.2   5.641e+04
      0.8494         0.8           1         0.9         0.2   5.641e+04
      0.8418         0.8           1         0.9         0.2   5.641e+04
       0.955         0.8           1         0.9         0.2   5.641e+04
       0.947         0.8           1         0.9         0.2   5.641e+04
      0.8471         0.8           1         0.9         0.2   5.641e+04
      0.9365         0.8           1         0.9         0.2   5.641e+04
      0.9032         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
