#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
        1.14           1         1.5        1.25         0.5   1.867e+05
       1.142           1         1.5        1.25         0.5   1.867e+05
       1.201           1         1.5        1.25         0.5   1.867e+05
        1.28           1         1.5        1.25         0.5   1.867e+05
       1.363           1         1.5        1.25         0.5   1.867e+05
       1.142           1         1.5        1.25         0.5   1.867e+05
       1.241           1         1.5        1.25         0.5   1.867e+05
       1.485           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.237           1         1.5        1.25         0.5   1.867e+05
       1.199           1         1.5        1.25         0.5   1.867e+05
         1.4           1         1.5        1.25         0.5   1.867e+05
       1.005           1         1.5        1.25         0.5   1.867e+05
       1.195           1         1.5        1.25         0.5   1.867e+05
       1.434           1         1.5        1.25         0.5   1.867e+05
       1.334           1         1.5        1.25         0.5   1.867e+05
       1.363           1         1.5        1.25         0.5   1.867e+05
       1.221           1         1.5        1.25         0.5   1.867e+05
       1.497           1         1.5        1.25         0.5   1.867e+05
       1.056           1         1.5        1.25         0.5   1.867e+05
       1.364           1         1.5        1.25         0.5   1.867e+05
       1.155           1         1.5        1.25         0.5   1.867e+05
       1.382           1         1.5        1.25         0.5   1.867e+05
       1.201           1         1.5        1.25         0.5   1.867e+05
        1.33           1         1.5        1.25         0.5   1.867e+05
       1.459           1         1.5        1.25         0.5   1.867e+05
       1.155           1         1.5        1.25         0.5   1.867e+05
        1.14           1         1.5        1.25         0.5   1.867e+05
       1.222           1         1.5        1.25         0.5   1.867e+05
       1.083           1         1.5        1.25         0.5   1.867e+05
       1.498           1         1.5        1.25         0.5   1.867e+05
       1.246           1         1.5        1.25         0.5   1.867e+05
       1.028           1         1.5        1.25         0.5   1.867e+05
       1.251           1         1.5        1.25         0.5   1.867e+05
       1.261           1         1.5        1.25         0.5   1.867e+05
       1.251           1         1.5        1.25         0.5   1.867e+05
       1.091           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.083           1         1.5        1.25         0.5   1.867e+05
       1.453           1         1.5        1.25         0.5   1.867e+05
       1.263           1         1.5        1.25         0.5   1.867e+05
       1.084           1         1.5        1.25         0.5   1.867e+05
       1.005           1         1.5        1.25         0.5   1.867e+05
       1.295           1         1.5        1.25         0.5   1.867e+05
       1.004           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.382           1         1.5        1.25         0.5   1.867e+05
       1.083           1         1.5        1.25         0.5   1.867e+05
       1.465           1         1.5        1.25         0.5   1.867e+05
       1.109           1         1.5        1.25         0.5   1.867e+05
        1.14           1         1.5        1.25         0.5   1.867e+05
       1.214           1         1.5        1.25         0.5   1.867e+05
       1.029           1         1.5        1.25         0.5   1.867e+05
       1.084           1         1.5        1.25         0.5   1.867e+05
       1.237           1         1.5        1.25         0.5   1.867e+05
       1.263           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.465           1         1.5        1.25         0.5   1.867e+05
       1.251           1         1.5        1.25         0.5   1.867e+05
         1.2           1         1.5        1.25         0.5   1.867e+05
       1.023           1         1.5        1.25         0.5   1.867e+05
       1.109           1         1.5        1.25         0.5   1.867e+05
       1.214           1         1.5        1.25         0.5   1.867e+05
       1.224           1         1.5        1.25         0.5   1.867e+05
       1.351           1         1.5        1.25         0.5   1.867e+05
       1.223           1         1.5        1.25         0.5   1.867e+05
       1.152           1         1.5        1.25         0.5   1.867e+05
       1.008           1         1.5        1.25         0.5   1.867e+05
       1.364           1         1.5        1.25         0.5   1.867e+05
       1.261           1         1.5        1.25         0.5   1.867e+05
       1.144           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.447           1         1.5        1.25         0.5   1.867e+05
        1.08           1         1.5        1.25         0.5   1.867e+05
       1.022           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.209           1         1.5        1.25         0.5   1.867e+05
       1.209           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.306           1         1.5        1.25         0.5   1.867e+05
       1.263           1         1.5        1.25         0.5   1.867e+05
       1.451           1         1.5        1.25         0.5   1.867e+05
       1.363           1         1.5        1.25         0.5   1.867e+05
       1.256           1         1.5        1.25         0.5   1.867e+05
       1.128           1         1.5        1.25         0.5   1.867e+05
       1.056           1         1.5        1.25         0.5   1.867e+05
        1.36           1         1.5        1.25         0.5   1.867e+05
       1.414           1         1.5        1.25         0.5   1.867e+05
       1.018           1         1.5        1.25         0.5   1.867e+05
       1.237           1         1.5        1.25         0.5   1.867e+05
       1.091           1         1.5        1.25         0.5   1.867e+05
       1.344           1         1.5        1.25         0.5   1.867e+05
       1.183           1         1.5        1.25         0.5   1.867e+05
       1.447           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
         1.2           1         1.5        1.25         0.5   1.867e+05
       1.237           1         1.5        1.25         0.5   1.867e+05
       1.017           1         1.5        1.25         0.5   1.867e+05
       1.266           1         1.5        1.25         0.5   1.867e+05
       1.451           1         1.5        1.25         0.5   1.867e+05
       1.083           1         1.5        1.25         0.5   1.867e+05
        1.14           1         1.5        1.25         0.5   1.867e+05
       1.306           1         1.5        1.25         0.5   1.867e+05
       1.334           1         1.5        1.25         0.5   1.867e+05
        1.36           1         1.5        1.25         0.5   1.867e+05
       1.055           1         1.5        1.25         0.5   1.867e+05
       1.423           1         1.5        1.25         0.5   1.867e+05
        1.24           1         1.5        1.25         0.5   1.867e+05
       1.222           1         1.5        1.25         0.5   1.867e+05
       1.022           1         1.5        1.25         0.5   1.867e+05
        1.02           1         1.5        1.25         0.5   1.867e+05
       1.003           1         1.5        1.25         0.5   1.867e+05
        1.14           1         1.5        1.25         0.5   1.867e+05
        1.45           1         1.5        1.25         0.5   1.867e+05
       1.006           1         1.5        1.25         0.5   1.867e+05
       1.246           1         1.5        1.25         0.5   1.867e+05
       1.022           1         1.5        1.25         0.5   1.867e+05
       1.246           1         1.5        1.25         0.5   1.867e+05
        1.36           1         1.5        1.25         0.5   1.867e+05
       1.225           1         1.5        1.25         0.5   1.867e+05
       1.145           1         1.5        1.25         0.5   1.867e+05
        1.36           1         1.5        1.25         0.5   1.867e+05
       1.498           1         1.5        1.25         0.5   1.867e+05
       1.155           1         1.5        1.25         0.5   1.867e+05
       1.015           1         1.5        1.25         0.5   1.867e+05
       1.043           1         1.5        1.25         0.5   1.867e+05
       1.344           1         1.5        1.25         0.5   1.867e+05
       1.138           1         1.5        1.25         0.5   1.867e+05
       1.149           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.268           1         1.5        1.25         0.5   1.867e+05
       1.491           1         1.5        1.25         0.5   1.867e+05
       1.015           1         1.5        1.25         0.5   1.867e+05
       1.018           1         1.5        1.25         0.5   1.867e+05
       1.155           1         1.5        1.25         0.5   1.867e+05
       1.031           1         1.5        1.25         0.5   1.867e+05
        1.42           1         1.5        1.25         0.5   1.867e+05
       1.382           1         1.5        1.25         0.5   1.867e+05
       1.382           1         1.5        1.25         0.5   1.867e+05
       1.091           1         1.5        1.25         0.5   1.867e+05
       1.028           1         1.5        1.25         0.5   1.867e+05
       1.109           1         1.5        1.25         0.5   1.867e+05
       1.029           1         1.5        1.25         0.5   1.867e+05
        1.45           1         1.5        1.25         0.5   1.867e+05
       1.127           1         1.5        1.25         0.5   1.867e+05
       1.263           1         1.5        1.25         0.5   1.867e+05
       1.491           1         1.5        1.25         0.5   1.867e+05
       1.018           1         1.5        1.25         0.5   1.867e+05
       1.084           1         1.5        1.25         0.5   1.867e+05
       1.382           1         1.5        1.25         0.5   1.867e+05
       1.237           1         1.5        1.25         0.5   1.867e+05
       1.497           1         1.5        1.25         0.5   1.867e+05
       1.459           1         1.5        1.25         0.5   1.867e+05
       1.453           1         1.5        1.25         0.5   1.867e+05
       1.084           1         1.5        1.25         0.5   1.867e+05
       1.015           1         1.5        1.25         0.5   1.867e+05
       1.229           1         1.5        1.25         0.5   1.867e+05
       1.201           1         1.5        1.25         0.5   1.867e+05
