#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       3.768           3           4         3.5           1   4.597e+05
       3.636           3           4         3.5           1   4.597e+05
       3.266           3           4         3.5           1   4.597e+05
        3.15           3           4         3.5           1   4.597e+05
       3.636           3           4         3.5           1   4.597e+05
        3.02           3           4         3.5           1   4.597e+05
        3.11           3           4         3.5           1   4.597e+05
        3.02           3           4         3.5           1   4.597e+05
        3.18           3           4         3.5           1   4.597e+05
        3.53           3           4         3.5           1   4.597e+05
        3.53           3           4         3.5           1   4.597e+05
       3.386           3           4         3.5           1   4.597e+05
       3.551           3           4         3.5           1   4.597e+05
        3.18           3           4         3.5           1   4.597e+05
       3.238           3           4         3.5           1   4.597e+05
       3.214           3           4         3.5           1   4.597e+05
       3.568           3           4         3.5           1   4.597e+05
       3.485           3           4         3.5           1   4.597e+05
       3.636           3           4         3.5           1   4.597e+05
       3.663           3           4         3.5           1   4.597e+05
       3.489           3           4         3.5           1   4.597e+05
       3.124           3           4         3.5           1   4.597e+05
       3.386           3           4         3.5           1   4.597e+05
        3.23           3           4         3.5           1   4.597e+05
       3.489           3           4         3.5           1   4.597e+05
        3.18           3           4         3.5           1   4.597e+05
       3.489           3           4         3.5           1   4.597e+05
        3.11           3           4         3.5           1   4.597e+05
       3.742           3           4         3.5           1   4.597e+05
       3.026           3           4         3.5           1   4.597e+05
       3.742           3           4         3.5           1   4.597e+05
       3.218           3           4         3.5           1   4.597e+05
       3.168           3           4         3.5           1   4.597e+05
       3.485           3           4         3.5           1   4.597e+05
        3.67           3           4         3.5           1   4.597e+05
