#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
      0.1056           0      0.1656      0.0828      0.1656        1229
       0.136           0         0.2         0.1         0.2        2111
      0.1389           0         0.2         0.1         0.2        2111
       0.112           0       0.112       0.056       0.112       394.4
      0.0699           0      0.1099     0.05495      0.1099       373.5
      0.1049           0      0.1449     0.07245      0.1449       835.1
       0.114           0       0.174       0.087       0.174        1417
       0.112           0       0.112       0.056       0.112       394.4
      0.1056           0      0.1656      0.0828      0.1656        1229
      0.1049           0      0.1449     0.07245      0.1449       835.1
       0.112           0       0.112       0.056       0.112       394.4
       0.136           0         0.2         0.1         0.2        2111
       0.112           0       0.112       0.056       0.112       394.4
       0.136           0         0.2         0.1         0.2        2111
      0.1892           0         0.2         0.1         0.2        2111
      0.1056           0      0.1656      0.0828      0.1656        1229
       0.136           0         0.2         0.1         0.2        2111
      0.1895           0      0.1895     0.09475      0.1895        1810
      0.1137           0      0.1937     0.09685      0.1937        1927
      0.1056           0      0.1656      0.0828      0.1656        1229
      0.1892           0         0.2         0.1         0.2        2111
