#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
       5.237           4           6           5           2   7.945e+05
       4.677           4       5.997       4.998       1.997   7.935e+05
       4.697           4       4.697       4.348       0.697   2.963e+05
       4.677           4       5.997       4.998       1.997   7.935e+05
       4.496           4           6           5           2   7.945e+05
       5.851           4           6           5           2   7.945e+05
       4.109           4           6           5           2   7.945e+05
       5.237           4           6           5           2   7.945e+05
       4.716           4           6           5           2   7.945e+05
       4.677           4       5.997       4.998       1.997   7.935e+05
       4.716           4           6           5           2   7.945e+05
       4.051           4           6           5           2   7.945e+05
       4.716           4           6           5           2   7.945e+05
