#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0283688                   0.0266279
         2                   0.0270215                   0.0244371
         3                   0.0282082                   0.0257395
         4                   0.0329761                    0.030388
         5                   0.0267614                   0.0249734
         6                   0.0281721                    0.026645
         7                   0.0253215                   0.0224755
         8                   0.0306746                   0.0278009
         9                   0.0292127                   0.0267699
        10                   0.0284859                   0.0252236
        11                   0.0295672                   0.0283432
        12                    0.028847                   0.0272751
        13                   0.0288602                   0.0268302
        14                   0.0289444                   0.0274874
        15                   0.0333132                    0.031085
        16                   0.0266838                   0.0236207
        17                   0.0373715                   0.0359777
        18                   0.0339613                   0.0325747
        19                   0.0314381                   0.0292322
        20                   0.0316204                   0.0285347
        21                   0.0313027                   0.0298486
        22                   0.0313306                   0.0288994
        23                   0.0325982                    0.030364
        24                   0.0335886                   0.0314247
        25                   0.0290402                   0.0281852
        26                   0.0308287                   0.0289252
        27                   0.0318869                   0.0291272
        28                   0.0320266                   0.0303147
        29                   0.0322407                   0.0297257
        30                   0.0316138                   0.0286006
        31                    0.032012                    0.029631
        32                   0.0331946                   0.0304897
        33                   0.0257796                   0.0227237
        34                   0.0275254                   0.0256462
        35                   0.0253629                   0.0224307
        36                   0.0268403                   0.0248358
        37                   0.0271283                   0.0255181
        38                   0.0296112                    0.027943
        39                   0.0355449                   0.0322047
        40                    0.036214                   0.0325669
        41                   0.0254336                   0.0233926
        42                   0.0365865                   0.0347595
        43                   0.0269894                    0.025296
        44                   0.0245579                   0.0210586
        45                   0.0281222                   0.0264619
        46                   0.0275644                   0.0247897
        47                   0.0316072                   0.0289481
        48                    0.030208                   0.0279705
        49                   0.0301693                   0.0284607
        50                   0.0320403                   0.0296018
        51                   0.0271174                   0.0243057
        52                   0.0265511                   0.0242079
        53                   0.0284254                   0.0255181
        54                   0.0306453                   0.0280998
        55                   0.0248151                   0.0202889
        56                   0.0346844                   0.0323947
        57                   0.0307791                   0.0281568
        58                   0.0328998                   0.0306724
        59                   0.0289911                   0.0260325
        60                    0.032632                   0.0303899
        61                    0.030225                   0.0283337
        62                    0.032962                   0.0312081
        63                   0.0274586                   0.0254527
        64                   0.0328409                    0.030608
        65                   0.0252988                   0.0224668
        66                   0.0286779                   0.0257503
        67                   0.0288893                   0.0259835
        68                   0.0261581                   0.0226081
        69                   0.0288286                   0.0270559
        70                   0.0263533                    0.024292
        71                   0.0308025                   0.0283879
        72                   0.0337889                   0.0308417
        73                   0.0291211                    0.027058
        74                   0.0330127                   0.0299688
        75                   0.0269754                   0.0250243
        76                   0.0289489                   0.0270765
        77                   0.0341717                   0.0318363
        78                    0.035042                     0.03169
        79                   0.0358541                   0.0329222
        80                   0.0283989                   0.0264676
        81                   0.0366084                   0.0338607
        82                   0.0248213                   0.0232059
        83                   0.0283265                   0.0266704
        84                   0.0289989                   0.0274192
        85                     0.02903                   0.0270347
        86                   0.0248483                   0.0231012
        87                   0.0296097                   0.0277333
        88                   0.0276609                   0.0261274
        89                   0.0287805                   0.0269788
        90                   0.0255891                   0.0223925
        91                   0.0348082                   0.0310107
        92                   0.0288546                   0.0259445
        93                   0.0289104                    0.026206
        94                   0.0300336                   0.0272162
        95                   0.0306333                   0.0265193
        96                   0.0293309                   0.0275536
        97                   0.0310756                   0.0298463
        98                   0.0320491                   0.0300486
        99                   0.0254474                   0.0235249
       100                   0.0276934                   0.0253883
       101                   0.0287591                   0.0264308
       102                   0.0262848                    0.023602
       103                   0.0326192                   0.0308607
       104                   0.0318854                   0.0279455
       105                   0.0338139                   0.0319029
       106                    0.026367                   0.0238983
       107                   0.0252461                   0.0232236
       108                   0.0279178                   0.0257422
       109                   0.0308838                   0.0280151
       110                   0.0268601                   0.0243171
       111                   0.0301803                   0.0266992
       112                    0.026941                    0.025552
       113                   0.0324986                   0.0280847
       114                   0.0308572                   0.0284389
       115                   0.0317471                   0.0285882
       116                    0.028991                   0.0268672
       117                   0.0286605                   0.0281328
       118                   0.0260201                   0.0228147
       119                   0.0300343                    0.027625
       120                   0.0279818                   0.0267673
       121                   0.0260228                   0.0243041
       122                   0.0326585                    0.030079
       123                   0.0301212                   0.0262265
       124                    0.026028                   0.0239766
       125                     0.02616                   0.0235547
       126                   0.0293202                   0.0259324
       127                   0.0279373                   0.0253291
       128                   0.0268362                   0.0237621
       129                   0.0319881                   0.0289953
       130                   0.0338357                   0.0323589
       131                   0.0252387                   0.0221878
       132                    0.030472                   0.0281345
       133                   0.0281132                   0.0257349
       134                   0.0295683                   0.0276772
       135                   0.0302977                   0.0282113
       136                   0.0293218                   0.0257549
       137                   0.0298143                   0.0269806
       138                   0.0286939                    0.026066
       139                   0.0272986                   0.0253768
       140                   0.0261008                   0.0241796
       141                   0.0275202                   0.0255387
       142                    0.033518                   0.0305042
       143                    0.032754                   0.0301258
       144                   0.0319377                   0.0301239
       145                   0.0315072                   0.0296997
       146                    0.033042                   0.0310392
       147                   0.0282483                   0.0257206
       148                   0.0337271                   0.0314404
       149                   0.0325843                   0.0308095
       150                   0.0309007                   0.0290259
       151                   0.0311607                   0.0291593
       152                      0.0324                   0.0302516
       153                   0.0268777                   0.0256896
       154                   0.0304281                   0.0288942
       155                   0.0304876                   0.0289783
       156                   0.0261522                   0.0234274
       157                   0.0321657                   0.0302454
       158                   0.0313839                   0.0284418
       159                   0.0286498                   0.0266283
       160                   0.0286484                   0.0267002
       161                   0.0310508                   0.0285822
       162                   0.0294192                   0.0270589
       163                   0.0294893                   0.0286454
       164                   0.0330124                   0.0310794
       165                   0.0240001                   0.0214079
       166                    0.031143                   0.0291826
       167                   0.0268626                   0.0242103
       168                   0.0259048                   0.0240601
       169                   0.0254217                   0.0226661
       170                    0.032452                   0.0299407
       171                   0.0276946                   0.0253084
       172                   0.0260613                   0.0237166
       173                   0.0352756                   0.0327116
       174                   0.0257326                   0.0234035
       175                   0.0266206                   0.0237179
       176                   0.0313024                   0.0277861
       177                   0.0286562                   0.0258921
       178                   0.0311688                   0.0285066
       179                   0.0263495                   0.0249249
       180                   0.0322862                   0.0298288
       181                   0.0299174                   0.0270941
