#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0432537                   0.0348196
         2                   0.0445551                   0.0322489
         3                   0.0427094                   0.0335576
         4                   0.0523636                   0.0345505
         5                   0.0392151                   0.0335194
         6                   0.0482876                   0.0341551
         7                   0.0456302                   0.0348805
         8                   0.0383919                    0.034593
         9                   0.0413536                   0.0356228
        10                   0.0434206                   0.0331602
        11                   0.0412006                   0.0345475
        12                   0.0432502                   0.0347789
        13                    0.039473                   0.0309575
        14                   0.0392706                    0.033213
        15                   0.0427382                   0.0380328
        16                   0.0400989                   0.0315308
        17                   0.0462637                   0.0318887
        18                   0.0474359                   0.0358518
        19                   0.0482854                   0.0332057
        20                   0.0471697                    0.036919
        21                   0.0473266                   0.0341841
        22                   0.0445075                    0.036943
        23                   0.0402419                   0.0345679
        24                   0.0453388                   0.0316133
        25                   0.0501231                   0.0383574
        26                   0.0520679                   0.0363466
        27                   0.0471416                   0.0356017
        28                    0.043044                   0.0330886
        29                   0.0443067                   0.0349607
        30                   0.0438587                   0.0314335
        31                   0.0367796                    0.030231
        32                   0.0481757                   0.0325164
        33                    0.047792                   0.0332622
        34                   0.0455396                   0.0348349
        35                   0.0487967                    0.032087
        36                   0.0506079                    0.037272
        37                   0.0352423                   0.0326436
        38                   0.0478835                   0.0347731
        39                   0.0424772                   0.0358524
        40                   0.0456695                   0.0338051
        41                   0.0460291                   0.0366077
        42                   0.0453638                   0.0337234
        43                   0.0396135                   0.0358478
        44                   0.0452009                   0.0352407
        45                    0.037472                   0.0317471
        46                   0.0434426                    0.032112
        47                   0.0413022                   0.0336288
        48                   0.0366483                    0.032197
        49                   0.0463136                   0.0350275
        50                   0.0466533                   0.0333362
        51                   0.0400506                   0.0330592
        52                   0.0465536                   0.0341781
        53                   0.0496307                   0.0383096
        54                   0.0447092                    0.033126
        55                   0.0541237                   0.0324537
        56                   0.0382325                   0.0313802
        57                   0.0498795                   0.0346279
        58                   0.0404176                   0.0360493
        59                   0.0432877                   0.0345541
        60                   0.0449411                   0.0325051
        61                   0.0402364                   0.0338747
        62                   0.0429683                   0.0354511
        63                   0.0390664                   0.0366204
        64                   0.0455692                   0.0323681
        65                   0.0495889                   0.0294552
        66                   0.0440728                   0.0343599
        67                   0.0385879                   0.0345303
        68                   0.0480204                   0.0333591
        69                   0.0432868                   0.0368231
        70                   0.0518607                   0.0341528
        71                   0.0411622                   0.0324371
        72                    0.045058                   0.0348762
        73                   0.0449782                   0.0337567
        74                   0.0481652                   0.0333353
        75                   0.0462747                   0.0306371
        76                   0.0472678                    0.030616
        77                   0.0411533                   0.0303818
        78                   0.0434117                   0.0350501
        79                   0.0439953                   0.0356839
        80                   0.0473377                   0.0333423
        81                    0.039731                   0.0343216
        82                   0.0507911                   0.0320847
        83                   0.0472306                   0.0381337
        84                   0.0420239                   0.0351527
        85                   0.0438845                   0.0340593
        86                   0.0470552                   0.0336984
        87                   0.0406837                   0.0305531
        88                   0.0438303                   0.0349666
        89                   0.0467482                   0.0351117
        90                   0.0473092                    0.033221
        91                   0.0370036                   0.0342744
        92                   0.0511058                   0.0340164
        93                   0.0475752                   0.0368624
        94                   0.0422235                   0.0347885
        95                   0.0426982                   0.0358449
        96                   0.0429556                   0.0354357
        97                   0.0493148                   0.0382711
        98                   0.0425113                   0.0324664
        99                   0.0411177                   0.0321783
