#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                  0.00722399                  0.00722399
         2                  0.00944009                  0.00944009
         3                  0.00674938                  0.00674938
         4                  0.00885959                  0.00885959
         5                  0.00838498                  0.00838498
         6                  0.00838498                  0.00838498
         7                  0.00944009                  0.00944009
         8                  0.00722399                  0.00722399
         9                  0.00780448                  0.00780448
        10                  0.00885959                  0.00885959
        11                  0.00780448                  0.00780448
        12                   0.0104952                   0.0104952
        13                  0.00885959                  0.00885959
        14                  0.00674938                  0.00674938
        15                  0.00838498                  0.00838498
        16                  0.00722399                  0.00722399
        17                  0.00885959                  0.00885959
        18                   0.0104952                   0.0104952
        19                  0.00885959                  0.00885959
        20                  0.00944009                  0.00944009
        21                  0.00885959                  0.00885959
        22                  0.00558839                  0.00558839
        23                   0.0104952                   0.0104952
        24                  0.00780448                  0.00780448
        25                  0.00616888                  0.00616888
        26                   0.0104952                   0.0104952
        27                  0.00616888                  0.00616888
        28                  0.00944009                  0.00944009
        29                  0.00885959                  0.00885959
        30                  0.00944009                  0.00944009
        31                  0.00838498                  0.00838498
        32                  0.00944009                  0.00944009
        33                  0.00885959                  0.00885959
        34                  0.00944009                  0.00944009
        35                  0.00944009                  0.00944009
        36                   0.0104952                   0.0104952
        37                  0.00780448                  0.00780448
        38                  0.00885959                  0.00885959
        39                  0.00885959                  0.00885959
        40                  0.00885959                  0.00885959
        41                  0.00780448                  0.00780448
        42                  0.00616888                  0.00616888
        43                  0.00780448                  0.00780448
        44                  0.00732987                  0.00732987
        45                  0.00944009                  0.00944009
        46                  0.00616888                  0.00616888
        47                   0.0104952                   0.0104952
        48                  0.00885959                  0.00885959
        49                  0.00944009                  0.00944009
        50                  0.00838498                  0.00838498
        51                  0.00885959                  0.00885959
        52                  0.00722399                  0.00722399
        53                  0.00780448                  0.00780448
        54                   0.0104952                   0.0104952
        55                  0.00674938                  0.00674938
        56                   0.0104952                   0.0104952
        57                  0.00885959                  0.00885959
        58                  0.00885959                  0.00885959
        59                  0.00885959                  0.00885959
        60                  0.00885959                  0.00885959
        61                  0.00780448                  0.00780448
        62                  0.00616888                  0.00616888
        63                  0.00944009                  0.00944009
        64                  0.00780448                  0.00780448
        65                  0.00838498                  0.00838498
        66                  0.00944009                  0.00944009
        67                   0.0104952                   0.0104952
        68                  0.00885959                  0.00885959
        69                  0.00780448                  0.00780448
        70                  0.00616888                  0.00616888
        71                  0.00616888                  0.00616888
        72                  0.00722399                  0.00722399
        73                  0.00838498                  0.00838498
        74                   0.0104952                   0.0104952
        75                  0.00944009                  0.00944009
        76                  0.00616888                  0.00616888
        77                  0.00885959                  0.00885959
        78                  0.00944009                  0.00944009
        79                  0.00944009                  0.00944009
        80                  0.00944009                  0.00944009
        81                  0.00944009                  0.00944009
        82                  0.00885959                  0.00885959
        83                  0.00885959                  0.00885959
        84                  0.00780448                  0.00780448
        85                  0.00944009                  0.00944009
        86                  0.00944009                  0.00944009
        87                  0.00885959                  0.00885959
        88                  0.00616888                  0.00616888
        89                  0.00944009                  0.00944009
        90                  0.00944009                  0.00944009
        91                  0.00780448                  0.00780448
        92                  0.00780448                  0.00780448
        93                  0.00838498                  0.00838498
        94                  0.00732987                  0.00732987
        95                  0.00885959                  0.00885959
        96                  0.00616888                  0.00616888
        97                  0.00722399                  0.00722399
        98                  0.00780448                  0.00780448
        99                  0.00780448                  0.00780448
       100                  0.00944009                  0.00944009
       101                  0.00885959                  0.00885959
       102                  0.00838498                  0.00838498
       103                  0.00732987                  0.00732987
       104                   0.0104952                   0.0104952
       105                  0.00780448                  0.00780448
       106                  0.00616888                  0.00616888
       107                  0.00722399                  0.00722399
       108                  0.00722399                  0.00722399
       109                  0.00838498                  0.00838498
       110                  0.00780448                  0.00780448
       111                  0.00885959                  0.00885959
       112                  0.00780448                  0.00780448
       113                  0.00732987                  0.00732987
       114                   0.0104952                   0.0104952
       115                   0.0104952                   0.0104952
       116                  0.00885959                  0.00885959
       117                  0.00674938                  0.00674938
       118                  0.00780448                  0.00780448
