#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
        0.94         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8524         0.8           1         0.9         0.2   5.641e+04
        0.94         0.8           1         0.9         0.2   5.641e+04
         0.8         0.8           1         0.9         0.2   5.641e+04
       0.837         0.8           1         0.9         0.2   5.641e+04
      0.8619         0.8           1         0.9         0.2   5.641e+04
        0.97         0.8           1         0.9         0.2   5.641e+04
      0.8498         0.8           1         0.9         0.2   5.641e+04
      0.8402         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8405         0.8           1         0.9         0.2   5.641e+04
       0.858         0.8           1         0.9         0.2   5.641e+04
       0.849         0.8           1         0.9         0.2   5.641e+04
      0.9537         0.8           1         0.9         0.2   5.641e+04
      0.8453         0.8           1         0.9         0.2   5.641e+04
      0.9376         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8405         0.8           1         0.9         0.2   5.641e+04
       0.913         0.8           1         0.9         0.2   5.641e+04
       0.801         0.8           1         0.9         0.2   5.641e+04
      0.8418         0.8           1         0.9         0.2   5.641e+04
      0.9628         0.8           1         0.9         0.2   5.641e+04
       0.837         0.8           1         0.9         0.2   5.641e+04
      0.9782         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
       0.946         0.8           1         0.9         0.2   5.641e+04
       0.956         0.8           1         0.9         0.2   5.641e+04
      0.9438         0.8           1         0.9         0.2   5.641e+04
      0.9481         0.8           1         0.9         0.2   5.641e+04
      0.8517         0.8           1         0.9         0.2   5.641e+04
      0.9628         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
      0.8418         0.8           1         0.9         0.2   5.641e+04
       0.946         0.8           1         0.9         0.2   5.641e+04
      0.9376         0.8           1         0.9         0.2   5.641e+04
      0.8405         0.8           1         0.9         0.2   5.641e+04
      0.8517         0.8           1         0.9         0.2   5.641e+04
       0.907         0.8           1         0.9         0.2   5.641e+04
        0.97         0.8           1         0.9         0.2   5.641e+04
      0.8799         0.8           1         0.9         0.2   5.641e+04
       0.848         0.8           1         0.9         0.2   5.641e+04
      0.8517         0.8           1         0.9         0.2   5.641e+04
      0.8457         0.8           1         0.9         0.2   5.641e+04
