#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       3.501           3           4         3.5           1   4.597e+05
        3.67           3           4         3.5           1   4.597e+05
       3.266           3           4         3.5           1   4.597e+05
       3.102           3           4         3.5           1   4.597e+05
       3.489           3           4         3.5           1   4.597e+05
       3.242           3           4         3.5           1   4.597e+05
       3.124           3           4         3.5           1   4.597e+05
       3.242           3           4         3.5           1   4.597e+05
       3.218           3           4         3.5           1   4.597e+05
       3.768           3           4         3.5           1   4.597e+05
       3.102           3           4         3.5           1   4.597e+05
       3.266           3           4         3.5           1   4.597e+05
       3.026           3           4         3.5           1   4.597e+05
       3.124           3           4         3.5           1   4.597e+05
       3.768           3           4         3.5           1   4.597e+05
       3.693           3           4         3.5           1   4.597e+05
       3.742           3           4         3.5           1   4.597e+05
       3.124           3           4         3.5           1   4.597e+05
       3.742           3           4         3.5           1   4.597e+05
        3.18           3           4         3.5           1   4.597e+05
       3.501           3           4         3.5           1   4.597e+05
        3.53           3           4         3.5           1   4.597e+05
        3.15           3           4         3.5           1   4.597e+05
       3.693           3           4         3.5           1   4.597e+05
       3.768           3           4         3.5           1   4.597e+05
       3.214           3           4         3.5           1   4.597e+05
       3.218           3           4         3.5           1   4.597e+05
       3.238           3           4         3.5           1   4.597e+05
       3.663           3           4         3.5           1   4.597e+05
        3.02           3           4         3.5           1   4.597e+05
       3.124           3           4         3.5           1   4.597e+05
       3.485           3           4         3.5           1   4.597e+05
       3.768           3           4         3.5           1   4.597e+05
        3.53           3           4         3.5           1   4.597e+05
       3.568           3           4         3.5           1   4.597e+05
