#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
      0.4866         0.4         0.6         0.5         0.2   2.681e+04
       0.501         0.4         0.6         0.5         0.2   2.681e+04
      0.4733         0.4         0.6         0.5         0.2   2.681e+04
      0.5111         0.4      0.5311      0.4656      0.1311    1.58e+04
       0.585         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4      0.4484      0.4242      0.0484        5051
      0.4843         0.4         0.6         0.5         0.2   2.681e+04
       0.514         0.4         0.6         0.5         0.2   2.681e+04
       0.559         0.4       0.579      0.4895       0.179   2.325e+04
       0.484         0.4         0.6         0.5         0.2   2.681e+04
      0.5132         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4      0.4484      0.4242      0.0484        5051
      0.5199         0.4         0.6         0.5         0.2   2.681e+04
      0.4372         0.4         0.6         0.5         0.2   2.681e+04
      0.4759         0.4      0.5359       0.468      0.1359    1.65e+04
       0.551         0.4         0.6         0.5         0.2   2.681e+04
      0.4097         0.4      0.4297      0.4149      0.0297        2993
        0.41         0.4        0.41       0.405        0.01       970.7
       0.513         0.4       0.593      0.4965       0.193   2.561e+04
      0.5178         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
       0.513         0.4       0.593      0.4965       0.193   2.561e+04
       0.432         0.4       0.532       0.466       0.132   1.593e+04
       0.502         0.4       0.542       0.471       0.142   1.741e+04
      0.5022         0.4      0.5222      0.4611      0.1222   1.451e+04
      0.5609         0.4         0.6         0.5         0.2   2.681e+04
      0.5035         0.4      0.5235      0.4617      0.1235    1.47e+04
      0.4099         0.4      0.4299       0.415      0.0299        3014
      0.4099         0.4         0.6         0.5         0.2   2.681e+04
      0.5594         0.4         0.6         0.5         0.2   2.681e+04
      0.5344         0.4         0.6         0.5         0.2   2.681e+04
      0.5625         0.4         0.6         0.5         0.2   2.681e+04
      0.5739         0.4         0.6         0.5         0.2   2.681e+04
       0.435         0.4         0.6         0.5         0.2   2.681e+04
       0.562         0.4         0.6         0.5         0.2   2.681e+04
      0.5035         0.4      0.5235      0.4617      0.1235    1.47e+04
       0.595         0.4         0.6         0.5         0.2   2.681e+04
       0.411         0.4         0.6         0.5         0.2   2.681e+04
        0.53         0.4        0.53       0.465        0.13   1.563e+04
      0.4587         0.4      0.5187      0.4594      0.1187   1.401e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
       0.518         0.4       0.518       0.459       0.118   1.391e+04
       0.518         0.4       0.518       0.459       0.118   1.391e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
      0.4547         0.4      0.5147      0.4574      0.1147   1.345e+04
       0.559         0.4       0.579      0.4895       0.179   2.325e+04
       0.551         0.4         0.6         0.5         0.2   2.681e+04
      0.5603         0.4         0.6         0.5         0.2   2.681e+04
      0.5609         0.4         0.6         0.5         0.2   2.681e+04
       0.458         0.4       0.498       0.449       0.098   1.117e+04
       0.575         0.4       0.595      0.4975       0.195   2.595e+04
       0.503         0.4         0.6         0.5         0.2   2.681e+04
       0.501         0.4         0.6         0.5         0.2   2.681e+04
       0.595         0.4         0.6         0.5         0.2   2.681e+04
      0.4099         0.4         0.6         0.5         0.2   2.681e+04
       0.559         0.4       0.579      0.4895       0.179   2.325e+04
      0.5196         0.4      0.5796      0.4898      0.1796   2.335e+04
       0.518         0.4       0.518       0.459       0.118   1.391e+04
      0.5196         0.4      0.5796      0.4898      0.1796   2.335e+04
       0.485         0.4       0.585      0.4925       0.185   2.425e+04
      0.4742         0.4         0.6         0.5         0.2   2.681e+04
      0.4844         0.4         0.6         0.5         0.2   2.681e+04
      0.4879         0.4         0.6         0.5         0.2   2.681e+04
       0.503         0.4         0.6         0.5         0.2   2.681e+04
       0.502         0.4       0.542       0.471       0.142   1.741e+04
      0.5124         0.4         0.6         0.5         0.2   2.681e+04
      0.5035         0.4      0.5235      0.4617      0.1235    1.47e+04
      0.5605         0.4         0.6         0.5         0.2   2.681e+04
      0.5843         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
      0.5284         0.4         0.6         0.5         0.2   2.681e+04
      0.5344         0.4         0.6         0.5         0.2   2.681e+04
       0.518         0.4       0.518       0.459       0.118   1.391e+04
       0.504         0.4       0.524       0.462       0.124   1.477e+04
       0.485         0.4       0.585      0.4925       0.185   2.425e+04
      0.4546         0.4         0.6         0.5         0.2   2.681e+04
      0.4852         0.4         0.6         0.5         0.2   2.681e+04
       0.561         0.4         0.6         0.5         0.2   2.681e+04
      0.5639         0.4         0.6         0.5         0.2   2.681e+04
       0.502         0.4       0.542       0.471       0.142   1.741e+04
      0.4103         0.4      0.5703      0.4852      0.1703   2.183e+04
      0.4852         0.4         0.6         0.5         0.2   2.681e+04
      0.4547         0.4      0.5747      0.4874      0.1747   2.255e+04
      0.5763         0.4         0.6         0.5         0.2   2.681e+04
      0.5196         0.4      0.5796      0.4898      0.1796   2.335e+04
      0.5562         0.4         0.6         0.5         0.2   2.681e+04
      0.5284         0.4         0.6         0.5         0.2   2.681e+04
      0.4844         0.4         0.6         0.5         0.2   2.681e+04
      0.4111         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4      0.4484      0.4242      0.0484        5051
      0.4751         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
      0.4751         0.4         0.6         0.5         0.2   2.681e+04
       0.432         0.4       0.532       0.466       0.132   1.593e+04
      0.4845         0.4         0.6         0.5         0.2   2.681e+04
      0.5287         0.4      0.5687      0.4844      0.1687   2.157e+04
      0.5556         0.4         0.6         0.5         0.2   2.681e+04
       0.511         0.4       0.551      0.4755       0.151   1.878e+04
      0.4842         0.4         0.6         0.5         0.2   2.681e+04
       0.484         0.4         0.6         0.5         0.2   2.681e+04
      0.4102         0.4      0.4102      0.4051      0.0102       990.5
       0.504         0.4       0.524       0.462       0.124   1.477e+04
       0.435         0.4         0.6         0.5         0.2   2.681e+04
      0.5609         0.4         0.6         0.5         0.2   2.681e+04
      0.4372         0.4         0.6         0.5         0.2   2.681e+04
      0.5577         0.4         0.6         0.5         0.2   2.681e+04
       0.411         0.4         0.6         0.5         0.2   2.681e+04
      0.5024         0.4         0.6         0.5         0.2   2.681e+04
      0.4111         0.4         0.6         0.5         0.2   2.681e+04
      0.4381         0.4      0.5381      0.4691      0.1381   1.683e+04
       0.562         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4      0.4484      0.4242      0.0484        5051
