#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
        0.94         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8524         0.8      0.8724      0.8362      0.0724   1.891e+04
        0.94         0.8           1         0.9         0.2   5.641e+04
         0.8         0.8        0.88        0.84        0.08     2.1e+04
       0.837         0.8           1         0.9         0.2   5.641e+04
      0.8619         0.8      0.9219       0.861      0.1219   3.285e+04
        0.97         0.8           1         0.9         0.2   5.641e+04
      0.8498         0.8           1         0.9         0.2   5.641e+04
      0.8402         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8405         0.8      0.8805      0.8402      0.0805   2.114e+04
       0.858         0.8           1         0.9         0.2   5.641e+04
       0.849         0.8       0.909      0.8545       0.109   2.914e+04
      0.9537         0.8           1         0.9         0.2   5.641e+04
      0.8453         0.8      0.9053      0.8527      0.1053   2.809e+04
      0.9376         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8405         0.8           1         0.9         0.2   5.641e+04
       0.913         0.8           1         0.9         0.2   5.641e+04
       0.801         0.8           1         0.9         0.2   5.641e+04
      0.8418         0.8      0.9418      0.8709      0.1418   3.868e+04
      0.9628         0.8      0.9628      0.8814      0.1628   4.496e+04
       0.837         0.8           1         0.9         0.2   5.641e+04
      0.9782         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
       0.946         0.8           1         0.9         0.2   5.641e+04
       0.956         0.8       0.976       0.888       0.176   4.897e+04
      0.9438         0.8           1         0.9         0.2   5.641e+04
      0.9481         0.8      0.9681      0.8841      0.1681   4.656e+04
      0.8517         0.8           1         0.9         0.2   5.641e+04
      0.9628         0.8      0.9628      0.8814      0.1628   4.496e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
      0.8418         0.8      0.9418      0.8709      0.1418   3.868e+04
       0.946         0.8           1         0.9         0.2   5.641e+04
      0.9376         0.8           1         0.9         0.2   5.641e+04
      0.8405         0.8      0.8805      0.8402      0.0805   2.114e+04
      0.8517         0.8           1         0.9         0.2   5.641e+04
       0.907         0.8       0.927      0.8635       0.127   3.433e+04
        0.97         0.8        0.97       0.885        0.17   4.714e+04
      0.8799         0.8           1         0.9         0.2   5.641e+04
       0.848         0.8           1         0.9         0.2   5.641e+04
