#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
       0.051           0       0.071      0.0355       0.071       103.5
        0.09           0        0.13       0.065        0.13       609.5
      0.1133           0      0.1933     0.09665      0.1933        1916
       0.114           0       0.174       0.087       0.174        1417
        0.09           0        0.13       0.065        0.13       609.5
       0.136           0         0.2         0.1         0.2        2111
      0.0699           0      0.1099     0.05495      0.1099       373.5
      0.1965           0         0.2         0.1         0.2        2111
       0.114           0       0.174       0.087       0.174        1417
      0.0699           0      0.1099     0.05495      0.1099       373.5
      0.1133           0      0.1933     0.09665      0.1933        1916
      0.1892           0         0.2         0.1         0.2        2111
      0.1056           0      0.1656      0.0828      0.1656        1229
       0.136           0         0.2         0.1         0.2        2111
      0.1389           0         0.2         0.1         0.2        2111
      0.1895           0      0.1895     0.09475      0.1895        1810
      0.1133           0      0.1933     0.09665      0.1933        1916
       0.136           0         0.2         0.1         0.2        2111
      0.1965           0         0.2         0.1         0.2        2111
      0.1133           0      0.1933     0.09665      0.1933        1916
      0.1133           0      0.1933     0.09665      0.1933        1916
