#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      0.8000      0.8000      0.8000      0.0000               0
      0.8000      0.8040      0.8020      0.0040       997.48265
      0.8000      0.8080      0.8040      0.0080       2000.6079
      0.8000      0.8120      0.8060      0.0120       3009.3599
      0.8000      0.8160      0.8080      0.0160       4023.7178
      0.8000      0.8200      0.8100      0.0200       5043.6674
      0.8000      0.8240      0.8120      0.0240       6069.1846
      0.8000      0.8280      0.8140      0.0280       7100.2738
      0.8000      0.8320      0.8160      0.0320       8136.8567
      0.8000      0.8360      0.8180      0.0360       9178.9841
      0.8000      0.8400      0.8200      0.0400       10226.588
      0.8000      0.8440      0.8220      0.0440       11279.682
      0.8000      0.8480      0.8240      0.0480       12338.236
      0.8000      0.8520      0.8260      0.0520        13402.23
      0.8000      0.8560      0.8280      0.0560       14471.644
      0.8000      0.8600      0.8300      0.0600       15546.385
      0.8000      0.8640      0.8320      0.0640       16626.553
      0.8000      0.8680      0.8340      0.0680        17712.12
      0.8000      0.8720      0.8360      0.0720       18803.002
      0.8000      0.8760      0.8380      0.0760       19899.199
      0.8000      0.8800      0.8400      0.0800        21000.69
      0.8000      0.8840      0.8420      0.0840       22107.421
      0.8000      0.8880      0.8440      0.0880       23219.454
      0.8000      0.8920      0.8460      0.0920       24336.741
      0.8000      0.8960      0.8480      0.0960       25459.204
      0.8000      0.9000      0.8500      0.1000       26586.908
      0.8000      0.9040      0.8520      0.1040       27719.738
      0.8000      0.9080      0.8540      0.1080        28857.77
      0.8000      0.9120      0.8560      0.1120       30000.948
      0.8000      0.9160      0.8580      0.1160       31149.181
      0.8000      0.9200      0.8600      0.1200       32302.438
      0.8000      0.9240      0.8620      0.1240       33460.886
      0.8000      0.9280      0.8640      0.1280       34624.392
      0.8000      0.9320      0.8660      0.1320       35792.932
      0.8000      0.9360      0.8680      0.1360       36966.485
      0.8000      0.9400      0.8700      0.1400       38144.942
      0.8000      0.9440      0.8720      0.1440        39328.45
      0.8000      0.9480      0.8740      0.1480       40516.806
      0.8000      0.9520      0.8760      0.1520       41710.076
      0.8000      0.9560      0.8780      0.1560       42908.437
      0.8000      0.9600      0.8800      0.1600       44111.576
      0.8000      0.9640      0.8820      0.1640       45319.607
      0.8000      0.9680      0.8840      0.1680       46532.406
      0.8000      0.9720      0.8860      0.1720       47750.055
      0.8000      0.9760      0.8880      0.1760       48972.483
      0.8000      0.9800      0.8900      0.1800       50199.774
      0.8000      0.9840      0.8920      0.1840       51431.849
      0.8000      0.9880      0.8940      0.1880       52668.439
      0.8000      0.9920      0.8960      0.1920       53909.893
      0.8000      0.9960      0.8980      0.1960       55155.922
      0.8000      1.0000      0.9000      0.2000       56406.772
