#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      5.0000      5.0000      5.0000      0.0000               0
      5.0000      5.0200      5.0100      0.0200       7926.1813
      5.0000      5.0400      5.0200      0.0400       15835.169
      5.0000      5.0600      5.0300      0.0600       23726.987
      5.0000      5.0800      5.0400      0.0800       31601.708
      5.0000      5.1000      5.0500      0.1000       39459.278
      5.0000      5.1200      5.0600      0.1200        47299.76
      5.0000      5.1400      5.0700      0.1400       55123.337
      5.0000      5.1600      5.0800      0.1600       62929.479
      5.0000      5.1800      5.0900      0.1800       70718.955
      5.0000      5.2000      5.1000      0.2000       78491.593
      5.0000      5.2200      5.1100      0.2200       86247.088
      5.0000      5.2400      5.1200      0.2400       93985.674
      5.0000      5.2600      5.1300      0.2600       101707.53
      5.0000      5.2800      5.1400      0.2800       109412.72
      5.0000      5.3000      5.1500      0.3000       117100.64
      5.0000      5.3200      5.1600      0.3200       124771.94
      5.0000      5.3400      5.1700      0.3400        132426.7
      5.0000      5.3600      5.1800      0.3600       140064.36
      5.0000      5.3800      5.1900      0.3800       147685.77
      5.0000      5.4000      5.2000      0.4000       155290.56
      5.0000      5.4200      5.2100      0.4200       162879.02
      5.0000      5.4400      5.2200      0.4400       170450.23
      5.0000      5.4600      5.2300      0.4600       178005.41
      5.0000      5.4800      5.2400      0.4800       185543.88
      5.0000      5.5000      5.2500      0.5000       193065.62
      5.0000      5.5200      5.2600      0.5200       200571.24
      5.0000      5.5400      5.2700      0.5400       208060.51
      5.0000      5.5600      5.2800      0.5600        215534.4
      5.0000      5.5800      5.2900      0.5800       222990.15
      5.0000      5.6000      5.3000      0.6000        230430.6
      5.0000      5.6200      5.3100      0.6200       237854.87
      5.0000      5.6400      5.3200      0.6400          245263
      5.0000      5.6600      5.3300      0.6600       252655.04
      5.0000      5.6800      5.3400      0.6800       260030.65
      5.0000      5.7000      5.3500      0.7000       267390.61
      5.0000      5.7200      5.3600      0.7200       274734.22
      5.0000      5.7400      5.3700      0.7400       282061.07
      5.0000      5.7600      5.3800      0.7600       289373.69
      5.0000      5.7800      5.3900      0.7800        296669.2
      5.0000      5.8000      5.4000      0.8000       303949.78
      5.0000      5.8200      5.4100      0.8200       311213.74
      5.0000      5.8400      5.4200      0.8400       318462.92
      5.0000      5.8600      5.4300      0.8600       325695.03
      5.0000      5.8800      5.4400      0.8800       332912.48
      5.0000      5.9000      5.4500      0.9000       340113.39
      5.0000      5.9200      5.4600      0.9200       347299.79
      5.0000      5.9400      5.4700      0.9400       354469.17
      5.0000      5.9600      5.4800      0.9600       361624.69
      5.0000      5.9800      5.4900      0.9800       368763.79
      5.0000      6.0000      5.5000      1.0000       375886.44
