#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.6659      0.0958   4.484e-08   3.445e-12      0.0958
     -0.6559     0.07653   6.184e-08   3.445e-12     0.07653
     -0.6459     0.05727   8.634e-08   3.445e-12     0.05727
     -0.6359       0.038     1.2e-07   3.445e-12       0.038
     -0.6259     0.01873    1.67e-07   3.445e-12     0.01873
     -0.6159   2.545e-07   2.311e-07   3.445e-12   2.336e-08
     -0.6059    3.31e-07   3.072e-07   3.445e-12   2.379e-08
     -0.5959     4.3e-07   4.058e-07   3.445e-12   2.423e-08
     -0.5859   5.351e-07   5.104e-07   3.445e-12   2.468e-08
     -0.5759   6.754e-07   6.503e-07   3.445e-12   2.514e-08
     -0.5659   8.414e-07   8.158e-07   3.445e-12   2.561e-08
     -0.5559   1.048e-06   1.022e-06   3.445e-12   2.609e-08
     -0.5459   1.277e-06   1.251e-06   3.445e-12   2.657e-08
     -0.5359   1.605e-06   1.578e-06   3.445e-12   2.706e-08
     -0.5259   1.996e-06   1.969e-06   3.445e-12   2.757e-08
     -0.5159    2.45e-06   2.422e-06   3.445e-12   2.808e-08
     -0.5059   2.984e-06   2.955e-06   3.445e-12    2.86e-08
     -0.4959   3.585e-06   3.555e-06   3.445e-12   2.913e-08
     -0.4859   4.264e-06   4.234e-06   3.445e-12   2.968e-08
     -0.4759    5.05e-06    5.02e-06   3.445e-12   3.023e-08
     -0.4659    5.97e-06   5.939e-06   3.445e-12   3.079e-08
     -0.4559   7.099e-06   7.068e-06   3.445e-12   3.136e-08
     -0.4459   8.335e-06   8.303e-06   3.445e-12   3.194e-08
     -0.4359   9.803e-06   9.771e-06   3.445e-12   3.254e-08
     -0.4259    1.16e-05   1.157e-05   3.445e-12   3.314e-08
     -0.4159   1.385e-05   1.381e-05   3.445e-12   3.376e-08
     -0.4059    1.62e-05   1.616e-05   3.445e-12   3.439e-08
     -0.3959   1.893e-05    1.89e-05   3.445e-12   3.503e-08
     -0.3859   2.193e-05   2.189e-05   3.445e-12   3.568e-08
     -0.3759   2.524e-05    2.52e-05   3.445e-12   3.634e-08
     -0.3659   2.881e-05   2.878e-05   3.445e-12   3.702e-08
     -0.3559   3.283e-05   3.279e-05   3.445e-12   3.771e-08
     -0.3459   3.733e-05   3.729e-05   3.445e-12   3.841e-08
     -0.3359   4.229e-05   4.225e-05   3.445e-12   3.912e-08
     -0.3259   4.782e-05   4.778e-05   3.445e-12   3.985e-08
     -0.3159   5.401e-05   5.397e-05   3.445e-12   4.059e-08
     -0.3059   6.075e-05   6.071e-05   3.445e-12   4.134e-08
