#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.396     0.04343        2.15     0.04018    0.004018
      0.5563      -1.635     0.04343         3.6     0.02319    0.002319
      0.6532      -1.708     0.04343         4.5     0.01961    0.001961
      0.7634       -1.86     0.04343         5.8      0.0138     0.00138
      0.8976      -1.604     0.04343         7.9     0.02488    0.002488
       1.204      -1.317     0.05579          16     0.04825    0.006198
        1.38      -1.282     0.04343          24     0.05229    0.005229
           2    -0.02314      0.1528         100      0.9481      0.3336
       2.204      0.5379     0.09175         160        3.45      0.7289
       5.301      -2.233      0.1809       2e+05    0.005847    0.002435
