#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.8976      -2.958      -2.958         7.9   -0.000299      0.0007
       1.204       7.301       7.301          16         -99       1e+07
        1.38       -1.79       -1.79          24   8.071e-11    0.008113
           2      0.2903      0.2903         100   1.792e-05      0.9756
       2.204      0.5664      0.5664         160      0.1544       1.765
       2.398      0.9342      0.9342         250       2.661       2.967
       2.544       1.255       1.255         350       4.319       6.831
       2.699       1.342       1.342         500      0.5014       10.75
       2.929      0.6732      0.6732         850     0.08262       2.314
       3.064      0.5118      0.5118        1160    2.13e-10       1.625
