# ID                            RA               DEC  
  EGSIRAC_J141405.74+520024.2   213.5239546      52.0067427      
  EGSIRAC_J141406.12+520018.1   213.5255276      52.0050525      
  EGSIRAC_J141406.46+515947.4   213.5269181      51.9965123      
  EGSIRAC_J141406.48+515940.8   213.527005       51.9946737      
  EGSIRAC_J141406.55+515958.1   213.5273174      51.999478       
  EGSIRAC_J141406.76+515937.1   213.5281961      51.9936537      
  EGSIRAC_J141406.78+515945.4   213.5282513      51.9959456      
  EGSIRAC_J141406.88+520013.8   213.5286804      52.0038429      
  EGSIRAC_J141406.88+515957.2   213.5286985      51.9992395      
  EGSIRAC_J141407.08+515934.8   213.5295225      51.9930216      
  EGSIRAC_J141407.15+520016.1   213.5298056      52.0044844      
  EGSIRAC_J141407.24+515943.8   213.5302038      51.995508       
  EGSIRAC_J141407.31+515932.1   213.5304757      51.9922574      
  EGSIRAC_J141407.44+520007.2   213.5310359      52.0020047      
  EGSIRAC_J141407.47+515920.8   213.5311271      51.9891149      
  EGSIRAC_J141407.78+515927.9   213.5324309      51.991102       
  EGSIRAC_J141407.94+520029.4   213.5331247      52.0081823      
  EGSIRAC_J141407.98+515956.4   213.5332745      51.999008       
  EGSIRAC_J141408.05+520018.8   213.5335477      52.0052303      
  EGSIRAC_J141408.25+520034.8   213.5343971      52.0096778      
  EGSIRAC_J141408.26+515951.1   213.5344405      51.9975291      
  EGSIRAC_J141408.28+520057.6   213.5345013      52.0160088      
  EGSIRAC_J141408.36+515915.3   213.5348442      51.9875965      
  EGSIRAC_J141408.46+515957.4   213.5352808      51.9992949      
  EGSIRAC_J141408.57+520043.0   213.5357198      52.0119544      
  EGSIRAC_J141408.61+515943.5   213.5358967      51.9954273      
  EGSIRAC_J141408.63+520055.0   213.5359753      52.0152778      
  EGSIRAC_J141408.65+515946.7   213.5360497      51.9963278      
  EGSIRAC_J141408.69+520102.3   213.5362177      52.0173184      
  EGSIRAC_J141408.73+515939.4   213.536391       51.9942985      
  EGSIRAC_J141408.78+520029.3   213.5366238      52.0081432      
  EGSIRAC_J141409.03+515919.5   213.5376377      51.9887696      
  EGSIRAC_J141409.08+520010.3   213.5378373      52.0028729      
  EGSIRAC_J141409.17+515938.4   213.538246       51.9940097      
  EGSIRAC_J141409.38+515907.1   213.5390867      51.9853308      
  EGSIRAC_J141409.58+520029.8   213.5399386      52.0083014      
  EGSIRAC_J141409.68+515910.6   213.5403537      51.9863041      
  EGSIRAC_J141409.72+515929.4   213.5405031      51.9915105      
  EGSIRAC_J141409.74+515957.6   213.5406168      51.9993451      
  EGSIRAC_J141409.75+520044.9   213.5406636      52.0124822      
  EGSIRAC_J141409.93+515945.3   213.541401       51.9959214      
  EGSIRAC_J141409.99+515919.7   213.5416491      51.9888103      
  EGSIRAC_J141410.09+515930.9   213.5420602      51.9919214      
  EGSIRAC_J141410.17+520106.5   213.5424062      52.0184938      
  EGSIRAC_J141410.21+520040.0   213.5425737      52.0111166      
  EGSIRAC_J141410.28+515935.3   213.5428554      51.9931578      
  EGSIRAC_J141410.29+515917.6   213.5428756      51.9882271      
  EGSIRAC_J141410.46+520017.9   213.543584       52.0049948      
  EGSIRAC_J141410.47+515945.6   213.5436345      51.9960017      
  EGSIRAC_J141410.57+520050.0   213.5440735      52.013901       
  EGSIRAC_J141410.70+515941.8   213.544587       51.9949447      
  EGSIRAC_J141410.75+515915.2   213.5448165      51.9875632      
  EGSIRAC_J141410.87+520027.1   213.5453233      52.0075428      
  EGSIRAC_J141410.88+515946.8   213.5453382      51.9963432      
  EGSIRAC_J141411.00+515927.1   213.5458465      51.9908831      
  EGSIRAC_J141411.07+520037.2   213.5461639      52.0103449      
  EGSIRAC_J141411.08+520026.2   213.5461961      52.0072825      
  EGSIRAC_J141411.08+515903.7   213.5461994      51.9843631      
  EGSIRAC_J141411.11+520106.4   213.5463045      52.0184547      
  EGSIRAC_J141411.21+520047.2   213.5467268      52.0131259      
  EGSIRAC_J141411.28+515959.7   213.5470272      51.9999344      
  EGSIRAC_J141411.29+520100.2   213.5470727      52.0167382      
  EGSIRAC_J141411.30+515923.7   213.5471201      51.9899411      
  EGSIRAC_J141411.38+520012.3   213.5474381      52.0034335      
  EGSIRAC_J141411.41+515849.4   213.5475534      51.9804135      
  EGSIRAC_J141411.44+515918.4   213.5476707      51.9884474      
  EGSIRAC_J141411.59+520056.0   213.5483125      52.0155808      
  EGSIRAC_J141411.62+515936.2   213.5484202      51.9934007      
  EGSIRAC_J141411.63+515950.4   213.5484725      51.9973408      
  EGSIRAC_J141411.66+520009.6   213.5486085      52.0026834      
  EGSIRAC_J141411.70+515940.0   213.5487607      51.9944458      
  EGSIRAC_J141411.74+520047.3   213.5489376      52.0131529      
  EGSIRAC_J141411.79+520115.9   213.5491487      52.0210994      
  EGSIRAC_J141411.83+515928.3   213.5493032      51.991213       
  EGSIRAC_J141411.83+520014.2   213.5493224      52.0039459      
  EGSIRAC_J141411.85+515954.0   213.5493848      51.9983539      
  EGSIRAC_J141412.08+515941.4   213.5503735      51.9948462      
  EGSIRAC_J141412.12+520054.2   213.5505317      52.0150787      
  EGSIRAC_J141412.17+520042.8   213.550712       52.0118975      
  EGSIRAC_J141412.19+515904.5   213.5508099      51.9845954      
  EGSIRAC_J141412.22+515934.4   213.5509196      51.9928984      
  EGSIRAC_J141412.29+520026.0   213.551219       52.0072357      
  EGSIRAC_J141412.31+520128.0   213.5513023      52.0244475      
  EGSIRAC_J141412.31+520005.4   213.5513232      52.0015198      
  EGSIRAC_J141412.36+515848.1   213.5515114      51.9800493      
  EGSIRAC_J141412.39+515842.5   213.5516583      51.9784758      
  EGSIRAC_J141412.45+520017.9   213.5518901      52.0049762      
  EGSIRAC_J141412.51+515922.9   213.5521613      51.9897105      
  EGSIRAC_J141412.60+520127.0   213.5525245      52.0241755      
  EGSIRAC_J141412.63+520046.7   213.5526649      52.0129975      
  EGSIRAC_J141412.68+515953.0   213.5528391      51.9980822      
  EGSIRAC_J141412.73+515940.0   213.5530418      51.9944665      
  EGSIRAC_J141412.77+520112.1   213.5532299      52.0200301      
  EGSIRAC_J141412.83+515845.9   213.553475       51.979439       
  EGSIRAC_J141412.85+520056.3   213.5535666      52.01566        
  EGSIRAC_J141412.86+515912.7   213.5535968      51.9868739      
  EGSIRAC_J141412.89+520118.9   213.553743       52.021941       
  EGSIRAC_J141412.91+515917.4   213.5537966      51.988193       
  EGSIRAC_J141413.00+520008.6   213.5541884      52.0024022      
  EGSIRAC_J141413.08+520030.4   213.5545112      52.0084601      
  EGSIRAC_J141413.22+515935.6   213.5550874      51.9932317      
  EGSIRAC_J141413.24+515930.0   213.5552014      51.9916679      
  EGSIRAC_J141413.26+515907.2   213.5552829      51.9853528      
  EGSIRAC_J141413.43+515938.3   213.5559767      51.9939804      
  EGSIRAC_J141413.43+515832.4   213.5559778      51.9756825      
  EGSIRAC_J141413.57+520043.6   213.5565786      52.0121304      
  EGSIRAC_J141413.60+520120.5   213.5566905      52.0223821      
  EGSIRAC_J141413.64+520125.9   213.5568357      52.0238747      
  EGSIRAC_J141413.66+515950.1   213.5569221      51.997277       
  EGSIRAC_J141413.75+515920.6   213.5573007      51.9890672      
  EGSIRAC_J141413.86+515916.0   213.5577757      51.9877895      
  EGSIRAC_J141413.92+520000.1   213.5580047      52.0000466      
  EGSIRAC_J141413.92+520022.0   213.5580165      52.0061222      
  EGSIRAC_J141413.99+520147.5   213.5583007      52.0298752      
  EGSIRAC_J141414.03+520054.0   213.5584815      52.0150083      
  EGSIRAC_J141414.05+515854.6   213.5585794      51.9818515      
  EGSIRAC_J141414.15+515940.6   213.5589592      51.9946137      
  EGSIRAC_J141414.17+515826.2   213.5590484      51.9739554      
  EGSIRAC_J141414.18+520117.5   213.5591045      52.0215461      
  EGSIRAC_J141414.23+520106.3   213.5593061      52.0184175      
  EGSIRAC_J141414.23+515858.5   213.5593229      51.9829192      
  EGSIRAC_J141414.28+515933.8   213.5595016      51.9927234      
  EGSIRAC_J141414.29+515938.1   213.5595659      51.9939395      
  EGSIRAC_J141414.31+515843.5   213.5596518      51.9787663      
  EGSIRAC_J141414.33+520051.3   213.5597347      52.0142602      
