# ID    RA            DEC         
  6     189.3485107   62.4028587  
  18    189.3498535   62.400322   
  35    189.3342133   62.3983154  
  36    189.3627319   62.3979454  
  38    189.3673859   62.3982124  
  44    189.3435364   62.3971863  
  48    189.341156    62.3968201  
  50    189.309021    62.3967781  
  56    189.3330841   62.3961372  
  64    189.3278351   62.3952751  
  65    189.3402557   62.395256   
  91    189.3629761   62.3935661  
  95    189.3264465   62.3934822  
  106   189.3455963   62.3922691  
  107   189.3130188   62.3921814  
  112   189.2936859   62.3917084  
  123   189.3483124   62.3914108  
  126   189.2962036   62.3910942  
  127   189.3196411   62.3907661  
  130   189.3960114   62.3908005  
  132   189.3355255   62.3906975  
  135   189.3549194   62.3903694  
  142   189.3594208   62.3898582  
  145   189.3486023   62.389698   
  152   189.3703461   62.3893394  
  158   189.3103485   62.3889732  
  162   189.2877197   62.3886566  
  169   189.3772278   62.388237   
  175   189.3435822   62.3875694  
  179   189.330368    62.3872147  
  180   189.3639526   62.3872528  
  185   189.2730255   62.3870239  
  186   189.2921295   62.3869972  
  207   189.319931    62.3851814  
  208   189.3342133   62.3858261  
  213   189.2788696   62.3852005  
  214   189.2790375   62.3842049  
  216   189.3811798   62.3850174  
  217   189.3233337   62.3851357  
  227   189.3872528   62.3847237  
  239   189.301178    62.3842163  
  242   189.3982697   62.3841057  
  245   189.3617554   62.3836441  
  247   189.3082275   62.3836327  
  248   189.2747192   62.383419   
  254   189.3492737   62.3831825  
  255   189.2914581   62.3830261  
  256   189.3261261   62.3830528  
  257   189.3730469   62.3830338  
  262   189.3527832   62.3826752  
  264   189.3194275   62.3825989  
  270   189.276123    62.3823051  
  277   189.2606659   62.382122   
  288   189.3411255   62.3813171  
  289   189.3540192   62.3815117  
  309   189.4114227   62.380867   
  314   189.3889771   62.3803711  
  316   189.3449707   62.3803024  
  317   189.3559875   62.3801041  
  330   189.2572784   62.3797035  
  337   189.326355    62.3793564  
  339   189.2628784   62.3790627  
  340   189.2966461   62.3791313  
  343   189.3441925   62.3789711  
  356   189.3569031   62.3785439  
  365   189.3375244   62.3778343  
  368   189.3711548   62.3778992  
  371   189.3935699   62.3781815  
  374   189.2759247   62.377739   
  375   189.2846832   62.377533   
  376   189.4158325   62.3777733  
  379   189.2998352   62.3774223  
  381   189.3229218   62.3777237  
  385   189.340744    62.3772049  
  390   189.2970734   62.377018   
  391   189.3270874   62.3771172  
  394   189.2457886   62.3770752  
  398   189.2703552   62.3765945  
  399   189.371048    62.3766823  
  401   189.2810516   62.3764534  
  407   189.2942505   62.3762665  
  409   189.3363342   62.3762016  
  413   189.3651276   62.3760185  
  414   189.3391876   62.3758583  
  416   189.4104004   62.375927   
  418   189.2923126   62.3758202  
  421   189.2828979   62.375721   
  428   189.2596283   62.3751678  
  429   189.2620087   62.3751678  
  430   189.2854767   62.3752823  
  431   189.3308258   62.3751831  
  432   189.3529205   62.3752251  
  433   189.4020081   62.3753777  
  437   189.2796173   62.3745041  
  438   189.3011932   62.3750534  
  439   189.385376    62.3749428  
  442   189.240921    62.3749695  
  449   189.3769989   62.3744125  
  450   189.306076    62.3745461  
  451   189.3164368   62.3746529  
  468   189.3604889   62.3730621  
  481   189.3880005   62.373436   
  482   189.4001007   62.373436   
  490   189.3794098   62.372921   
  498   189.3556824   62.3726234  
  501   189.3748474   62.3725014  
  502   189.265564    62.3723221  
  503   189.2879944   62.3723145  
  505   189.3832092   62.3722649  
  506   189.2587738   62.3723564  
  509   189.406601    62.371994   
  510   189.2344666   62.3719101  
  512   189.3144989   62.3719177  
  516   189.3721008   62.372036   
  521   189.3558807   62.371479   
  530   189.2914734   62.3712006  
  532   189.306427    62.3711739  
  533   189.3378601   62.3711395  
  540   189.4091949   62.3711014  
  541   189.2628021   62.3708839  
  546   189.2455139   62.370842   
  547   189.2478333   62.3703156  
  548   189.2892303   62.3707123  
  550   189.3953552   62.3708954  
  552   189.3175201   62.3705864  
  554   189.2380066   62.3705254  
  559   189.2335205   62.370388   
  561   189.3757019   62.3700027  
  562   189.4066467   62.3701706  
  564   189.2994995   62.3700371  
  581   189.3711243   62.3696136  
  593   189.3899994   62.3689957  
  597   189.2703552   62.3690376  
  598   189.2923431   62.3685188  
  604   189.4406281   62.368679   
  606   189.2661896   62.3686371  
  620   189.2494202   62.3682442  
  621   189.2638092   62.3682137  
  622   189.2983856   62.368309   
  628   189.3333435   62.3680763  
  631   189.3711548   62.3680801  
  637   189.4125824   62.3677406  
  638   189.4360352   62.3677368  
  652   189.2431946   62.3675156  
  658   189.2865833   62.3671667  
  659   189.2905417   62.3673889  
  661   189.2207794   62.3671074  
  664   189.3692932   62.3670883  
  669   189.3904724   62.3668671  
  672   189.3344116   62.3666763  
  689   189.4340057   62.3663406  
  692   189.3514557   62.3660202  
  697   189.2570953   62.3653221  
  702   189.2340546   62.366127   
  710   189.3928223   62.3654709  
