# ID     RA            DEC         
  6      189.3485107   62.4028587  
  36     189.3627319   62.3979454  
  106    189.3455963   62.3922691  
  127    189.3196411   62.3907661  
  130    189.3960114   62.3908005  
  145    189.3486023   62.389698   
  152    189.3703461   62.3893394  
  158    189.3103485   62.3889732  
  162    189.2877197   62.3886566  
  213    189.2788696   62.3852005  
  216    189.3811798   62.3850174  
  255    189.2914581   62.3830261  
  256    189.3261261   62.3830528  
  257    189.3730469   62.3830338  
  289    189.3540192   62.3815117  
  356    189.3569031   62.3785439  
  374    189.2759247   62.377739   
  375    189.2846832   62.377533   
  376    189.4158325   62.3777733  
  385    189.340744    62.3772049  
  407    189.2942505   62.3762665  
  438    189.3011932   62.3750534  
  442    189.240921    62.3749695  
  449    189.3769989   62.3744125  
  510    189.2344666   62.3719101  
  532    189.306427    62.3711739  
  541    189.2628021   62.3708839  
  546    189.2455139   62.370842   
  547    189.2478333   62.3703156  
  548    189.2892303   62.3707123  
  552    189.3175201   62.3705864  
  554    189.2380066   62.3705254  
  559    189.2335205   62.370388   
  564    189.2994995   62.3700371  
  593    189.3899994   62.3689957  
  598    189.2923431   62.3685188  
  620    189.2494202   62.3682442  
  621    189.2638092   62.3682137  
  637    189.4125824   62.3677406  
  638    189.4360352   62.3677368  
  658    189.2865833   62.3671667  
  669    189.3904724   62.3668671  
  692    189.3514557   62.3660202  
  737    189.231308    62.3645592  
  807    189.4239502   62.3625374  
  808    189.209549    62.3623848  
  827    189.2061768   62.3618965  
  870    189.421875    62.3605881  
  884    189.2482452   62.360218   
  885    189.2761383   62.3601532  
  893    189.2816772   62.3599548  
  902    189.2283478   62.3593483  
  915    189.2552795   62.3590889  
  917    189.4455261   62.3588676  
  923    189.4172668   62.3588448  
  939    189.2743835   62.3582878  
  995    189.2989197   62.3567123  
  1002   189.2170105   62.3566551  
  1005   189.2657776   62.3562546  
  1006   189.2728271   62.3565483  
  1008   189.3099976   62.3564682  
  1037   189.2053833   62.3553391  
  1076   189.3115997   62.3543472  
  1084   189.3170776   62.3541145  
  1094   189.3489838   62.3535538  
  1102   189.2233887   62.3532143  
  1103   189.2759247   62.3532333  
  1104   189.2815094   62.3533249  
  1105   189.2887268   62.3530083  
  1109   189.1812439   62.353302   
  1118   189.1958466   62.3527641  
  1135   189.2706604   62.3524666  
  1143   189.3634644   62.3521118  
  1147   189.2106171   62.3520393  
  1148   189.2302856   62.3521156  
  1150   189.2776794   62.3521805  
  1159   189.2011871   62.3519135  
  1168   189.2552338   62.3516808  
  1225   189.4537506   62.3502693  
  1235   189.1815948   62.3501129  
  1239   189.4135437   62.3498726  
  1248   189.4335785   62.3496819  
  1269   189.1877136   62.3494072  
  1284   189.298172    62.3483315  
