#         z_low         z_high     lgoneplusz          CSFRD         eCSFRD
# Below are 1/Vmax and boostrapping CSFRD from GOODSN Superdeblending 201612 goodArea SNR>=5 sources
              0            0.2      0.0413927       -1.85161       0.163946
            0.2            0.4       0.113943       -1.81821       0.113683
            0.4            0.6       0.176091       -1.34867      0.0770781
            0.6            0.8       0.230449       -1.53102      0.0961594
            0.8              1       0.278754       -1.19897      0.0671891
              1            1.5       0.352183       -1.26258       0.062252
            1.5              2       0.439333       -1.38328       0.074784
              2            2.5       0.511883       -1.16952      0.0565354
            2.5              3       0.574031        -1.5339       0.146383
              3              4       0.653213       -1.35256      0.0864811
              4              5       0.740363       -1.61896       0.145308
              5              6       0.812913       -2.03989       0.163513
