#         z_low         z_high     lgoneplusz          CSFRD         eCSFRD
# Below are 1/Vmax and boostrapping CSFRD from GOODSN Superdeblending 201612 goodArea SNR>=5 sources
              0            0.2      0.0413927       -1.99738       0.217061
            0.2            0.4       0.113943       -1.93025       0.109635
            0.4            0.6       0.176091       -1.41858      0.0741768
            0.6            0.8       0.230449       -1.56062       0.105405
            0.8              1       0.278754       -1.22455      0.0686905
              1            1.5       0.352183       -1.29549      0.0636311
            1.5              2       0.439333       -1.40608      0.0744898
              2            2.5       0.511883       -1.18902      0.0595408
            2.5              3       0.574031       -1.54385        0.14868
              3              4       0.653213       -1.38391      0.0821037
              4              5       0.740363       -1.63678       0.127845
              5              6       0.812913       -2.07322       0.145191
