#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0113579                  0.00970034
         2                   0.0134324                   0.0125884
         3                   0.0134636                   0.0116294
         4                    0.012066                   0.0112845
         5                     0.01079                  0.00872089
         6                   0.0127319                   0.0110988
         7                   0.0123666                  0.00976671
         8                   0.0134999                   0.0109337
         9                    0.015603                   0.0146865
        10                   0.0119126                  0.00956862
        11                   0.0136464                   0.0118987
        12                   0.0117135                  0.00940035
        13                    0.013008                   0.0112437
        14                   0.0146917                   0.0140646
        15                   0.0134386                   0.0117666
        16                    0.011048                  0.00960412
        17                   0.0124343                    0.011231
        18                   0.0121915                   0.0106725
        19                   0.0117458                  0.00974351
        20                   0.0105351                  0.00956399
        21                   0.0120652                   0.0108476
        22                   0.0124045                   0.0104248
        23                   0.0108446                  0.00811074
        24                   0.0122065                  0.00994843
        25                   0.0124112                  0.00963246
        26                    0.014727                    0.013061
        27                   0.0138307                   0.0114373
        28                   0.0112358                  0.00892497
        29                   0.0107247                  0.00817245
        30                   0.0142506                   0.0126831
        31                   0.0148009                   0.0130743
        32                   0.0115356                  0.00896543
        33                   0.0126119                   0.0105281
        34                   0.0137627                   0.0121537
        35                   0.0121692                   0.0103262
        36                    0.013376                   0.0125087
        37                   0.0108179                  0.00896879
        38                   0.0127266                   0.0113208
        39                   0.0119493                  0.00902292
        40                   0.0109162                  0.00930158
        41                   0.0139085                   0.0127752
        42                   0.0146486                   0.0127945
        43                   0.0134237                   0.0119912
        44                   0.0142685                   0.0128098
        45                   0.0107688                  0.00880508
        46                   0.0117446                  0.00996577
        47                   0.0105598                  0.00888607
        48                   0.0122068                   0.0106704
        49                   0.0111754                  0.00898539
        50                   0.0133394                    0.011418
        51                   0.0117671                  0.00949807
        52                    0.011234                  0.00831277
        53                   0.0128865                    0.011246
        54                   0.0129902                   0.0114419
        55                   0.0133288                   0.0121671
        56                   0.0117161                  0.00995288
        57                   0.0116766                  0.00903536
        58                   0.0133737                   0.0111656
        59                   0.0131418                   0.0115426
        60                   0.0111696                  0.00828268
        61                  0.00970079                  0.00716087
        62                   0.0114274                  0.00929382
        63                    0.012136                   0.0103417
        64                   0.0114894                  0.00958828
        65                    0.011244                  0.00999643
        66                   0.0125402                   0.0102486
        67                   0.0126836                   0.0105552
        68                   0.0131374                    0.011411
        69                   0.0114866                  0.00962641
        70                   0.0116645                  0.00997542
        71                     0.01132                   0.0104567
        72                   0.0131591                   0.0111992
        73                   0.0121413                   0.0101818
        74                    0.012134                   0.0102152
        75                   0.0112566                  0.00901996
        76                   0.0145897                   0.0125875
        77                   0.0118378                   0.0105782
        78                   0.0154263                   0.0135177
        79                   0.0113376                  0.00863559
        80                   0.0121128                   0.0112003
        81                   0.0135948                   0.0117888
        82                    0.011923                  0.00961873
        83                   0.0142635                   0.0124291
        84                   0.0112988                  0.00826811
        85                   0.0143591                   0.0126135
        86                   0.0107618                  0.00850647
        87                   0.0119904                   0.0108742
        88                   0.0129366                   0.0107319
        89                   0.0117282                   0.0101594
        90                    0.011594                   0.0103917
        91                    0.011209                  0.00881055
        92                   0.0127419                   0.0110396
        93                   0.0122832                   0.0113014
        94                   0.0139408                   0.0123377
        95                   0.0120421                   0.0103074
        96                   0.0135153                   0.0113714
        97                     0.01111                  0.00926747
        98                   0.0125866                   0.0109965
        99                   0.0123435                   0.0105672
       100                   0.0141701                   0.0119037
       101                   0.0113193                  0.00958365
       102                   0.0144792                   0.0130799
       103                    0.012618                   0.0101208
       104                  0.00972373                  0.00765663
       105                   0.0115586                   0.0094864
       106                   0.0106569                  0.00878196
       107                   0.0107104                  0.00924288
       108                   0.0137761                   0.0125353
       109                   0.0130288                   0.0114427
       110                    0.010606                  0.00856172
       111                   0.0103069                  0.00825954
       112                   0.0129637                   0.0107509
       113                   0.0103086                  0.00761665
       114                   0.0106165                    0.009283
       115                      0.0124                   0.0104853
       116                   0.0127454                   0.0109295
       117                   0.0113666                  0.00986306
       118                   0.0115871                  0.00925712
       119                   0.0159022                   0.0138552
       120                   0.0113747                  0.00979873
       121                   0.0137034                   0.0120246
       122                   0.0118122                  0.00970978
       123                   0.0133107                   0.0113798
       124                   0.0151215                   0.0139055
       125                   0.0122519                   0.0106652
       126                   0.0120119                   0.0100977
       127                   0.0130287                   0.0112565
       128                   0.0110851                  0.00837789
       129                   0.0125318                   0.0112386
       130                   0.0134448                   0.0117406
       131                   0.0124428                   0.0110266
       132                    0.012096                   0.0103311
       133                   0.0114269                  0.00924897
       134                   0.0145926                   0.0136215
       135                   0.0138391                   0.0123631
       136                   0.0118683                   0.0099084
       137                   0.0110844                  0.00984043
       138                   0.0127432                   0.0107466
       139                    0.012766                    0.011522
       140                   0.0116681                   0.0104568
       141                   0.0120929                   0.0100738
       142                   0.0124193                  0.00992074
       143                  0.00971309                  0.00707203
       144                   0.0126345                   0.0111375
       145                   0.0121381                  0.00951716
       146                   0.0125071                   0.0109003
       147                   0.0137344                    0.012037
       148                    0.011926                     0.01017
       149                   0.0128835                   0.0116095
       150                   0.0109568                  0.00964575
       151                   0.0113396                   0.0092594
       152                    0.011043                  0.00900554
       153                   0.0134478                   0.0108581
       154                    0.012942                   0.0117297
       155                   0.0132849                     0.01171
       156                  0.00995255                  0.00843795
       157                   0.0156117                   0.0138789
       158                   0.0116445                   0.0093073
       159                    0.012039                   0.0103386
       160                   0.0149404                   0.0118832
       161                   0.0116384                   0.0101607
       162                   0.0101613                   0.0092843
       163                   0.0127147                   0.0106389
       164                   0.0130818                   0.0110667
       165                   0.0107639                  0.00866386
       166                   0.0125174                   0.0105154
       167                   0.0107352                  0.00820777
       168                   0.0127925                   0.0106807
       169                   0.0125404                   0.0103402
       170                   0.0105087                  0.00888011
       171                   0.0150517                   0.0134045
       172                   0.0120145                  0.00915656
       173                   0.0131125                   0.0113786
       174                   0.0147151                   0.0132299
       175                   0.0127346                   0.0106577
       176                   0.0150509                   0.0127507
       177                   0.0107684                  0.00936222
       178                   0.0149495                   0.0116438
       179                   0.0121192                   0.0104948
       180                  0.00990972                  0.00721714
       181                   0.0138242                   0.0119404
       182                   0.0100896                  0.00786323
       183                   0.0104584                  0.00750388
       184                   0.0143772                   0.0127461
       185                   0.0135848                   0.0122943
       186                   0.0126099                    0.010892
       187                    0.014346                   0.0127152
       188                   0.0106113                  0.00880217
       189                   0.0141759                    0.012899
       190                   0.0127562                   0.0116368
       191                   0.0142408                   0.0129312
       192                    0.014523                   0.0123281
       193                   0.0132174                   0.0116672
       194                   0.0130827                   0.0121067
       195                    0.012757                   0.0111888
       196                   0.0150347                   0.0136477
       197                   0.0121858                   0.0108348
       198                   0.0129473                   0.0113816
       199                    0.010823                  0.00881702
       200                     0.01288                   0.0107471
       201                   0.0114361                  0.00836198
       202                   0.0125413                   0.0104794
       203                  0.00972983                  0.00834095
       204                   0.0111703                  0.00894957
