#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0284588                   0.0275284
         2                   0.0223974                   0.0223974
         3                   0.0242944                   0.0235665
         4                   0.0278701                   0.0269397
         5                   0.0250559                   0.0233975
         6                    0.025595                     0.02062
         7                   0.0243864                   0.0208673
         8                    0.023985                   0.0213963
         9                   0.0284364                   0.0284364
        10                   0.0223072                   0.0215793
        11                   0.0259388                   0.0250084
        12                    0.023393                   0.0215322
        13                   0.0197968                   0.0190688
        14                   0.0267869                   0.0241982
        15                   0.0247701                   0.0221814
        16                   0.0231985                   0.0204073
        17                   0.0260028                   0.0243444
        18                   0.0236818                   0.0220235
        19                   0.0254487                   0.0237903
        20                    0.025177                   0.0244491
        21                   0.0282337                   0.0256449
        22                   0.0218256                   0.0218256
        23                   0.0222937                   0.0222937
        24                   0.0211644                   0.0195061
        25                   0.0221801                   0.0205218
        26                   0.0239629                   0.0239629
        27                    0.024267                    0.024267
        28                   0.0252433                   0.0233825
        29                   0.0218715                   0.0200107
        30                   0.0231956                   0.0222653
        31                   0.0234776                   0.0225472
        32                   0.0287225                   0.0261338
        33                   0.0227182                   0.0219902
        34                   0.0206259                   0.0196956
        35                    0.021272                    0.020544
        36                   0.0230429                   0.0213846
        37                   0.0269286                   0.0224791
        38                   0.0215305                   0.0208025
        39                    0.021947                   0.0200862
        40                    0.025302                   0.0243717
        41                   0.0213755                   0.0204451
        42                   0.0255276                   0.0227364
        43                   0.0213655                   0.0189792
        44                   0.0226679                   0.0226679
        45                   0.0228092                   0.0200181
        46                   0.0274872                   0.0260313
        47                   0.0257319                   0.0248015
        48                   0.0248497                    0.022989
        49                   0.0213987                   0.0213987
        50                   0.0224337                   0.0215033
        51                   0.0221381                   0.0204797
        52                   0.0206852                   0.0206852
        53                   0.0213938                   0.0206658
        54                   0.0200367                   0.0191063
        55                   0.0209805                   0.0209805
        56                   0.0209334                    0.019275
        57                   0.0240099                   0.0230795
        58                   0.0236668                   0.0229388
        59                   0.0229569                   0.0203681
        60                   0.0218481                   0.0209177
        61                   0.0253376                   0.0236792
        62                   0.0250132                   0.0240828
        63                   0.0261519                   0.0244935
        64                   0.0238861                   0.0231581
        65                   0.0258408                   0.0230497
        66                   0.0254925                   0.0245621
        67                   0.0240556                   0.0240556
        68                   0.0248671                    0.021348
        69                   0.0211991                   0.0211991
        70                   0.0277313                   0.0268009
        71                   0.0209024                   0.0209024
        72                   0.0235661                   0.0209774
        73                   0.0192083                   0.0184803
        74                   0.0238253                   0.0205086
        75                   0.0245207                   0.0235904
        76                   0.0224253                   0.0224253
        77                   0.0212017                    0.018613
        78                   0.0225693                   0.0199806
        79                   0.0234422                   0.0227142
        80                   0.0232044                   0.0206157
        81                   0.0211623                    0.020232
        82                   0.0211478                   0.0202174
        83                    0.021157                   0.0187706
        84                   0.0237829                   0.0219221
        85                   0.0223803                   0.0209244
        86                   0.0257409                   0.0238802
        87                   0.0241975                   0.0232671
        88                   0.0205309                   0.0205309
        89                    0.021136                   0.0194776
        90                   0.0257194                   0.0238587
        91                   0.0218058                    0.019945
        92                   0.0238278                   0.0221694
        93                   0.0237719                   0.0221135
        94                   0.0237611                   0.0223052
        95                   0.0206553                   0.0197249
        96                   0.0245594                   0.0226987
        97                   0.0241453                   0.0213542
        98                   0.0240259                   0.0240259
        99                    0.024078                   0.0222172
       100                   0.0284117                    0.026551
       101                   0.0255781                   0.0231918
       102                   0.0210116                   0.0210116
       103                   0.0268204                   0.0242317
       104                   0.0233177                   0.0214569
       105                   0.0245341                   0.0236037
       106                    0.024628                      0.0239
       107                   0.0232059                   0.0213451
       108                   0.0244964                    0.023566
       109                   0.0229221                   0.0229221
       110                    0.026159                   0.0245007
       111                   0.0229425                   0.0203538
       112                    0.025597                   0.0222803
       113                   0.0236421                   0.0210534
       114                   0.0212765                   0.0203462
       115                   0.0267378                   0.0258074
       116                   0.0219138                   0.0209834
       117                    0.025426                   0.0226349
       118                   0.0243227                   0.0243227
       119                   0.0230343                   0.0211736
       120                   0.0219536                   0.0202953
       121                   0.0253365                   0.0244061
       122                   0.0284351                   0.0275048
       123                    0.022077                   0.0211466
       124                    0.021514                   0.0196533
       125                   0.0206443                   0.0206443
       126                   0.0246455                   0.0246455
       127                   0.0205886                   0.0189303
       128                   0.0221548                   0.0204964
       129                   0.0242039                   0.0242039
       130                   0.0221285                   0.0204702
       131                   0.0241279                   0.0215391
       132                   0.0241206                   0.0200759
       133                   0.0226501                   0.0200614
       134                   0.0214658                   0.0205354
       135                   0.0232622                   0.0206735
       136                   0.0243633                   0.0243633
       137                    0.023644                   0.0201249
       138                   0.0229813                   0.0229813
       139                   0.0216107                   0.0199524
       140                   0.0236505                    0.019929
       141                   0.0237447                   0.0237447
       142                   0.0234486                   0.0206575
       143                   0.0221071                   0.0221071
       144                   0.0228446                   0.0219143
       145                   0.0229979                   0.0194788
       146                   0.0236763                   0.0222203
       147                   0.0193146                   0.0185867
       148                   0.0213226                   0.0194619
       149                    0.021732                    0.021732
       150                   0.0243707                   0.0243707
       151                   0.0259772                   0.0241165
       152                   0.0253432                   0.0253432
       153                   0.0222798                   0.0215518
       154                   0.0266651                   0.0250067
       155                   0.0253581                   0.0227694
       156                   0.0218388                   0.0187245
       157                   0.0232112                   0.0222808
       158                   0.0274751                   0.0265447
       159                    0.021475                   0.0198167
       160                    0.027931                   0.0260702
       161                   0.0267318                   0.0250734
       162                   0.0219525                   0.0219525
       163                   0.0276249                   0.0259665
       164                   0.0250555                   0.0250555
       165                    0.024315                   0.0224542
       166                   0.0244846                   0.0216935
       167                   0.0256142                   0.0222975
       168                   0.0244308                   0.0199813
       169                   0.0239494                   0.0213607
       170                   0.0209738                   0.0200434
       171                   0.0215116                   0.0196509
       172                   0.0225181                   0.0192014
       173                   0.0241578                   0.0224994
       174                   0.0231903                    0.020804
       175                    0.022875                   0.0210142
       176                   0.0268687                   0.0259383
       177                   0.0226511                   0.0217207
       178                   0.0238821                   0.0229517
       179                   0.0230814                   0.0212206
       180                   0.0235273                   0.0216665
       181                    0.023417                   0.0219611
       182                   0.0267256                   0.0239344
       183                   0.0237688                   0.0228384
       184                   0.0229805                   0.0213222
       185                   0.0218334                   0.0194471
       186                   0.0230709                   0.0214125
       187                   0.0239932                   0.0221324
       188                   0.0238904                   0.0210993
       189                   0.0233686                   0.0217102
       190                   0.0216887                   0.0198279
       191                    0.023785                   0.0221267
       192                   0.0239491                     0.02043
       193                   0.0197693                   0.0190414
       194                   0.0212546                   0.0212546
       195                   0.0242896                   0.0207705
