#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       1.331           1         1.5        1.25         0.5   1.867e+05
       1.018           1         1.5        1.25         0.5   1.867e+05
       1.036           1         1.5        1.25         0.5   1.867e+05
       1.239           1         1.5        1.25         0.5   1.867e+05
       1.083           1         1.5        1.25         0.5   1.867e+05
       1.249           1         1.5        1.25         0.5   1.867e+05
       1.391           1         1.5        1.25         0.5   1.867e+05
       1.195           1         1.5        1.25         0.5   1.867e+05
       1.027           1         1.5        1.25         0.5   1.867e+05
       1.055           1         1.5        1.25         0.5   1.867e+05
       1.127           1         1.5        1.25         0.5   1.867e+05
        1.39           1         1.5        1.25         0.5   1.867e+05
       1.013           1         1.5        1.25         0.5   1.867e+05
       1.068           1         1.5        1.25         0.5   1.867e+05
       1.011           1         1.5        1.25         0.5   1.867e+05
       1.295           1         1.5        1.25         0.5   1.867e+05
       1.251           1         1.5        1.25         0.5   1.867e+05
       1.004           1         1.5        1.25         0.5   1.867e+05
        1.24           1         1.5        1.25         0.5   1.867e+05
        1.33           1         1.5        1.25         0.5   1.867e+05
       1.344           1         1.5        1.25         0.5   1.867e+05
         1.2           1         1.5        1.25         0.5   1.867e+05
        1.08           1         1.5        1.25         0.5   1.867e+05
       1.303           1         1.5        1.25         0.5   1.867e+05
       1.015           1         1.5        1.25         0.5   1.867e+05
        1.14           1         1.5        1.25         0.5   1.867e+05
       1.237           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.036           1         1.5        1.25         0.5   1.867e+05
       1.344           1         1.5        1.25         0.5   1.867e+05
       1.251           1         1.5        1.25         0.5   1.867e+05
       1.249           1         1.5        1.25         0.5   1.867e+05
       1.155           1         1.5        1.25         0.5   1.867e+05
       1.256           1         1.5        1.25         0.5   1.867e+05
       1.185           1         1.5        1.25         0.5   1.867e+05
       1.055           1         1.5        1.25         0.5   1.867e+05
       1.246           1         1.5        1.25         0.5   1.867e+05
        1.27           1         1.5        1.25         0.5   1.867e+05
       1.423           1         1.5        1.25         0.5   1.867e+05
       1.321           1         1.5        1.25         0.5   1.867e+05
        1.27           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.359           1         1.5        1.25         0.5   1.867e+05
       1.461           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.005           1         1.5        1.25         0.5   1.867e+05
       1.225           1         1.5        1.25         0.5   1.867e+05
       1.322           1         1.5        1.25         0.5   1.867e+05
       1.382           1         1.5        1.25         0.5   1.867e+05
       1.364           1         1.5        1.25         0.5   1.867e+05
        1.27           1         1.5        1.25         0.5   1.867e+05
       1.223           1         1.5        1.25         0.5   1.867e+05
       1.014           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.278           1         1.5        1.25         0.5   1.867e+05
       1.359           1         1.5        1.25         0.5   1.867e+05
        1.02           1         1.5        1.25         0.5   1.867e+05
       1.021           1         1.5        1.25         0.5   1.867e+05
       1.008           1         1.5        1.25         0.5   1.867e+05
       1.225           1         1.5        1.25         0.5   1.867e+05
       1.306           1         1.5        1.25         0.5   1.867e+05
        1.26           1         1.5        1.25         0.5   1.867e+05
        1.27           1         1.5        1.25         0.5   1.867e+05
        1.33           1         1.5        1.25         0.5   1.867e+05
        1.17           1         1.5        1.25         0.5   1.867e+05
       1.201           1         1.5        1.25         0.5   1.867e+05
