#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       2.647         2.5           3        2.75         0.5   2.404e+05
         2.7         2.5           3        2.75         0.5   2.404e+05
       2.635         2.5           3        2.75         0.5   2.404e+05
         2.7         2.5           3        2.75         0.5   2.404e+05
       2.915         2.5           3        2.75         0.5   2.404e+05
        2.54         2.5           3        2.75         0.5   2.404e+05
       2.872         2.5           3        2.75         0.5   2.404e+05
       2.973         2.5           3        2.75         0.5   2.404e+05
       2.705         2.5           3        2.75         0.5   2.404e+05
        2.51         2.5           3        2.75         0.5   2.404e+05
       2.915         2.5           3        2.75         0.5   2.404e+05
       2.564         2.5           3        2.75         0.5   2.404e+05
        2.58         2.5           3        2.75         0.5   2.404e+05
        2.69         2.5           3        2.75         0.5   2.404e+05
       2.973         2.5           3        2.75         0.5   2.404e+05
         2.5         2.5           3        2.75         0.5   2.404e+05
        2.69         2.5           3        2.75         0.5   2.404e+05
       2.647         2.5           3        2.75         0.5   2.404e+05
       2.647         2.5           3        2.75         0.5   2.404e+05
       2.929         2.5           3        2.75         0.5   2.404e+05
       2.885         2.5           3        2.75         0.5   2.404e+05
       2.904         2.5           3        2.75         0.5   2.404e+05
       2.983         2.5           3        2.75         0.5   2.404e+05
        2.76         2.5           3        2.75         0.5   2.404e+05
       2.564         2.5           3        2.75         0.5   2.404e+05
        2.72         2.5           3        2.75         0.5   2.404e+05
        2.64         2.5           3        2.75         0.5   2.404e+05
       2.904         2.5           3        2.75         0.5   2.404e+05
        2.72         2.5           3        2.75         0.5   2.404e+05
       2.882         2.5           3        2.75         0.5   2.404e+05
       2.701         2.5           3        2.75         0.5   2.404e+05
        2.69         2.5           3        2.75         0.5   2.404e+05
       2.647         2.5           3        2.75         0.5   2.404e+05
       2.705         2.5           3        2.75         0.5   2.404e+05
       2.758         2.5           3        2.75         0.5   2.404e+05
         2.7         2.5           3        2.75         0.5   2.404e+05
        2.54         2.5           3        2.75         0.5   2.404e+05
        2.72         2.5           3        2.75         0.5   2.404e+05
       2.973         2.5           3        2.75         0.5   2.404e+05
        2.61         2.5           3        2.75         0.5   2.404e+05
