#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
         0.8         0.8        0.94        0.87        0.14   3.814e+04
       0.956         0.8           1         0.9         0.2   5.641e+04
      0.9346         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
      0.8408         0.8           1         0.9         0.2   5.641e+04
       0.937         0.8           1         0.9         0.2   5.641e+04
       0.846         0.8           1         0.9         0.2   5.641e+04
      0.8201         0.8      0.8201      0.8101      0.0201        5069
       0.946         0.8           1         0.9         0.2   5.641e+04
      0.9434         0.8      0.9634      0.8817      0.1634   4.514e+04
      0.9367         0.8      0.9367      0.8684      0.1367   3.717e+04
       0.913         0.8           1         0.9         0.2   5.641e+04
       0.821         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8494         0.8           1         0.9         0.2   5.641e+04
      0.9369         0.8           1         0.9         0.2   5.641e+04
       0.887         0.8           1         0.9         0.2   5.641e+04
      0.8409         0.8           1         0.9         0.2   5.641e+04
       0.909         0.8           1         0.9         0.2   5.641e+04
      0.9712         0.8           1         0.9         0.2   5.641e+04
      0.8988         0.8           1         0.9         0.2   5.641e+04
      0.9403         0.8           1         0.9         0.2   5.641e+04
      0.8178         0.8           1         0.9         0.2   5.641e+04
      0.9784         0.8           1         0.9         0.2   5.641e+04
      0.8409         0.8           1         0.9         0.2   5.641e+04
        0.89         0.8           1         0.9         0.2   5.641e+04
      0.9448         0.8           1         0.9         0.2   5.641e+04
      0.9032         0.8           1         0.9         0.2   5.641e+04
       0.903         0.8       0.903      0.8515       0.103   2.744e+04
       0.841         0.8           1         0.9         0.2   5.641e+04
      0.8903         0.8           1         0.9         0.2   5.641e+04
      0.8457         0.8           1         0.9         0.2   5.641e+04
      0.9037         0.8      0.9237      0.8619      0.1237   3.337e+04
      0.9377         0.8           1         0.9         0.2   5.641e+04
       0.848         0.8           1         0.9         0.2   5.641e+04
      0.8407         0.8      0.8407      0.8204      0.0407   1.041e+04
      0.9544         0.8           1         0.9         0.2   5.641e+04
      0.9032         0.8           1         0.9         0.2   5.641e+04
        0.96         0.8           1         0.9         0.2   5.641e+04
      0.8453         0.8           1         0.9         0.2   5.641e+04
       0.912         0.8           1         0.9         0.2   5.641e+04
       0.821         0.8           1         0.9         0.2   5.641e+04
       0.969         0.8           1         0.9         0.2   5.641e+04
      0.8487         0.8           1         0.9         0.2   5.641e+04
       0.846         0.8           1         0.9         0.2   5.641e+04
      0.9032         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
      0.9434         0.8      0.9634      0.8817      0.1634   4.514e+04
      0.9048         0.8           1         0.9         0.2   5.641e+04
       0.955         0.8           1         0.9         0.2   5.641e+04
       0.845         0.8           1         0.9         0.2   5.641e+04
      0.9044         0.8           1         0.9         0.2   5.641e+04
       0.846         0.8           1         0.9         0.2   5.641e+04
      0.8799         0.8           1         0.9         0.2   5.641e+04
       0.838         0.8           1         0.9         0.2   5.641e+04
      0.9456         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
      0.8402         0.8           1         0.9         0.2   5.641e+04
      0.8484         0.8           1         0.9         0.2   5.641e+04
      0.9377         0.8           1         0.9         0.2   5.641e+04
      0.8785         0.8           1         0.9         0.2   5.641e+04
       0.975         0.8           1         0.9         0.2   5.641e+04
       0.961         0.8       0.981      0.8905       0.181   5.051e+04
       0.842         0.8           1         0.9         0.2   5.641e+04
      0.9784         0.8           1         0.9         0.2   5.641e+04
       0.936         0.8           1         0.9         0.2   5.641e+04
       0.874         0.8           1         0.9         0.2   5.641e+04
