#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
       2.482           2       2.482       2.241       0.482   2.307e+05
        2.19           2         2.5        2.25         0.5   2.394e+05
       2.387           2         2.5        2.25         0.5   2.394e+05
        2.32           2         2.5        2.25         0.5   2.394e+05
       2.387           2         2.5        2.25         0.5   2.394e+05
       2.068           2         2.5        2.25         0.5   2.394e+05
       2.437           2         2.5        2.25         0.5   2.394e+05
       2.387           2         2.5        2.25         0.5   2.394e+05
       2.008           2       2.228       2.114       0.228   1.084e+05
       2.234           2         2.5        2.25         0.5   2.394e+05
       2.169           2       2.169       2.085       0.169   8.018e+04
        2.48           2         2.5        2.25         0.5   2.394e+05
       2.272           2       2.272       2.136       0.272   1.295e+05
       2.008           2       2.228       2.114       0.228   1.084e+05
       2.011           2         2.5        2.25         0.5   2.394e+05
       2.275           2         2.5        2.25         0.5   2.394e+05
        2.29           2         2.5        2.25         0.5   2.394e+05
        2.01           2        2.29       2.145        0.29   1.382e+05
        2.41           2         2.5        2.25         0.5   2.394e+05
       2.399           2       2.399       2.199       0.399   1.906e+05
       2.441           2       2.441        2.22       0.441   2.109e+05
       2.231           2         2.5        2.25         0.5   2.394e+05
        2.11           2         2.5        2.25         0.5   2.394e+05
       2.011           2         2.5        2.25         0.5   2.394e+05
       2.032           2         2.5        2.25         0.5   2.394e+05
       2.088           2         2.5        2.25         0.5   2.394e+05
        2.01           2         2.5        2.25         0.5   2.394e+05
       2.409           2         2.5        2.25         0.5   2.394e+05
        2.14           2        2.14        2.07        0.14   6.634e+04
       2.211           2         2.5        2.25         0.5   2.394e+05
        2.34           2         2.5        2.25         0.5   2.394e+05
       2.178           2       2.178       2.089       0.178   8.448e+04
       2.441           2       2.441        2.22       0.441   2.109e+05
        2.44           2         2.5        2.25         0.5   2.394e+05
        2.01           2         2.5        2.25         0.5   2.394e+05
        2.34           2         2.5        2.25         0.5   2.394e+05
       2.231           2         2.5        2.25         0.5   2.394e+05
       2.225           2       2.225       2.112       0.225    1.07e+05
        2.29           2         2.5        2.25         0.5   2.394e+05
       2.212           2         2.5        2.25         0.5   2.394e+05
       2.441           2       2.441        2.22       0.441   2.109e+05
        2.09           2        2.15       2.075        0.15   7.111e+04
       2.403           2         2.5        2.25         0.5   2.394e+05
        2.19           2         2.5        2.25         0.5   2.394e+05
        2.32           2        2.32        2.16        0.32   1.526e+05
       2.414           2         2.5        2.25         0.5   2.394e+05
       2.088           2         2.5        2.25         0.5   2.394e+05
        2.47           2         2.5        2.25         0.5   2.394e+05
       2.212           2         2.5        2.25         0.5   2.394e+05
       2.335           2         2.5        2.25         0.5   2.394e+05
       2.387           2         2.5        2.25         0.5   2.394e+05
       2.211           2         2.5        2.25         0.5   2.394e+05
       2.245           2       2.245       2.123       0.245   1.166e+05
       2.211           2         2.5        2.25         0.5   2.394e+05
       2.011           2         2.5        2.25         0.5   2.394e+05
       2.403           2         2.5        2.25         0.5   2.394e+05
        2.03           2         2.5        2.25         0.5   2.394e+05
       2.327           2       2.347       2.173       0.347   1.656e+05
       2.198           2         2.5        2.25         0.5   2.394e+05
       2.319           2         2.5        2.25         0.5   2.394e+05
       2.032           2         2.5        2.25         0.5   2.394e+05
        2.01           2         2.5        2.25         0.5   2.394e+05
       2.401           2         2.5        2.25         0.5   2.394e+05
       2.211           2         2.5        2.25         0.5   2.394e+05
        2.19           2         2.5        2.25         0.5   2.394e+05
       2.079           2       2.299       2.149       0.299   1.425e+05
       2.199           2         2.5        2.25         0.5   2.394e+05
       2.325           2         2.5        2.25         0.5   2.394e+05
        2.22           2        2.42        2.21        0.42   2.008e+05
       2.178           2       2.178       2.089       0.178   8.448e+04
       2.231           2         2.5        2.25         0.5   2.394e+05
        2.28           2        2.28        2.14        0.28   1.334e+05
       2.401           2         2.5        2.25         0.5   2.394e+05
        2.45           2         2.5        2.25         0.5   2.394e+05
       2.088           2         2.5        2.25         0.5   2.394e+05
       2.068           2         2.5        2.25         0.5   2.394e+05
       2.243           2       2.463       2.232       0.463   2.215e+05
       2.198           2         2.5        2.25         0.5   2.394e+05
       2.335           2         2.5        2.25         0.5   2.394e+05
        2.48           2         2.5        2.25         0.5   2.394e+05
       2.319           2         2.5        2.25         0.5   2.394e+05
       2.088           2         2.5        2.25         0.5   2.394e+05
       2.327           2       2.347       2.173       0.347   1.656e+05
        2.44           2         2.5        2.25         0.5   2.394e+05
        2.19           2         2.5        2.25         0.5   2.394e+05
       2.032           2         2.5        2.25         0.5   2.394e+05
       2.365           2         2.5        2.25         0.5   2.394e+05
        2.44           2         2.5        2.25         0.5   2.394e+05
        2.29           2         2.5        2.25         0.5   2.394e+05
        2.35           2         2.5        2.25         0.5   2.394e+05
       2.046           2         2.5        2.25         0.5   2.394e+05
        2.32           2        2.32        2.16        0.32   1.526e+05
        2.03           2         2.5        2.25         0.5   2.394e+05
       2.441           2       2.441        2.22       0.441   2.109e+05
       2.325           2         2.5        2.25         0.5   2.394e+05
        2.44           2         2.5        2.25         0.5   2.394e+05
       2.205           2         2.5        2.25         0.5   2.394e+05
       2.246           2         2.5        2.25         0.5   2.394e+05
       2.319           2         2.5        2.25         0.5   2.394e+05
        2.02           2         2.5        2.25         0.5   2.394e+05
        2.44           2         2.5        2.25         0.5   2.394e+05
       2.272           2       2.272       2.136       0.272   1.295e+05
