#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      2.5000      2.5000      2.5000      0.0000               0
      2.5000      2.5300      2.5150      0.0300       14491.033
      2.5000      2.5600      2.5300      0.0600        28981.64
      2.5000      2.5900      2.5450      0.0900       43469.952
      2.5000      2.6200      2.5600      0.1200       57953.925
      2.5000      2.6500      2.5750      0.1500       72431.907
      2.5000      2.6800      2.5900      0.1800       86902.225
      2.5000      2.7100      2.6050      0.2100       101363.18
      2.5000      2.7400      2.6200      0.2400       115812.83
      2.5000      2.7700      2.6350      0.2700       130250.14
      2.5000      2.8000      2.6500      0.3000       144673.45
      2.5000      2.8300      2.6650      0.3300       159081.95
      2.5000      2.8600      2.6800      0.3600       173473.13
      2.5000      2.8900      2.6950      0.3900       187846.46
      2.5000      2.9200      2.7100      0.4200       202201.53
      2.5000      2.9500      2.7250      0.4500       216535.25
      2.5000      2.9800      2.7400      0.4800       230848.21
      2.5000      3.0100      2.7550      0.5100       245138.49
      2.5000      3.0400      2.7700      0.5400       259405.46
      2.5000      3.0700      2.7850      0.5700       273648.64
      2.5000      3.1000      2.8000      0.6000       287865.08
      2.5000      3.1300      2.8150      0.6300       302056.24
      2.5000      3.1600      2.8300      0.6600       316220.93
      2.5000      3.1900      2.8450      0.6900       330357.46
      2.5000      3.2200      2.8600      0.7200       344464.49
      2.5000      3.2500      2.8750      0.7500       358543.05
      2.5000      3.2800      2.8900      0.7800       372590.66
      2.5000      3.3100      2.9050      0.8100       386609.05
      2.5000      3.3400      2.9200      0.8400       400596.23
      2.5000      3.3700      2.9350      0.8700       414550.95
      2.5000      3.4000      2.9500      0.9000       428473.41
      2.5000      3.4300      2.9650      0.9300       442363.93
      2.5000      3.4600      2.9800      0.9600       456219.29
      2.5000      3.4900      2.9950      0.9900        470042.5
      2.5000      3.5200      3.0100      1.0200       483829.17
      2.5000      3.5500      3.0250      1.0500       497583.17
      2.5000      3.5800      3.0400      1.0800       511301.11
      2.5000      3.6100      3.0550      1.1100       524984.22
      2.5000      3.6400      3.0700      1.1400       538632.05
      2.5000      3.6700      3.0850      1.1700       552241.57
      2.5000      3.7000      3.1000      1.2000       565815.47
      2.5000      3.7300      3.1150      1.2300       579353.35
      2.5000      3.7600      3.1300      1.2600       592852.75
      2.5000      3.7900      3.1450      1.2900       606316.06
      2.5000      3.8200      3.1600      1.3200       619742.97
      2.5000      3.8500      3.1750      1.3500       633129.46
      2.5000      3.8800      3.1900      1.3800       646480.32
      2.5000      3.9100      3.2050      1.4100       659791.52
      2.5000      3.9400      3.2200      1.4400       673064.23
      2.5000      3.9700      3.2350      1.4700       686300.58
      2.5000      4.0000      3.2500      1.5000       699494.64
