#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0144146                  0.00831519
         2                   0.0158861                  0.00731912
         3                   0.0114605                  0.00690393
         4                   0.0169393                  0.00893832
         5                   0.0125946                  0.00832868
         6                   0.0162722                  0.00935718
         7                   0.0145488                  0.00629241
         8                   0.0128674                  0.00658282
         9                   0.0120049                  0.00543621
        10                   0.0154096                  0.00643281
        11                    0.012466                   0.0047604
        12                   0.0116346                  0.00740168
        13                   0.0121334                  0.00723267
        14                   0.0138767                  0.00949385
        15                   0.0135776                  0.00619756
        16                   0.0156769                  0.00820014
        17                   0.0142949                  0.00887323
        18                    0.012245                  0.00376172
        19                   0.0168373                  0.00645101
        20                   0.0127646                  0.00515261
        21                   0.0126185                  0.00754432
        22                   0.0125856                  0.00769428
        23                   0.0131277                  0.00919757
        24                   0.0178056                   0.0101776
        25                   0.0183463                   0.0120217
        26                   0.0100905                   0.0064587
        27                   0.0117236                  0.00816248
        28                   0.0141842                  0.00748211
        29                   0.0161614                    0.013293
        30                   0.0128431                  0.00774276
        31                   0.0128786                   0.0101482
        32                   0.0143959                  0.00758469
        33                   0.0193347                   0.0106058
        34                   0.0127882                  0.00777673
        35                   0.0106266                  0.00639042
        36                   0.0119413                  0.00669139
        37                   0.0118064                  0.00743703
        38                   0.0106148                  0.00700629
        39                   0.0145837                  0.00811585
        40                   0.0134593                  0.00858629
        41                   0.0121874                  0.00537298
        42                   0.0117254                  0.00547543
        43                   0.0116389                  0.00773413
        44                   0.0140042                  0.00630509
        45                   0.0101454                  0.00873232
        46                   0.0137896                  0.00544414
        47                   0.0146322                    0.011156
        48                   0.0142858                  0.00845228
        49                   0.0112435                  0.00600171
        50                   0.0149177                  0.00997613
        51                   0.0126519                  0.00770159
        52                   0.0133624                  0.00827444
        53                   0.0164552                  0.00611745
        54                   0.0130045                  0.00698303
        55                   0.0116011                  0.00497311
        56                    0.012573                  0.00559556
        57                   0.0155908                  0.00873871
        58                   0.0136705                  0.00802763
        59                   0.0126326                  0.00894823
        60                   0.0170942                  0.00873632
        61                   0.0146153                   0.0087474
        62                   0.0100076                  0.00688537
        63                   0.0135492                  0.00890321
        64                   0.0125692                  0.00695841
        65                   0.0129077                  0.00789314
        66                   0.0146344                  0.00878596
        67                   0.0171505                   0.0114176
        68                   0.0142318                  0.00831749
        69                   0.0147506                  0.00860819
        70                   0.0144154                  0.00600465
        71                   0.0176213                   0.0137927
        72                   0.0132614                  0.00595633
        73                   0.0112141                  0.00794728
        74                   0.0172134                   0.0130092
        75                   0.0185612                   0.0108928
        76                   0.0159608                   0.0134674
