#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0378614                   0.0333212
         2                   0.0419982                   0.0343016
         3                   0.0431405                   0.0371438
         4                   0.0389102                   0.0305222
         5                   0.0399363                    0.033957
         6                   0.0409442                   0.0336455
         7                   0.0395797                   0.0329539
         8                    0.042177                   0.0355101
         9                   0.0426681                   0.0350065
        10                   0.0399503                   0.0344332
        11                   0.0462838                   0.0368737
        12                   0.0385129                   0.0327333
        13                   0.0400072                    0.031059
        14                   0.0454456                   0.0371407
        15                   0.0434683                    0.033952
        16                   0.0441964                   0.0330375
        17                   0.0403094                   0.0364458
        18                   0.0433026                   0.0359485
        19                   0.0425705                   0.0337054
        20                   0.0369639                   0.0282438
        21                   0.0431124                   0.0354793
        22                   0.0379227                   0.0299279
        23                   0.0431843                   0.0352191
        24                   0.0389691                    0.033261
        25                   0.0376237                   0.0320271
        26                   0.0394754                    0.032376
        27                   0.0410364                   0.0342181
        28                   0.0388937                   0.0318816
        29                   0.0361248                   0.0294401
        30                   0.0443179                    0.036594
        31                   0.0399858                    0.031195
        32                   0.0394151                     0.03164
        33                   0.0410083                   0.0302291
        34                   0.0396585                   0.0324913
        35                   0.0394527                   0.0315736
        36                   0.0428753                   0.0322298
        37                   0.0451891                   0.0400963
        38                    0.046572                   0.0368356
        39                   0.0384175                   0.0276917
        40                   0.0397672                   0.0320229
        41                   0.0458937                   0.0365669
        42                   0.0420086                   0.0344672
        43                   0.0413566                   0.0332594
        44                   0.0397878                   0.0340207
        45                   0.0377689                   0.0304691
        46                   0.0411131                   0.0358636
        47                   0.0409079                   0.0332061
        48                   0.0408688                   0.0334888
        49                   0.0393536                   0.0335885
        50                   0.0455485                   0.0329021
        51                   0.0423345                   0.0357838
        52                   0.0346144                   0.0289054
        53                   0.0368993                   0.0307475
        54                   0.0400961                   0.0326509
        55                   0.0419037                   0.0335562
        56                   0.0373012                   0.0308506
        57                   0.0415195                   0.0344042
        58                   0.0444404                    0.039062
        59                    0.040659                   0.0333341
        60                   0.0432774                   0.0357708
        61                   0.0409173                   0.0311849
        62                   0.0345938                   0.0288657
        63                   0.0413089                   0.0333326
        64                   0.0357467                   0.0313861
        65                   0.0471833                   0.0394742
        66                   0.0393496                   0.0310997
        67                    0.040585                   0.0320035
        68                   0.0392101                   0.0305672
        69                   0.0427544                   0.0347594
        70                   0.0393694                   0.0297796
        71                   0.0375474                   0.0313988
        72                   0.0424157                   0.0347594
        73                   0.0456884                   0.0387805
        74                   0.0416416                   0.0331459
        75                   0.0408661                   0.0325883
        76                   0.0433674                   0.0355839
        77                   0.0439127                   0.0383665
        78                   0.0426678                   0.0360732
        79                   0.0424029                   0.0344913
        80                   0.0416127                   0.0318936
        81                   0.0416058                   0.0342238
        82                   0.0413983                   0.0328341
        83                    0.039945                   0.0346744
        84                   0.0414193                   0.0351979
        85                    0.038698                   0.0308669
        86                   0.0395791                   0.0350386
        87                   0.0416006                   0.0319021
        88                   0.0443602                    0.037093
        89                    0.041896                   0.0326444
        90                   0.0426022                   0.0331944
        91                   0.0485446                   0.0342155
        92                   0.0439793                   0.0360404
        93                   0.0414378                    0.033149
        94                   0.0417589                   0.0352326
        95                   0.0397305                   0.0354765
        96                   0.0408134                   0.0327945
        97                   0.0436788                   0.0358547
        98                   0.0425241                   0.0326332
        99                   0.0410651                   0.0347457
       100                   0.0393752                   0.0350823
       101                   0.0422312                   0.0348219
       102                   0.0407065                   0.0301217
       103                   0.0385406                   0.0341952
       104                   0.0424104                   0.0340851
       105                    0.036719                   0.0310287
       106                   0.0355211                   0.0288307
       107                   0.0439422                   0.0364231
       108                   0.0413995                   0.0370273
       109                   0.0399225                   0.0315751
       110                   0.0456684                   0.0329535
       111                   0.0488218                   0.0355977
       112                   0.0424612                   0.0347484
       113                   0.0396739                   0.0319613
       114                   0.0426631                    0.033564
       115                   0.0427011                   0.0352274
       116                   0.0447831                   0.0353031
       117                   0.0427247                   0.0344982
       118                   0.0438974                   0.0342066
       119                    0.039349                    0.029062
       120                    0.044145                   0.0341765
       121                   0.0409993                   0.0311949
       122                   0.0466876                    0.039171
       123                   0.0415563                   0.0304039
       124                      0.0447                   0.0378783
       125                   0.0384118                   0.0308963
       126                   0.0358787                   0.0315803
       127                   0.0382076                   0.0313156
       128                   0.0425624                   0.0352243
       129                   0.0443236                   0.0375081
       130                   0.0397258                   0.0321434
       131                   0.0370158                    0.029655
       132                   0.0394047                   0.0317657
