#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
      0.2008         0.2      0.2608      0.2304      0.0608        2281
      0.3767         0.2         0.4         0.3         0.2   1.206e+04
      0.2754         0.2      0.3954      0.2977      0.1954   1.163e+04
      0.2024         0.2      0.3224      0.2612      0.1224        5769
      0.2024         0.2      0.3224      0.2612      0.1224        5769
      0.2986         0.2         0.4         0.3         0.2   1.206e+04
      0.2533         0.2      0.3933      0.2967      0.1933   1.143e+04
      0.3985         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
      0.2804         0.2         0.4         0.3         0.2   1.206e+04
      0.2533         0.2      0.3933      0.2967      0.1933   1.143e+04
       0.278         0.2         0.4         0.3         0.2   1.206e+04
       0.286         0.2         0.4         0.3         0.2   1.206e+04
      0.2754         0.2      0.3954      0.2977      0.1954   1.163e+04
       0.202         0.2       0.222       0.211       0.022       703.2
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
       0.284         0.2         0.4         0.3         0.2   1.206e+04
      0.2754         0.2      0.3954      0.2977      0.1954   1.163e+04
      0.3371         0.2         0.4         0.3         0.2   1.206e+04
      0.3766         0.2         0.4         0.3         0.2   1.206e+04
      0.3371         0.2         0.4         0.3         0.2   1.206e+04
      0.2113         0.2      0.3713      0.2857      0.1713        9477
      0.3766         0.2         0.4         0.3         0.2   1.206e+04
        0.32         0.2         0.4         0.3         0.2   1.206e+04
      0.2024         0.2      0.3224      0.2612      0.1224        5769
      0.3767         0.2         0.4         0.3         0.2   1.206e+04
      0.3766         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
       0.286         0.2         0.4         0.3         0.2   1.206e+04
         0.3         0.2        0.38        0.29        0.18   1.023e+04
      0.2767         0.2      0.2967      0.2484      0.0967        4159
      0.3767         0.2         0.4         0.3         0.2   1.206e+04
       0.284         0.2         0.4         0.3         0.2   1.206e+04
       0.281         0.2         0.4         0.3         0.2   1.206e+04
      0.2778         0.2      0.3178      0.2589      0.1178        5464
      0.3551         0.2         0.4         0.3         0.2   1.206e+04
      0.2113         0.2      0.3713      0.2857      0.1713        9477
      0.2988         0.2         0.4         0.3         0.2   1.206e+04
      0.2804         0.2         0.4         0.3         0.2   1.206e+04
         0.3         0.2        0.38        0.29        0.18   1.023e+04
      0.2804         0.2         0.4         0.3         0.2   1.206e+04
