#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      1.0000      1.0000      1.0000      0.0000               0
      1.0000      1.0100      1.0050      0.0100        3150.546
      1.0000      1.0200      1.0100      0.0200       6330.1226
      1.0000      1.0300      1.0150      0.0300       9538.4085
      1.0000      1.0400      1.0200      0.0400       12775.088
      1.0000      1.0500      1.0250      0.0500        16039.78
      1.0000      1.0600      1.0300      0.0600       19332.136
      1.0000      1.0700      1.0350      0.0700       22651.919
      1.0000      1.0800      1.0400      0.0800       25998.721
      1.0000      1.0900      1.0450      0.0900       29372.218
      1.0000      1.1000      1.0500      0.1000       32772.053
      1.0000      1.1100      1.0550      0.1100       36197.945
      1.0000      1.1200      1.0600      0.1200       39649.501
      1.0000      1.1300      1.0650      0.1300       43126.502
      1.0000      1.1400      1.0700      0.1400       46628.352
      1.0000      1.1500      1.0750      0.1500       50155.096
      1.0000      1.1600      1.0800      0.1600       53706.179
      1.0000      1.1700      1.0850      0.1700       57281.307
      1.0000      1.1800      1.0900      0.1800       60880.247
      1.0000      1.1900      1.0950      0.1900       64502.438
      1.0000      1.2000      1.1000      0.2000       68147.734
      1.0000      1.2100      1.1050      0.2100       71815.944
      1.0000      1.2200      1.1100      0.2200       75506.639
      1.0000      1.2300      1.1150      0.2300       79219.476
      1.0000      1.2400      1.1200      0.2400        82953.74
      1.0000      1.2500      1.1250      0.2500       86709.775
      1.0000      1.2600      1.1300      0.2600       90487.076
      1.0000      1.2700      1.1350      0.2700       94285.194
      1.0000      1.2800      1.1400      0.2800       98103.776
      1.0000      1.2900      1.1450      0.2900        101942.9
      1.0000      1.3000      1.1500      0.3000       105801.92
      1.0000      1.3100      1.1550      0.3100       109680.57
      1.0000      1.3200      1.1600      0.3200       113578.52
      1.0000      1.3300      1.1650      0.3300       117495.81
      1.0000      1.3400      1.1700      0.3400       121431.56
      1.0000      1.3500      1.1750      0.3500       125385.83
      1.0000      1.3600      1.1800      0.3600       129358.42
      1.0000      1.3700      1.1850      0.3700       133349.19
      1.0000      1.3800      1.1900      0.3800       137357.31
      1.0000      1.3900      1.1950      0.3900       141383.09
      1.0000      1.4000      1.2000      0.4000       145425.24
      1.0000      1.4100      1.2050      0.4100       149485.18
      1.0000      1.4200      1.2100      0.4200          153561
      1.0000      1.4300      1.2150      0.4300       157653.14
      1.0000      1.4400      1.2200      0.4400        161761.3
      1.0000      1.4500      1.2250      0.4500       165885.57
      1.0000      1.4600      1.2300      0.4600       170025.01
      1.0000      1.4700      1.2350      0.4700       174179.56
      1.0000      1.4800      1.2400      0.4800       178349.04
      1.0000      1.4900      1.2450      0.4900       182532.94
      1.0000      1.5000      1.2500      0.5000       186731.98
