#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0483333                    0.038554
         2                   0.0462626                   0.0344734
         3                   0.0517099                   0.0389119
         4                   0.0502868                   0.0399689
         5                    0.047449                   0.0361978
         6                   0.0517012                    0.040275
         7                   0.0425764                    0.035928
         8                   0.0427429                   0.0363181
         9                   0.0440265                   0.0331684
        10                   0.0454707                   0.0370006
        11                   0.0457168                   0.0395339
        12                   0.0480503                   0.0376912
        13                   0.0447577                   0.0386807
        14                   0.0483162                   0.0366903
        15                   0.0453602                    0.034958
        16                   0.0480272                   0.0362043
        17                   0.0437663                   0.0344516
        18                   0.0460931                   0.0400388
        19                   0.0427273                   0.0367996
        20                   0.0375863                    0.030607
        21                   0.0364223                   0.0303293
        22                   0.0413823                   0.0360256
        23                   0.0416367                   0.0349438
        24                   0.0473941                   0.0393985
        25                   0.0442088                   0.0392064
        26                   0.0426811                   0.0361656
        27                   0.0484015                   0.0346653
        28                   0.0413006                   0.0373149
        29                   0.0470027                   0.0372876
        30                   0.0452809                   0.0401258
        31                   0.0511092                   0.0376429
        32                   0.0429616                   0.0356576
        33                   0.0446948                   0.0382494
        34                    0.052405                   0.0386047
        35                   0.0504011                    0.037312
        36                   0.0470928                    0.033489
        37                   0.0497283                   0.0391923
        38                    0.051697                   0.0368109
        39                   0.0473183                   0.0304043
        40                   0.0457938                   0.0382974
        41                   0.0374635                   0.0308752
        42                   0.0472035                   0.0401834
        43                   0.0485461                   0.0362422
        44                   0.0427378                    0.037219
        45                   0.0442866                   0.0379203
        46                    0.039796                    0.034008
        47                   0.0485054                   0.0373543
        48                   0.0404535                   0.0325658
        49                   0.0475226                   0.0362404
        50                   0.0475859                   0.0402178
        51                   0.0435366                   0.0359184
        52                   0.0429614                   0.0330626
        53                   0.0426413                   0.0359015
        54                   0.0458286                   0.0361402
        55                   0.0499866                   0.0377191
        56                   0.0430151                    0.035359
        57                    0.044707                   0.0367179
        58                   0.0481897                   0.0386634
        59                   0.0425676                   0.0331849
        60                   0.0505751                   0.0366463
        61                   0.0439773                   0.0334918
        62                   0.0482652                   0.0356812
        63                   0.0454607                   0.0374005
        64                   0.0417332                   0.0372215
        65                   0.0445289                   0.0356133
        66                   0.0387235                   0.0337345
        67                   0.0458007                   0.0381699
        68                   0.0423121                   0.0360878
