#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0599458                   0.0434508
         2                   0.0586628                    0.048424
         3                   0.0483966                   0.0385774
         4                   0.0598187                    0.045584
         5                   0.0546155                   0.0409584
         6                   0.0541087                   0.0415755
         7                   0.0572774                    0.041508
         8                   0.0572866                   0.0461267
         9                   0.0572366                   0.0454958
        10                    0.053018                   0.0389058
        11                   0.0502428                    0.040947
        12                   0.0483556                   0.0396442
        13                   0.0578881                    0.046744
        14                   0.0504132                   0.0404964
        15                    0.055566                   0.0400241
        16                   0.0557412                   0.0445468
        17                   0.0561863                   0.0434071
        18                   0.0479908                   0.0374465
        19                   0.0508261                   0.0408294
        20                   0.0545713                   0.0433447
        21                   0.0593953                   0.0503292
        22                   0.0612938                   0.0489324
        23                   0.0560857                   0.0485785
        24                   0.0587859                   0.0462789
        25                   0.0507388                   0.0406224
        26                   0.0545013                   0.0442336
        27                   0.0490535                   0.0399721
        28                   0.0566662                   0.0438732
        29                   0.0514881                   0.0362151
        30                   0.0565103                   0.0458104
        31                   0.0545923                   0.0422394
        32                   0.0494484                   0.0418593
        33                   0.0568566                   0.0446513
        34                   0.0536172                   0.0394482
        35                   0.0550357                   0.0447711
        36                    0.054604                   0.0412895
        37                    0.056167                   0.0443775
        38                   0.0524761                   0.0404977
        39                   0.0589646                    0.042847
        40                   0.0551508                   0.0461334
        41                   0.0490044                   0.0433213
        42                     0.05367                   0.0399312
        43                   0.0524422                   0.0419206
        44                   0.0575688                   0.0448983
        45                   0.0570971                   0.0464037
        46                   0.0520547                   0.0409856
        47                   0.0561793                   0.0445495
        48                   0.0551897                    0.045048
        49                   0.0589293                   0.0460141
        50                   0.0557663                   0.0448368
        51                   0.0575086                   0.0428312
        52                   0.0625072                   0.0503538
        53                   0.0549258                   0.0385204
        54                   0.0580685                   0.0449229
        55                   0.0506601                   0.0394554
        56                   0.0567783                   0.0436066
        57                   0.0541798                   0.0417549
        58                   0.0553309                   0.0455635
        59                   0.0500206                   0.0380784
        60                   0.0576045                   0.0468636
        61                   0.0564671                   0.0454754
        62                   0.0557116                   0.0451254
        63                   0.0518885                   0.0423101
        64                   0.0569009                   0.0439884
        65                    0.052112                   0.0409861
        66                   0.0499796                    0.036758
        67                   0.0532513                   0.0418758
        68                   0.0504222                    0.039669
        69                   0.0540055                   0.0475602
        70                   0.0582517                   0.0450631
        71                   0.0563646                   0.0459475
        72                   0.0536457                   0.0438499
        73                   0.0492578                   0.0367147
        74                   0.0556004                   0.0464668
        75                   0.0600199                   0.0481595
        76                   0.0516181                   0.0381828
        77                    0.054994                   0.0436424
        78                   0.0504002                   0.0387571
        79                   0.0500461                   0.0406325
        80                   0.0488366                   0.0393146
        81                   0.0542764                   0.0399014
        82                   0.0604074                   0.0504972
        83                   0.0559615                   0.0440797
        84                   0.0539274                   0.0422114
        85                   0.0579982                   0.0462888
        86                   0.0514052                   0.0395639
        87                   0.0584194                   0.0455043
        88                   0.0547043                    0.042098
        89                   0.0489307                   0.0395536
        90                   0.0531806                   0.0423724
        91                   0.0536145                   0.0398438
