#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0215638                   0.0208961
         2                   0.0386385                     0.03846
         3                   0.0245484                   0.0245144
         4                   0.0298196                   0.0281244
         5                   0.0306203                   0.0292291
         6                   0.0263998                   0.0250767
         7                   0.0261564                   0.0258608
         8                   0.0309788                   0.0296624
         9                   0.0308662                   0.0282674
        10                   0.0294863                   0.0281699
        11                   0.0273828                   0.0247499
        12                   0.0268426                   0.0256366
        13                   0.0300932                   0.0264669
        14                   0.0228884                   0.0225928
        15                   0.0254279                   0.0237751
        16                   0.0273006                   0.0266262
        17                   0.0330482                   0.0306362
        18                   0.0261449                   0.0247878
        19                   0.0383759                   0.0368319
        20                   0.0320419                    0.028526
        21                   0.0330909                   0.0317745
        22                   0.0428595                   0.0416535
        23                   0.0359535                   0.0359535
        24                   0.0355391                   0.0354286
        25                   0.0279541                   0.0241018
        26                   0.0267203                   0.0239295
        27                   0.0306607                   0.0282827
        28                   0.0345136                   0.0331224
        29                   0.0239855                   0.0224074
        30                   0.0409195                   0.0408855
        31                   0.0246992                   0.0245888
        32                   0.0300895                   0.0276775
        33                   0.0236181                   0.0220808
        34                   0.0238781                   0.0236929
        35                   0.0269214                   0.0244671
        36                   0.0239955                   0.0227131
        37                     0.03109                    0.028712
        38                   0.0286143                   0.0269955
        39                   0.0286993                   0.0236818
        40                   0.0243484                   0.0231764
        41                   0.0277114                   0.0271541
        42                    0.033729                   0.0321933
        43                   0.0258093                   0.0232445
        44                   0.0214771                   0.0196782
        45                   0.0367937                   0.0354365
        46                   0.0318316                   0.0318316
        47                   0.0289736                   0.0289736
        48                   0.0297006                   0.0284182
        49                   0.0290309                   0.0278249
        50                   0.0288271                   0.0264151
        51                   0.0260073                   0.0234084
        52                   0.0273161                   0.0237662
        53                   0.0253381                   0.0238772
        54                   0.0336752                   0.0308504
        55                   0.0296114                   0.0283714
        56                   0.0235105                   0.0231384
        57                   0.0332303                   0.0318051
        58                   0.0293718                   0.0280554
        59                   0.0278272                   0.0275656
        60                     0.02456                   0.0231264
        61                   0.0260041                   0.0241985
        62                   0.0276391                   0.0249995
        63                   0.0314255                   0.0311298
        64                   0.0254034                   0.0236453
        65                   0.0267072                   0.0252328
        66                   0.0266575                   0.0243136
        67                   0.0279061                   0.0253072
        68                   0.0318305                   0.0303969
