#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0229568                   0.0204152
         2                   0.0284961                   0.0259545
         3                   0.0323988                   0.0243499
         4                   0.0340745                   0.0264498
         5                   0.0262699                   0.0211868
         6                   0.0220236                   0.0190578
         7                     0.02509                     0.02509
         8                   0.0256646                    0.023123
         9                   0.0210065                   0.0210065
        10                   0.0301409                   0.0225162
        11                   0.0346692                   0.0219614
        12                   0.0254251                   0.0228835
        13                   0.0188192                   0.0179707
        14                   0.0263941                    0.021311
        15                   0.0272756                   0.0221925
        16                   0.0211701                   0.0182043
        17                   0.0220317                   0.0220317
        18                   0.0219671                   0.0219671
        19                   0.0225357                   0.0199942
        20                   0.0263727                   0.0238312
        21                   0.0293357                    0.021711
        22                    0.026408                   0.0209006
        23                   0.0205331                   0.0201088
        24                   0.0195547                   0.0195547
        25                   0.0226229                   0.0196571
        26                   0.0235742                   0.0210327
        27                    0.016947                    0.016947
        28                   0.0193952                   0.0193952
        29                    0.025445                   0.0224792
        30                   0.0286207                   0.0209961
        31                    0.029819                   0.0268532
        32                   0.0203253                   0.0199011
        33                   0.0247618                   0.0188302
        34                   0.0270297                   0.0194051
        35                   0.0220203                   0.0220203
        36                   0.0253932                   0.0198858
        37                   0.0239909                   0.0214494
        38                   0.0251924                   0.0201093
        39                   0.0196041                   0.0191798
        40                   0.0294365                   0.0239291
        41                   0.0241533                   0.0216117
        42                    0.027089                   0.0215816
        43                   0.0232866                   0.0228623
        44                   0.0191381                   0.0187138
        45                   0.0269683                   0.0193437
        46                   0.0303902                   0.0227655
        47                    0.018319                    0.018319
        48                    0.024135                   0.0215934
        49                   0.0207928                   0.0169785
        50                   0.0200776                   0.0196533
        51                   0.0174575                   0.0161848
        52                   0.0266716                   0.0266716
        53                   0.0219469                   0.0189811
        54                   0.0258936                    0.023352
        55                   0.0211739                   0.0211739
        56                   0.0247817                   0.0222402
        57                   0.0225322                   0.0195664
        58                   0.0196241                   0.0196241
        59                   0.0247226                   0.0192153
        60                   0.0248192                   0.0193119
        61                   0.0197637                   0.0197637
        62                   0.0217461                   0.0192045
        63                   0.0223271                   0.0197856
        64                   0.0252468                   0.0252468
        65                   0.0319348                   0.0217686
        66                   0.0271134                   0.0194887
        67                   0.0232158                   0.0232158
        68                   0.0222232                   0.0222232
        69                   0.0241183                   0.0215768
        70                   0.0267587                   0.0242172
        71                   0.0208836                   0.0204593
        72                   0.0242411                   0.0212753
        73                   0.0260941                   0.0205868
        74                   0.0289173                   0.0208684
        75                   0.0223208                   0.0197793
        76                   0.0282595                   0.0206348
        77                   0.0236772                   0.0181698
        78                   0.0195651                   0.0165993
        79                   0.0204137                   0.0195652
        80                   0.0221792                   0.0196376
        81                   0.0201791                   0.0201791
        82                   0.0218511                   0.0188853
        83                   0.0229868                   0.0229868
        84                   0.0277748                   0.0277748
        85                   0.0218561                   0.0193145
        86                   0.0221758                   0.0221758
        87                   0.0237031                   0.0207373
        88                   0.0296013                   0.0190108
        89                   0.0202542                   0.0172884
        90                    0.016724                    0.016724
        91                   0.0211257                   0.0211257
        92                    0.020835                    0.020835
        93                   0.0278913                   0.0228082
        94                   0.0221758                     0.01921
        95                   0.0228709                   0.0199051
        96                   0.0278809                   0.0274567
        97                    0.027992                   0.0229089
        98                   0.0200716                   0.0196473
        99                   0.0225332                   0.0199916
       100                   0.0288487                   0.0237656
       101                   0.0254332                   0.0228917
       102                   0.0230529                   0.0200871
       103                   0.0222346                   0.0192688
       104                   0.0195477                   0.0191235
       105                   0.0207029                   0.0202787
       106                   0.0207573                   0.0177915
       107                   0.0226135                   0.0196477
       108                   0.0232636                   0.0177562
       109                   0.0199642                   0.0199642
       110                   0.0218147                   0.0192731
       111                   0.0200916                   0.0196673
       112                   0.0313448                   0.0262617
       113                   0.0218274                   0.0214032
       114                   0.0278278                   0.0202031
       115                   0.0219941                   0.0186041
       116                    0.018881                   0.0180325
       117                   0.0190627                   0.0190627
       118                   0.0268388                   0.0242973
       119                   0.0249885                   0.0224469
       120                   0.0230537                   0.0196637
       121                   0.0211348                   0.0207105
       122                   0.0276449                   0.0251034
       123                   0.0198251                   0.0198251
