#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       4.716           4           6           5           2   7.945e+05
       5.237           4           6           5           2   7.945e+05
       4.051           4           6           5           2   7.945e+05
       4.496           4           6           5           2   7.945e+05
       4.716           4           6           5           2   7.945e+05
       5.237           4           6           5           2   7.945e+05
        5.01           4           6           5           2   7.945e+05
       4.496           4           6           5           2   7.945e+05
       4.109           4           6           5           2   7.945e+05
       4.109           4           6           5           2   7.945e+05
       4.051           4           6           5           2   7.945e+05
       4.496           4           6           5           2   7.945e+05
       4.744           4           6           5           2   7.945e+05
