#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
       1.531         1.5           2        1.75         0.5    2.25e+05
       1.795         1.5       1.935       1.717       0.435   1.946e+05
        1.96         1.5           2        1.75         0.5    2.25e+05
       1.953         1.5           2        1.75         0.5    2.25e+05
       1.968         1.5           2        1.75         0.5    2.25e+05
       1.872         1.5           2        1.75         0.5    2.25e+05
       1.522         1.5           2        1.75         0.5    2.25e+05
       1.684         1.5           2        1.75         0.5    2.25e+05
       1.526         1.5       1.866       1.683       0.366   1.626e+05
       1.599         1.5       1.739       1.619       0.239   1.046e+05
       1.689         1.5       1.949       1.724       0.449   2.011e+05
        1.62         1.5        1.74        1.62        0.24   1.051e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
       1.535         1.5       1.595       1.547       0.095   4.075e+04
        1.93         1.5           2        1.75         0.5    2.25e+05
       1.807         1.5           2        1.75         0.5    2.25e+05
       1.987         1.5           2        1.75         0.5    2.25e+05
        1.87         1.5           2        1.75         0.5    2.25e+05
       1.914         1.5       1.974       1.737       0.474   2.128e+05
       1.973         1.5       1.993       1.746       0.493   2.217e+05
       1.987         1.5           2        1.75         0.5    2.25e+05
        1.78         1.5           2        1.75         0.5    2.25e+05
       1.996         1.5           2        1.75         0.5    2.25e+05
       1.993         1.5           2        1.75         0.5    2.25e+05
        1.87         1.5           2        1.75         0.5    2.25e+05
       1.926         1.5           2        1.75         0.5    2.25e+05
       1.526         1.5       1.866       1.683       0.366   1.626e+05
       1.604         1.5           2        1.75         0.5    2.25e+05
       1.594         1.5       1.814       1.657       0.314   1.387e+05
       1.642         1.5           2        1.75         0.5    2.25e+05
       1.777         1.5       1.797       1.649       0.297   1.309e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
        1.59         1.5        1.89       1.695        0.39   1.737e+05
       1.946         1.5           2        1.75         0.5    2.25e+05
        1.91         1.5           2        1.75         0.5    2.25e+05
       1.987         1.5           2        1.75         0.5    2.25e+05
        1.87         1.5           2        1.75         0.5    2.25e+05
       1.642         1.5           2        1.75         0.5    2.25e+05
        1.59         1.5        1.89       1.695        0.39   1.737e+05
       1.979         1.5           2        1.75         0.5    2.25e+05
         1.6         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
        1.58         1.5         1.6        1.55         0.1   4.293e+04
       1.517         1.5       1.637       1.569       0.137   5.914e+04
       1.521         1.5       1.661       1.581       0.161   6.974e+04
       1.775         1.5       1.775       1.638       0.275   1.209e+05
       1.673         1.5       1.833       1.667       0.333   1.474e+05
       1.828         1.5           2        1.75         0.5    2.25e+05
        1.77         1.5           2        1.75         0.5    2.25e+05
       1.525         1.5       1.945       1.722       0.445   1.992e+05
       1.946         1.5           2        1.75         0.5    2.25e+05
       1.914         1.5       1.974       1.737       0.474   2.128e+05
        1.93         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
       1.777         1.5       1.797       1.649       0.297   1.309e+05
        1.93         1.5           2        1.75         0.5    2.25e+05
       1.966         1.5           2        1.75         0.5    2.25e+05
       1.619         1.5       1.699       1.599       0.199   8.665e+04
       1.627         1.5           2        1.75         0.5    2.25e+05
       1.867         1.5           2        1.75         0.5    2.25e+05
       1.914         1.5       1.974       1.737       0.474   2.128e+05
       1.524         1.5           2        1.75         0.5    2.25e+05
       1.973         1.5       1.993       1.746       0.493   2.217e+05
       1.642         1.5           2        1.75         0.5    2.25e+05
       1.988         1.5           2        1.75         0.5    2.25e+05
        1.91         1.5           2        1.75         0.5    2.25e+05
        1.78         1.5           2        1.75         0.5    2.25e+05
       1.531         1.5           2        1.75         0.5    2.25e+05
        1.71         1.5           2        1.75         0.5    2.25e+05
       1.968         1.5           2        1.75         0.5    2.25e+05
       1.526         1.5       1.726       1.613       0.226   9.876e+04
