#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      0.2000      0.2000      0.2000      0.0000               0
      0.2000      0.2040      0.2020      0.0040       118.00495
      0.2000      0.2080      0.2040      0.0080       240.26955
      0.2000      0.2120      0.2060      0.0120       366.85324
      0.2000      0.2160      0.2080      0.0160       497.81506
      0.2000      0.2200      0.2100      0.0200       633.21246
      0.2000      0.2240      0.2120      0.0240       773.10226
      0.2000      0.2280      0.2140      0.0280       917.53976
      0.2000      0.2320      0.2160      0.0320       1066.5801
      0.2000      0.2360      0.2180      0.0360       1220.2766
      0.2000      0.2400      0.2200      0.0400       1378.6816
      0.2000      0.2440      0.2220      0.0440       1541.8469
      0.2000      0.2480      0.2240      0.0480       1709.8241
      0.2000      0.2520      0.2260      0.0520        1882.661
      0.2000      0.2560      0.2280      0.0560       2060.4073
      0.2000      0.2600      0.2300      0.0600       2243.1099
      0.2000      0.2640      0.2320      0.0640       2430.8171
      0.2000      0.2680      0.2340      0.0680       2623.5733
      0.2000      0.2720      0.2360      0.0720       2821.4244
      0.2000      0.2760      0.2380      0.0760       3024.4124
      0.2000      0.2800      0.2400      0.0800       3232.5812
      0.2000      0.2840      0.2420      0.0840       3445.9745
      0.2000      0.2880      0.2440      0.0880       3664.6313
      0.2000      0.2920      0.2460      0.0920       3888.5923
      0.2000      0.2960      0.2480      0.0960       4117.8988
      0.2000      0.3000      0.2500      0.1000       4352.5835
      0.2000      0.3040      0.2520      0.1040       4592.6907
      0.2000      0.3080      0.2540      0.1080       4838.2528
      0.2000      0.3120      0.2560      0.1120       5089.3066
      0.2000      0.3160      0.2580      0.1160       5345.8886
      0.2000      0.3200      0.2600      0.1200       5608.0305
      0.2000      0.3240      0.2620      0.1240       5875.7689
      0.2000      0.3280      0.2640      0.1280       6149.1298
      0.2000      0.3320      0.2660      0.1320       6428.1481
      0.2000      0.3360      0.2680      0.1360       6712.8585
      0.2000      0.3400      0.2700      0.1400       7003.2829
      0.2000      0.3440      0.2720      0.1440       7299.4627
      0.2000      0.3480      0.2740      0.1480       7601.4135
      0.2000      0.3520      0.2760      0.1520       7909.1629
      0.2000      0.3560      0.2780      0.1560       8222.7482
      0.2000      0.3600      0.2800      0.1600       8542.1884
      0.2000      0.3640      0.2820      0.1640       8867.4976
      0.2000      0.3680      0.2840      0.1680       9198.7256
      0.2000      0.3720      0.2860      0.1720       9535.8862
      0.2000      0.3760      0.2880      0.1760       9878.9803
      0.2000      0.3800      0.2900      0.1800       10228.043
      0.2000      0.3840      0.2920      0.1840        10583.12
      0.2000      0.3880      0.2940      0.1880       10944.218
      0.2000      0.3920      0.2960      0.1920       11311.328
      0.2000      0.3960      0.2980      0.1960       11684.515
      0.2000      0.4000      0.3000      0.2000       12063.752
