#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0282547                   0.0257828
         2                   0.0257056                   0.0232891
         3                    0.030019                   0.0285667
         4                   0.0296948                   0.0279393
         5                    0.029442                   0.0269616
         6                   0.0278075                   0.0259881
         7                   0.0279403                   0.0261682
         8                   0.0258865                   0.0245677
         9                   0.0334151                    0.031914
        10                   0.0322408                   0.0304174
        11                   0.0220746                   0.0205701
        12                   0.0283469                   0.0261126
        13                   0.0277012                   0.0246887
        14                   0.0321748                   0.0297714
        15                   0.0266061                   0.0247052
        16                   0.0341186                   0.0327826
        17                   0.0297824                   0.0270982
        18                   0.0282249                   0.0267715
        19                   0.0299286                   0.0279625
        20                   0.0260477                    0.022832
        21                   0.0275052                   0.0253287
        22                    0.031668                   0.0300813
        23                   0.0268649                   0.0253576
        24                   0.0266996                   0.0249949
        25                   0.0287248                    0.027254
        26                    0.028245                   0.0251861
        27                   0.0258324                    0.024563
        28                   0.0293482                   0.0277725
        29                   0.0287213                   0.0269881
        30                   0.0313161                   0.0297541
        31                   0.0291175                    0.027828
        32                   0.0291208                   0.0260621
        33                   0.0356525                   0.0343515
        34                   0.0306221                   0.0285589
        35                   0.0241634                   0.0212012
        36                   0.0314076                   0.0284869
        37                   0.0266702                   0.0235043
        38                    0.027325                   0.0257602
        39                    0.026568                   0.0236126
        40                   0.0324599                     0.02985
        41                   0.0257258                   0.0229506
        42                   0.0246961                   0.0229479
        43                   0.0268809                   0.0249757
        44                   0.0274536                   0.0261954
        45                   0.0259039                   0.0244981
        46                   0.0251832                   0.0230986
        47                   0.0260148                   0.0230407
        48                   0.0234925                   0.0207815
        49                   0.0272302                   0.0255612
        50                   0.0262179                   0.0228642
        51                   0.0312798                   0.0294833
        52                   0.0269525                   0.0255265
        53                   0.0307582                    0.029321
        54                   0.0259113                   0.0230788
        55                   0.0283187                   0.0258063
        56                   0.0258462                   0.0240712
        57                   0.0265728                   0.0244136
        58                   0.0227412                   0.0209442
        59                   0.0249203                   0.0221917
        60                   0.0244008                   0.0224597
        61                   0.0260545                   0.0227613
        62                   0.0268361                   0.0253425
        63                   0.0295543                   0.0277064
        64                   0.0303317                   0.0281211
        65                   0.0247985                    0.021858
        66                   0.0277124                   0.0249232
        67                    0.028639                   0.0263935
        68                   0.0328847                   0.0312104
        69                   0.0274608                   0.0254957
        70                   0.0307265                   0.0286206
        71                   0.0263318                   0.0247763
        72                   0.0221258                    0.019869
        73                   0.0277666                   0.0261447
        74                   0.0291015                   0.0265199
        75                   0.0255785                   0.0235159
        76                   0.0308531                   0.0283486
        77                   0.0298787                   0.0286208
        78                   0.0284641                   0.0267993
        79                   0.0243343                   0.0220734
        80                   0.0262798                   0.0231812
        81                   0.0247554                   0.0230799
        82                   0.0235608                    0.020751
        83                   0.0271806                   0.0250284
        84                   0.0284677                   0.0265977
        85                   0.0313062                   0.0298127
        86                   0.0280828                   0.0261118
        87                   0.0283771                   0.0264286
        88                     0.02805                   0.0247672
        89                   0.0275505                   0.0260156
        90                   0.0242254                    0.022846
        91                   0.0230319                   0.0213367
        92                   0.0277901                   0.0260185
        93                   0.0262455                   0.0234491
        94                   0.0275613                   0.0255314
        95                   0.0283946                   0.0251293
        96                   0.0280265                   0.0259443
        97                   0.0266354                   0.0243853
        98                   0.0302181                   0.0271904
        99                   0.0303081                   0.0282908
       100                   0.0283855                   0.0270544
       101                   0.0231691                   0.0221561
       102                   0.0297881                   0.0285819
       103                    0.021979                   0.0199312
       104                   0.0301556                   0.0277192
       105                   0.0262017                   0.0239769
       106                   0.0267155                   0.0243564
       107                   0.0266792                   0.0252285
       108                   0.0220095                   0.0194984
       109                   0.0308666                   0.0294877
       110                   0.0257361                   0.0239339
       111                   0.0277052                   0.0262832
       112                   0.0260873                   0.0246089
       113                   0.0274273                   0.0252845
       114                    0.025355                    0.023635
       115                   0.0272556                   0.0252671
       116                   0.0237889                   0.0214939
       117                    0.028068                   0.0267241
       118                   0.0270142                   0.0250855
       119                   0.0235845                   0.0208658
       120                   0.0243994                    0.021929
       121                   0.0301417                   0.0285113
       122                   0.0308055                   0.0281856
       123                   0.0370908                   0.0354017
       124                   0.0312853                   0.0290134
       125                   0.0232938                   0.0210821
       126                   0.0318635                   0.0303369
       127                   0.0313395                    0.029999
       128                   0.0264018                   0.0234718
       129                   0.0238594                   0.0218377
       130                   0.0251736                   0.0222904
       131                   0.0273586                   0.0244028
       132                   0.0325347                   0.0306279
       133                   0.0256169                   0.0241078
       134                   0.0229131                   0.0207849
       135                   0.0304107                   0.0273784
       136                   0.0234792                   0.0213875
       137                   0.0252837                   0.0235753
       138                    0.028116                   0.0231153
       139                   0.0246033                   0.0225451
       140                   0.0262896                   0.0248816
       141                   0.0221612                   0.0205772
       142                   0.0321475                   0.0302586
       143                   0.0273505                    0.025407
       144                   0.0280251                   0.0267987
       145                   0.0263538                    0.023633
       146                   0.0245871                   0.0234547
       147                   0.0273979                   0.0254407
       148                   0.0241493                    0.022156
       149                   0.0302301                    0.028611
       150                   0.0236116                   0.0215837
       151                   0.0241853                    0.022123
       152                   0.0259224                   0.0244238
       153                   0.0335613                   0.0319754
       154                   0.0262635                   0.0243006
       155                     0.03357                   0.0317532
       156                   0.0324808                   0.0287424
       157                   0.0283739                   0.0262101
       158                   0.0319138                   0.0288415
       159                   0.0264381                    0.024034
       160                   0.0267182                   0.0248583
       161                   0.0305769                   0.0282994
       162                   0.0238202                   0.0211699
       163                   0.0284006                    0.027211
       164                   0.0252922                   0.0227408
       165                   0.0263873                   0.0240067
       166                   0.0263003                   0.0247566
       167                   0.0361957                   0.0334172
       168                   0.0300603                   0.0278329
       169                   0.0273339                   0.0263054
       170                   0.0238664                   0.0207395
       171                   0.0255794                   0.0228837
       172                    0.030215                   0.0286236
       173                   0.0278796                   0.0257653
       174                    0.025235                   0.0230033
       175                   0.0281856                   0.0258262
       176                   0.0310375                   0.0297935
       177                    0.027896                   0.0251605
       178                   0.0277133                   0.0257666
       179                   0.0255131                   0.0237419
       180                     0.02867                   0.0271069
       181                   0.0262856                   0.0242663
       182                   0.0285497                   0.0264175
       183                   0.0273962                   0.0254112
       184                   0.0272305                   0.0237511
       185                   0.0216581                   0.0192083
       186                   0.0271864                   0.0253329
       187                   0.0299346                   0.0278111
