#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0577093                   0.0531814
         2                   0.0610573                   0.0564026
         3                   0.0583663                   0.0542099
         4                    0.061765                   0.0583988
         5                   0.0547589                   0.0512662
         6                   0.0695655                   0.0640925
         7                   0.0578141                   0.0536891
         8                   0.0689436                    0.065387
         9                   0.0574432                   0.0532416
        10                   0.0590475                   0.0544158
        11                   0.0570423                   0.0529309
        12                   0.0576318                   0.0520957
        13                   0.0643122                   0.0592045
        14                    0.054026                   0.0487811
        15                   0.0662445                   0.0621885
        16                    0.053056                   0.0494968
        17                   0.0581007                   0.0511789
        18                   0.0550633                   0.0509967
        19                    0.054968                   0.0499229
        20                   0.0603409                   0.0561545
        21                   0.0653585                   0.0594972
        22                    0.054661                   0.0479943
        23                   0.0656024                   0.0614811
        24                   0.0726585                   0.0672193
        25                   0.0545037                   0.0483737
        26                   0.0538625                   0.0484607
        27                   0.0624751                   0.0585288
        28                   0.0577761                   0.0518235
        29                   0.0649137                   0.0603753
        30                   0.0584391                   0.0528104
        31                   0.0613009                   0.0566229
        32                   0.0618659                    0.058623
        33                   0.0599357                   0.0542384
        34                   0.0554212                   0.0515851
        35                   0.0599513                    0.055335
        36                   0.0574244                   0.0521663
        37                   0.0611422                   0.0567555
        38                   0.0634968                   0.0586625
        39                   0.0553902                    0.050744
        40                   0.0662566                   0.0619856
        41                   0.0637867                   0.0587258
        42                   0.0639897                   0.0602239
        43                   0.0614146                   0.0555078
        44                    0.057161                   0.0506264
        45                   0.0675528                   0.0634972
        46                   0.0569855                   0.0515222
        47                   0.0594336                   0.0535197
        48                   0.0602455                   0.0565133
        49                    0.068978                   0.0633773
        50                   0.0548409                   0.0491289
        51                   0.0658642                   0.0628532
        52                   0.0620433                   0.0586238
        53                      0.0599                   0.0544971
        54                   0.0579415                   0.0529204
        55                   0.0570115                   0.0519255
        56                   0.0510887                   0.0481799
        57                    0.057729                   0.0511907
