#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0657727                   0.0632829
         2                   0.0622925                   0.0581485
         3                   0.0640368                   0.0616896
         4                   0.0674997                   0.0642586
         5                    0.058021                   0.0544612
         6                    0.063372                   0.0601201
         7                   0.0684022                   0.0630307
         8                   0.0657557                   0.0617358
         9                   0.0590968                   0.0541282
        10                   0.0648249                    0.060718
        11                   0.0610835                   0.0576119
        12                   0.0648364                   0.0607445
        13                   0.0637497                   0.0603132
        14                   0.0668075                   0.0630095
        15                   0.0702497                    0.067097
        16                   0.0646772                    0.060409
        17                    0.063686                   0.0599995
        18                   0.0625149                   0.0589889
        19                    0.061761                   0.0585516
        20                   0.0660287                   0.0606957
        21                   0.0666583                   0.0618988
        22                   0.0664831                   0.0642764
        23                   0.0747027                   0.0720436
        24                   0.0589768                   0.0562985
        25                    0.064288                   0.0610286
        26                   0.0613937                   0.0574078
        27                   0.0650783                   0.0618221
        28                   0.0641159                   0.0621908
        29                   0.0620138                   0.0598657
        30                   0.0644605                   0.0610818
        31                   0.0667307                   0.0630189
        32                     0.06488                   0.0599136
        33                   0.0603417                   0.0581877
        34                   0.0659623                   0.0623975
        35                   0.0640407                   0.0623284
        36                   0.0660227                   0.0610732
        37                   0.0653503                   0.0606211
        38                   0.0583417                   0.0563319
        39                   0.0678758                   0.0653352
        40                   0.0644597                   0.0623821
        41                   0.0667653                   0.0644149
        42                   0.0644072                   0.0620056
        43                   0.0681002                   0.0655787
        44                   0.0681016                   0.0643473
        45                   0.0567601                   0.0539106
        46                   0.0663268                   0.0600889
        47                   0.0613191                   0.0573711
        48                   0.0621355                   0.0594643
        49                   0.0669363                   0.0626264
        50                   0.0651813                   0.0613853
        51                   0.0613803                   0.0585785
        52                   0.0630464                   0.0582552
        53                   0.0673425                   0.0622602
        54                   0.0664919                    0.062829
        55                   0.0628004                   0.0592896
        56                   0.0714866                   0.0677192
        57                   0.0652432                   0.0634852
        58                   0.0643592                   0.0601582
        59                   0.0646359                   0.0622916
        60                   0.0741665                   0.0709345
        61                   0.0683196                   0.0619526
        62                   0.0710491                   0.0645814
        63                   0.0676324                   0.0643112
        64                   0.0618838                   0.0590105
        65                   0.0578002                   0.0550971
        66                   0.0708411                   0.0655398
        67                     0.06065                   0.0586552
        68                   0.0667029                   0.0628475
        69                   0.0659152                   0.0608308
        70                   0.0572565                   0.0543331
        71                   0.0665654                   0.0631579
        72                    0.065842                   0.0639847
        73                   0.0620312                   0.0585874
        74                   0.0637409                    0.058844
        75                   0.0619102                   0.0593347
        76                   0.0601855                   0.0557044
        77                   0.0650693                   0.0612965
        78                   0.0688223                   0.0653367
        79                   0.0661231                   0.0620648
        80                    0.066506                   0.0632824
        81                   0.0630357                   0.0598692
        82                   0.0585517                   0.0552967
        83                   0.0668119                   0.0629032
        84                   0.0758296                    0.071085
        85                    0.074437                   0.0729569
        86                   0.0692898                   0.0653596
        87                   0.0626947                   0.0598479
        88                    0.056598                   0.0527048
        89                   0.0616045                   0.0593102
        90                   0.0655481                   0.0623984
        91                   0.0657937                   0.0623347
        92                    0.064087                   0.0613705
        93                   0.0617758                   0.0601334
        94                   0.0661785                   0.0619968
        95                   0.0558019                   0.0484147
        96                   0.0688298                   0.0648994
        97                   0.0681048                   0.0634422
        98                   0.0697555                    0.066471
        99                   0.0611149                   0.0572829
       100                   0.0638415                   0.0622801
       101                   0.0672365                   0.0643064
       102                   0.0638161                   0.0604541
       103                   0.0600254                   0.0555998
       104                   0.0614323                   0.0582186
       105                   0.0687772                   0.0650214
       106                    0.070681                   0.0679016
       107                   0.0672403                   0.0645911
       108                   0.0645219                   0.0610144
       109                      0.0674                   0.0645415
       110                   0.0611946                   0.0582602
       111                    0.068077                   0.0644473
       112                   0.0671643                   0.0621824
       113                   0.0605417                    0.055634
       114                   0.0700938                   0.0645732
       115                   0.0619415                    0.059604
       116                   0.0648236                   0.0618602
       117                   0.0608044                   0.0569548
       118                   0.0601969                   0.0579721
       119                   0.0681554                   0.0638734
       120                   0.0659603                   0.0622076
       121                   0.0674843                   0.0652585
       122                   0.0561048                   0.0534402
       123                   0.0650643                   0.0615488
       124                   0.0621916                   0.0592974
       125                   0.0600793                   0.0572022
       126                   0.0668377                   0.0634558
       127                   0.0638534                   0.0589378
       128                   0.0536674                   0.0492933
       129                   0.0656521                   0.0630415
       130                   0.0635692                   0.0601652
       131                   0.0629676                   0.0608648
