#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
      0.3771         0.2         0.4         0.3         0.2   1.206e+04
      0.2008         0.2         0.4         0.3         0.2   1.206e+04
      0.3771         0.2         0.4         0.3         0.2   1.206e+04
       0.253         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
      0.3985         0.2         0.4         0.3         0.2   1.206e+04
       0.281         0.2         0.4         0.3         0.2   1.206e+04
      0.3371         0.2         0.4         0.3         0.2   1.206e+04
      0.2767         0.2         0.4         0.3         0.2   1.206e+04
      0.2008         0.2         0.4         0.3         0.2   1.206e+04
      0.2777         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
       0.253         0.2         0.4         0.3         0.2   1.206e+04
      0.2761         0.2         0.4         0.3         0.2   1.206e+04
      0.2804         0.2         0.4         0.3         0.2   1.206e+04
      0.2986         0.2         0.4         0.3         0.2   1.206e+04
      0.2008         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
      0.2113         0.2         0.4         0.3         0.2   1.206e+04
      0.3766         0.2         0.4         0.3         0.2   1.206e+04
      0.3059         0.2         0.4         0.3         0.2   1.206e+04
      0.3771         0.2         0.4         0.3         0.2   1.206e+04
      0.2069         0.2         0.4         0.3         0.2   1.206e+04
      0.3371         0.2         0.4         0.3         0.2   1.206e+04
      0.2069         0.2         0.4         0.3         0.2   1.206e+04
      0.3985         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
      0.2024         0.2         0.4         0.3         0.2   1.206e+04
      0.2008         0.2         0.4         0.3         0.2   1.206e+04
      0.2988         0.2         0.4         0.3         0.2   1.206e+04
      0.2754         0.2         0.4         0.3         0.2   1.206e+04
      0.2017         0.2         0.4         0.3         0.2   1.206e+04
      0.3758         0.2         0.4         0.3         0.2   1.206e+04
      0.2995         0.2         0.4         0.3         0.2   1.206e+04
       0.295         0.2         0.4         0.3         0.2   1.206e+04
      0.2777         0.2         0.4         0.3         0.2   1.206e+04
      0.2777         0.2         0.4         0.3         0.2   1.206e+04
      0.2988         0.2         0.4         0.3         0.2   1.206e+04
      0.2069         0.2         0.4         0.3         0.2   1.206e+04
      0.2988         0.2         0.4         0.3         0.2   1.206e+04
      0.2777         0.2         0.4         0.3         0.2   1.206e+04
