#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
        1.33           1        1.45       1.225        0.45   1.659e+05
       1.246           1         1.5        1.25         0.5   1.867e+05
       1.214           1       1.274       1.137       0.274   9.581e+04
       1.145           1         1.5        1.25         0.5   1.867e+05
        1.28           1         1.5        1.25         0.5   1.867e+05
        1.28           1         1.5        1.25         0.5   1.867e+05
        1.36           1         1.5        1.25         0.5   1.867e+05
       1.201           1       1.421        1.21       0.421    1.54e+05
       1.146           1       1.466       1.233       0.466   1.725e+05
       1.334           1       1.494       1.247       0.494   1.842e+05
        1.28           1         1.5        1.25         0.5   1.867e+05
       1.027           1       1.467       1.233       0.467   1.729e+05
       1.242           1         1.5        1.25         0.5   1.867e+05
       1.433           1         1.5        1.25         0.5   1.867e+05
       1.224           1         1.5        1.25         0.5   1.867e+05
       1.016           1         1.5        1.25         0.5   1.867e+05
       1.256           1         1.5        1.25         0.5   1.867e+05
       1.224           1       1.344       1.172       0.344    1.23e+05
       1.244           1       1.384       1.192       0.384    1.39e+05
       1.018           1       1.078       1.039       0.078   2.533e+04
       1.055           1       1.115       1.058       0.115   3.792e+04
       1.146           1       1.466       1.233       0.466   1.725e+05
       1.021           1       1.401         1.2       0.401   1.458e+05
       1.002           1       1.462       1.231       0.462   1.709e+05
       1.451           1         1.5        1.25         0.5   1.867e+05
       1.296           1       1.436       1.218       0.436   1.601e+05
       1.068           1       1.068       1.034       0.068   2.199e+04
       1.016           1         1.5        1.25         0.5   1.867e+05
        1.45           1        1.45       1.225        0.45   1.659e+05
       1.306           1       1.346       1.173       0.346   1.238e+05
        1.46           1         1.5        1.25         0.5   1.867e+05
       1.364           1         1.5        1.25         0.5   1.867e+05
       1.109           1         1.5        1.25         0.5   1.867e+05
       1.447           1         1.5        1.25         0.5   1.867e+05
       1.109           1         1.5        1.25         0.5   1.867e+05
       1.142           1       1.402       1.201       0.402   1.462e+05
       1.241           1       1.461        1.23       0.461   1.704e+05
       1.364           1       1.384       1.192       0.384    1.39e+05
       1.023           1       1.083       1.042       0.083   2.701e+04
       1.127           1         1.5        1.25         0.5   1.867e+05
       1.143           1         1.5        1.25         0.5   1.867e+05
       1.056           1         1.5        1.25         0.5   1.867e+05
       1.459           1         1.5        1.25         0.5   1.867e+05
       1.431           1         1.5        1.25         0.5   1.867e+05
       1.017           1         1.5        1.25         0.5   1.867e+05
       1.224           1       1.424       1.212       0.424   1.552e+05
       1.018           1       1.078       1.039       0.078   2.533e+04
       1.241           1       1.461        1.23       0.461   1.704e+05
       1.209           1       1.309       1.155       0.309   1.093e+05
       1.028           1       1.208       1.104       0.208   7.108e+04
       1.451           1         1.5        1.25         0.5   1.867e+05
       1.491           1         1.5        1.25         0.5   1.867e+05
