#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
       5.851           4           6           5           2   7.945e+05
       4.109           4           6           5           2   7.945e+05
       4.496           4           6           5           2   7.945e+05
        5.01           4           6           5           2   7.945e+05
       5.851           4           6           5           2   7.945e+05
       5.851           4           6           5           2   7.945e+05
        5.01           4           6           5           2   7.945e+05
        4.08           4        5.34        4.67        1.34    5.51e+05
       4.051           4       4.451       4.226       0.451   1.942e+05
       5.851           4           6           5           2   7.945e+05
       4.744           4           6           5           2   7.945e+05
       4.677           4       5.997       4.998       1.997   7.935e+05
       4.677           4       5.997       4.998       1.997   7.935e+05
