# 
# Novak 2017 - Private Comm from Eva - CSFRD Radio - sfr-history
# 
# z_min  z_max  Psi_lg  Psi_lo  Psi_hi     Reference
#               [M_solar year-1 Mpc-3]
# 
  0.312  0.312   -1.73   0.053   0.047 
  0.501  0.501   -1.69   0.050   0.045 
  0.695  0.695   -1.47   0.048   0.043 
  0.903  0.903   -1.30   0.047   0.044 
  1.16   1.16    -1.30   0.048   0.044 
  1.44   1.44    -1.24   0.051   0.045 
  1.81   1.81    -1.15   0.052   0.047 
  2.18   2.18    -1.09   0.056   0.048 
  2.80   2.80    -1.08   0.058   0.050 
  3.69   3.69    -1.23   0.078   0.063 
  4.85   4.85    -1.23   0.130   0.083 
