#   z_min_list    z_max_list   M_incomplete_list   N_correction_list   F_correction_list    S_correction_list
#
           0.2           0.5               9.600              -0.069            0.950147              Muzzin
           0.2           0.5               9.400               0.201            0.999334              Ilbert
           0.2           0.5               9.400               0.247            0.911064            Davidzon
           0.5           1.0              10.000              -0.007            0.802994              Muzzin
           0.5           1.0               9.800               0.355            0.795072              Ilbert
           0.5           1.0               9.800               0.324            0.784367            Davidzon
           1.0           1.5              10.400              -0.078            0.704375              Muzzin
           1.0           1.5              10.200               0.155            0.653443              Ilbert
           1.0           1.5              10.200               0.144            0.628858            Davidzon
           1.5           2.0              10.800              -0.128            0.599921              Muzzin
           1.5           2.0              10.400               0.014            0.524936              Ilbert
           1.5           2.0              10.400               0.181            0.454129            Davidzon
           2.0           2.5              10.400               0.206            0.810987              Muzzin
           2.0           2.5              10.400               0.166            0.423830              Ilbert
           2.0           2.5              10.400               0.358            0.346205            Davidzon
           2.5           3.0              10.800              -0.006            0.891640              Muzzin
           2.5           3.0              10.800               0.056            0.534340              Ilbert
           2.5           3.0              10.800               0.304            0.303818            Davidzon
           3.0           4.0              10.600               0.388            0.679285              Muzzin
           3.0           4.0              10.800               0.005            0.468220              Ilbert
           3.0           4.0              10.800               0.268            0.246484            Davidzon
           4.0           5.0              11.000               1.112            0.056082             Grazian
           4.0           5.0              10.800               2.153            0.006834                Song
           4.0           5.0              11.200               0.784            0.052831            Davidzon
           5.0           6.0              11.400               1.902            0.006761             Grazian
           5.0           6.0              11.400               2.420            0.001861                Song
           5.0           6.0              11.400               0.469            0.030056            Davidzon
