#         z_low         z_high     lgoneplusz          CSFRD         eCSFRD
# Below are 1/Vmax and boostrapping CSFRD from GOODSN Superdeblending 201612 goodArea SNR>=4 sources
              0            0.2      0.0413927       -2.02233       0.227258
            0.2            0.4       0.113943       -1.90908       0.104623
            0.4            0.6       0.176091       -1.42878      0.0712879
            0.6            0.8       0.230449       -1.55344       0.108717
            0.8              1       0.278754       -1.20572      0.0727259
              1            1.5       0.352183       -1.30024      0.0869719
            1.5              2       0.439333       -1.39649      0.0700941
              2            2.5       0.511883       -1.17266      0.0718436
            2.5              3       0.574031       -1.34488       0.104833
              3              4       0.653213       -1.43294      0.0701269
              4              5       0.740363       -1.62799      0.0916577
              5              6       0.812913       -2.19755      0.0497339
