#         z_low         z_high     lgoneplusz          CSFRD         eCSFRD         cCSFRD          fcorr                 SMF
# Below are 1/Vmax and boostrapping CSFRD from GOODSN Superdeblending 201612 goodArea SNR>=5 sources
              0            0.2      0.0413927       -1.85161       0.163946       -1.85161              1              Muzzin
              0            0.2      0.0413927       -1.85161       0.163946       -1.85161              1              Ilbert
              0            0.2      0.0413927       -1.85161       0.163946       -1.85161              1            Davidzon
            0.2            0.4       0.113943       -1.81821       0.113683       -1.80478        0.96953              Muzzin
            0.2            0.4       0.113943       -1.81821       0.113683       -1.83011        1.02778              Ilbert
            0.2            0.4       0.113943       -1.81821       0.113683       -1.77568       0.906707            Davidzon
            0.4            0.6       0.176091       -1.34867      0.0770781       -1.31488       0.925163              Muzzin
            0.4            0.6       0.176091       -1.34867      0.0770781       -1.33113       0.960428              Ilbert
            0.4            0.6       0.176091       -1.34867      0.0770781       -1.29321       0.880127            Davidzon
            0.6            0.8       0.230449       -1.53102      0.0961594        -1.4759       0.880797              Muzzin
            0.6            0.8       0.230449       -1.53102      0.0961594       -1.48191       0.893077              Ilbert
            0.6            0.8       0.230449       -1.53102      0.0961594       -1.46225       0.853548            Davidzon
            0.8              1       0.278754       -1.19897      0.0671891       -1.13741       0.867857              Muzzin
            0.8              1       0.278754       -1.19897      0.0671891       -1.13743       0.867892              Ilbert
            0.8              1       0.278754       -1.19897      0.0671891       -1.12452       0.842474            Davidzon
              1            1.5       0.352183       -1.26258       0.062252       -1.19886       0.863546              Muzzin
              1            1.5       0.352183       -1.26258       0.062252       -1.19119       0.848417              Ilbert
              1            1.5       0.352183       -1.26258       0.062252       -1.18278       0.832139            Davidzon
            1.5              2       0.439333       -1.38328       0.074784       -1.23913       0.717543              Muzzin
            1.5              2       0.439333       -1.38328       0.074784       -1.23347       0.708261              Ilbert
            1.5              2       0.439333       -1.38328       0.074784       -1.15013       0.584594            Davidzon
              2            2.5       0.511883       -1.16952      0.0565354       -1.09766       0.847505              Muzzin
              2            2.5       0.511883       -1.16952      0.0565354      -0.982612       0.650267              Ilbert
              2            2.5       0.511883       -1.16952      0.0565354      -0.805525       0.432518            Davidzon
            2.5              3       0.574031        -1.5339       0.146383       -1.50886        0.94399              Muzzin
            2.5              3       0.574031        -1.5339       0.146383       -1.32247       0.614572              Ilbert
            2.5              3       0.574031        -1.5339       0.146383       -1.16071       0.423467            Davidzon
              3              4       0.653213       -1.35256      0.0864811       -1.26276       0.813207              Muzzin
              3              4       0.653213       -1.35256      0.0864811       -1.12022       0.585681              Ilbert
              3              4       0.653213       -1.35256      0.0864811      -0.761944       0.256677            Davidzon
              4              5       0.740363       -1.61896       0.145308       -1.31255       0.493845     Madau&Dickinson
              5              6       0.812913       -2.03989       0.163513       -1.60981       0.371466     Madau&Dickinson
