#        z   magcolor_B_V   magcolor_V_z   magcolor_V_i   magcolor_i_z   magcolor_J_H   magcolor_H_IRAC2
      1.00           0.10           0.75           0.39           0.37           0.11           0.63
      1.25           0.09           0.56           0.17           0.38           0.09           0.62
      1.50           0.18           0.32           0.09           0.22           0.08           0.70
      1.75           0.20           0.17           0.08           0.10           0.11           0.74
      2.00           0.23           0.14           0.07           0.07           0.26           0.76
      2.25           0.30           0.16           0.11           0.05           0.43           0.89
      2.50           0.31           0.21           0.17           0.04           0.51           0.95
      2.75           0.43           0.23           0.19           0.04           0.47           1.13
      3.00           0.65           0.24           0.19           0.05           0.37           1.24
      3.25           1.03           0.30           0.21           0.09           0.25           1.26
      3.50           1.41           0.37           0.23           0.14           0.15           1.30
      3.75           1.82           0.41           0.27           0.14           0.10           1.28
      4.00           2.17           0.45           0.34           0.11           0.08           1.16
      4.25           2.30           0.59           0.51           0.08           0.07           1.10
      4.50           2.46           0.72           0.60           0.12           0.06           1.09
      4.75           2.24           1.04           0.86           0.18           0.05           1.09
      5.00           2.07           1.34           1.13           0.21           0.05           1.07
      5.25           1.86           1.66           1.44           0.23           0.05           1.06
      5.50           1.64           1.95           1.71           0.24           0.07           1.04
      5.75           1.46           2.21           1.91           0.30           0.09           1.04
      6.00           1.37           2.45           2.04           0.41           0.13           1.03
