#        z   magcolor_B_V   magcolor_V_z
      1.00           0.29           0.77
      1.25           0.29           0.54
      1.50           0.40           0.35
      1.75           0.45           0.29
      2.00           0.50           0.29
      2.25           0.60           0.32
      2.50           0.62           0.41
      2.75           0.74           0.45
      3.00           0.99           0.47
      3.25           1.39           0.52
      3.50           1.75           0.61
      3.75           2.20           0.62
      4.00           2.60           0.65
      4.25           2.82           0.77
      4.50           3.00           0.97
      4.75           2.91           1.20
      5.00           2.76           1.48
      5.25           2.58           1.75
      5.50           2.39           2.08
      5.75           2.21           2.39
      6.00           2.12           2.65
