#   z_min_list    z_max_list   M_incomplete_list   N_correction_list   F_correction_list    S_correction_list
#
           0.2           0.5               9.600              -0.263            0.969399              Muzzin
           0.2           0.5               9.400               0.022            1.038941              Ilbert
           0.2           0.5               9.400               0.059            0.923187            Davidzon
           0.5           1.0              10.000              -0.165            0.877549              Muzzin
           0.5           1.0               9.800               0.215            0.882255              Ilbert
           0.5           1.0               9.800               0.186            0.852792            Davidzon
           1.0           1.5              10.400              -0.189            0.837766              Muzzin
           1.0           1.5              10.200               0.027            0.837410              Ilbert
           1.0           1.5              10.200               0.047            0.821554            Davidzon
           1.5           2.0              10.800              -0.186            0.720854              Muzzin
           1.5           2.0              10.400              -0.031            0.684988              Ilbert
           1.5           2.0              10.400               0.136            0.564423            Davidzon
           2.0           2.5              10.400               0.173            0.863006              Muzzin
           2.0           2.5              10.400               0.293            0.667365              Ilbert
           2.0           2.5              10.400               0.513            0.446549            Davidzon
           2.5           3.0              10.800              -0.073            1.052434              Muzzin
           2.5           3.0              10.400               0.168            0.683019              Ilbert
           2.5           3.0              10.400               0.423            0.420899            Davidzon
           3.0           4.0              10.600               0.299            0.809544              Muzzin
           3.0           4.0              10.600               0.217            0.567686              Ilbert
           3.0           4.0              10.600               0.481            0.279608            Davidzon
           4.0           5.0              11.000               0.881            0.117362             Grazian
           4.0           5.0              10.800               1.942            0.015590                Song
           4.0           5.0              10.800               0.862            0.123478            Davidzon
           5.0           6.0              11.400               1.516            0.016128             Grazian
           5.0           6.0              11.400               2.035            0.004745                Song
           5.0           6.0              11.400               0.880            0.031415            Davidzon
