#   z_min_list    z_max_list   M_incomplete_list   N_correction_list   F_correction_list    S_correction_list
#
           0.2           0.5               9.600              -0.195            0.958923              Muzzin
           0.2           0.5               9.400               0.098            1.011584              Ilbert
           0.2           0.5               9.400               0.133            0.900633            Davidzon
           0.5           1.0              10.000              -0.151            0.868909              Muzzin
           0.5           1.0               9.800               0.228            0.875420              Ilbert
           0.5           1.0               9.800               0.199            0.846111            Davidzon
           1.0           1.5              10.400              -0.168            0.863713              Muzzin
           1.0           1.5              10.200               0.057            0.848099              Ilbert
           1.0           1.5              10.200               0.078            0.831826            Davidzon
           1.5           2.0              10.800              -0.182            0.718323              Muzzin
           1.5           2.0              10.400              -0.056            0.708162              Ilbert
           1.5           2.0              10.400               0.111            0.584513            Davidzon
           2.0           2.5              10.400               0.241            0.850477              Muzzin
           2.0           2.5              10.400               0.359            0.652547              Ilbert
           2.0           2.5              10.400               0.580            0.434034            Davidzon
           2.5           3.0              10.800              -0.167            0.941993              Muzzin
           2.5           3.0              10.600               0.080            0.613272              Ilbert
           2.5           3.0              10.600               0.285            0.422571            Davidzon
           3.0           4.0              10.400               0.391            0.813207              Muzzin
           3.0           4.0              10.800               0.256            0.585681              Ilbert
           3.0           4.0              10.800               0.555            0.256677            Davidzon
           4.0           5.0              11.000               0.835            0.123522             Grazian
           4.0           5.0              10.800               1.890            0.016406                Song
           4.0           5.0              10.800               0.835            0.123056            Davidzon
           5.0           6.0              11.400               1.504            0.019069             Grazian
           5.0           6.0              11.400               2.361            0.002421                Song
           5.0           6.0              11.400               0.859            0.042030            Davidzon
