#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1           216.7         28.3979        0.325062        0.131047       0.0721265               0           1e-30               0           1e-30
            8.3         193.709         40.2326        0.467699        0.207696        0.114313               0           1e-30               0           1e-30
            8.5          172.97         56.9374        0.672924        0.329176        0.181174               0           1e-30               0           1e-30
            8.7         154.159         80.4263        0.968203        0.521709        0.287141               0           1e-30               0           1e-30
            8.9         136.964         113.249         1.39305        0.826853        0.455088               0           1e-30               0           1e-30
            9.1         121.072         158.661         2.00432         1.31047        0.721265               0           1e-30               0           1e-30
            9.3         106.172         220.515         2.88381         2.07696         1.14313               1         43.4002               1         43.4002
            9.5          91.971         302.747         4.14922         3.29176         1.81174               2         47.7666               1         30.6264
            9.7         78.2321         408.144         5.96989         5.21709         2.87141               3         108.405               1         62.6553
            9.9         64.8666         536.351         8.58947         8.26853         4.55088               8         268.446               3         142.024
           10.1         52.0688         682.348         12.3585         13.1047         7.21265              22         636.921               0           1e-30
           10.3         40.4072         839.242         17.7814         20.7696         11.4313              30         1394.81               3         378.069
           10.5         30.5965         1006.08         25.5839          32.882         18.1174              30         1282.93               1         114.844
           10.7         22.6735         1136.92           36.81         50.1429         28.7141              30         1469.91               0           1e-30
           10.9         15.3664         1111.82         52.9622         72.3537         45.5088              21         1699.58               1          414.84
           11.1         7.90364         780.799          76.202         98.7898         72.1265              11         653.064               0           1e-30
           11.3          2.4444         311.986         109.639         127.633         114.313               3         260.192               0           1e-30
           11.5        0.454145         70.8612         157.749         156.032         181.174               0           1e-30               0           1e-30
           11.7       0.0929227         16.7721         226.969         180.495         287.141               0           1e-30               0           1e-30
           11.9       0.0236083         4.66425         326.563         197.568         455.088               0           1e-30               0           1e-30
           12.1      0.00494238         1.01136         469.858         204.629         721.265               0           1e-30               0           1e-30
           12.3     0.000596639        0.119655         676.031         200.548         1143.13               0           1e-30               0           1e-30
           12.5      2.5118e-05      0.00467148         972.672         185.982         1811.74               0           1e-30               0           1e-30
           12.7     1.71978e-07     2.80668e-05         1399.48           163.2         2871.41               0           1e-30               0           1e-30
           12.9     5.89469e-11     7.98792e-09         2013.57          135.51         4550.88               0           1e-30               0           1e-30
           13.1     1.59649e-16     1.69977e-14         2897.12         106.469         7212.65               0           1e-30               0           1e-30
